Review,keyword
옷 질감이 좋고 평상시에 입고 다니기 좋은거 같아요 사이즈도 살짝 오바핏인거같아요,"평상시, 사이즈, 질감, 바핏"
오버핏으로 와이프 사주었는데 잘어울리게 이쁘게 잘입을거같네요 ,"어울리다, 와이프, 오버핏, 사주다"
사고싶어서 한달넘게 고민하다가 샀는데 고민한 시간이 너무 아까웠어요 프린팅 너무 이쁘고 재질도 아주 살짝 비치는 재질이지만 거의 안 비쳐요 저한테는 사이즈가 좀 커서 건조기 돌려서 입었더니 딱 맞았어요 마감처리가 조금 별로긴 했는데 신경을 잘 안쓰는 편이라 전 괜찮았어요 가을되면 후드티도 사려구요 너무이뻐여 진짜,"신경, 재질, 고민, 마감 처리, 고민, 비치다, 비치다, 건조기, 사이즈"
뒤에 로고가 유니크하고 하나만 입어도 스타일이 사는 느낌이네용 원단이 좋아보여서 목늘어남 도 없이 깔끔합니당 ,"목 늘어나다, 유니크, 원단, 살다, 로고, 하나, 스타일, 아보"
엄청 잘입고 있어요 많이 입은 탓이라 그런지 엉덩이 쪽에 보풀이 생기는거 빼고는 색상 착용감 다 좋아요 구매할맛 납니다 ,"생기다, 엉덩이, 그렇다, 나다, 색상, 착용, 보풀"
믿고 보는 브라운브레스 굿입니다 깔끔하고 이뻐요 ,"브라운 브레스, 믿다, 깔끔하다, 굿"
재질좋고 무난합니다 올여름용으로 입을라구요 ,"올여름, 재질"
재질도 좋고 입어보니 더 멋진것 같아요 가족티로 맞추니 예쁘네요,"가족 티, 입어보다, 재질, 멋지다, 맞추다"
두께감 적당하면서 디자인도 이정도면 괜찮은거 같아요,"적당하다, 디자인, 두께"
세탁하니 보풀이 일어났어요 질은 생각만큼 좋지않아요 신축성있어 입기는 편합니다,"편하다, 세탁, 보풀, 질, 일어나다, 신축"
옷 사이즈가 적당하고 색감이 선명해요 착용감이 좋아요,"선명하다, 적당하다, 착용, 사이즈, 색감"
친구들 많이 입어서 샀는데 무난한 티로 좋은것 같고 다른 색도 도전해보고 싶네요 ,"도전, 색도, 친구, 티, 싶다"
