Review,keyword
길이감이랑 핏 자체가 제가 원하던 느낌이였어요 두께감도 나쁘지 않아서 너무 마음에 들었어요,"길이, 자체, 원하다, 두께 감다, 느끼다"
블프로 싸게 구매했습니다 청바지에도 잘어울리고 버뮤다 팬프에도 너무나 잘 어울립니다 두께는 보통입니다 체형 보완해줄 수 있는 정도입니다 메종미네드 반팔 처음 사보는데 완전 귯입니다 따봉 따봉 ,"보통, 어울리다, 메종 미네 드, 사보다, 보완 해주다, 어울리다, 청바지"
아주 좋아요 다음에 헤지면 다른 색깔로 하나 더 시킬게요,"헤지, 하나, 색깔"
일단 옷이 너무 이쁘고 디테일이 너무 좋아요 포장부터 메종미네드 느낌 팍나게 아주 세련되고 좋았습니다 청바지에도 카고바지에도 나일론바지에도 아주 찰떡입니다 ,"나일론 바지, 청바지, 메종 미네 드, 카 바지, 포장, 디테 일이, 나다"
요즘 유행하는 옷이라 멋지네요 마음에 쏙 들어요 ,"유행, 멋지다"
완전 하얀색이 아니라 살짝 누리끼리한듯한 하얀색인데 무엏보다 프린팅이 개이뻐요,"프린팅, 아니다, 하얀색, 무엏, 누리 끼리, 개, 하얀색"
배송도 빠르고 넥라인 쫀해서 너무 좋네요 데일리로 입기 땃 좋습니다,"일리, 넥라인, 배송, 쫀해, 빠르다"
너무 이뻐요 폼도 넉하고 편하게 입기 너무 좋아여,"넉, 편하다, 폼"
프린팅 넘 이쁨 자수 같은데 프린팅 이번시즌 메미 반팔중 최고,"시즌, 프린팅, 중, 자수, 메 밉다, 최고"
인기가 있는 이유가 있었습니다 더운 여름에 가볍게 걸치기 좋은 반팔인것같습니다 메종미네드 화이팅,"걸치다, 메종 미네 드, 가볍다, 화이팅, 이유, 인기, 여름, 덥다"
세일해서 싸게 구매했어요 생각보다 더 오버핏인거같아요,"일해, 싸다, 오버핏"
기다리고 기다린 예약배송상품 기다린 보람이 충분히 있을정도로 예뻤습니다 너무만족해요,"만족하다, 기다리다, 충분하다, 보람, 기다리다, 예약 배송 상품"
프린팅 퀄 좋습니다 핏도 무난하게 잘 뽑혔구 재질도 튼해서 잘 입을 거 같아요 ,"프린팅, 틀다, 재질, 뽑히다, 핏"
예상대로 좋은 상품입니다 클론이 많을 것으로 예상되긴하지만 블프 할인때 안산걸 후회중이에요,"상품, 클론, 안산 걸, 블프, 예상 되다, 예상, 많다, 후회"
옷이 너무 예뻐요 심한 코디에 포인트로 주기 좋아요 ,"포인트, 코디, 주기, 심하다"
일단 재질이 너무 얇지 않지만 비침은 없는 두께라 좋아요 프린팅이 가장 맘에 들어 샀기 때문에 디자인 프린팅은 굉장히 만족스러웠고 기장이 좀 긴편이라서 넣입도 괜찮고 반바지에 매치하면 더 이쁠거 같은 느낌이네요 ,"편이, 프린팅, 매치, 프린팅, 기장, 재질, 디자인, 반바지, 비치다, 가장"
남친이랑 커플룩으류 몰래 서프라이즈 해줬는데 마음에 들어해서 너무 기뻤어요 히,"커플룩 류, 서프라이즈, 남친, 몰래, 해주다, 기쁘다"
프린팅 이쁘고 원단도 얇은 원단이라 아주 좋아요 꾸안꾸처럼 카고팬츠랑 입으면 최고입니다 ,"카 팬츠, 프린팅, 원단, 원단, 최고, 얇다"
조금 큰 오버핏입니두 기준 엉덩이 다 덮는 기장이구요 그치만 프린팅이 너무 예뻐서 후회는 없습니다 소매 접어서 입으면 이뻐용,"프린팅, 기장 이구, 엉덩이, 접다, 그치다, 기준, 소매"
사이즈 넉하니 좋네요 아들이 마른체형이라 오버핏으로 잘 입어요 디자인도 무난하고 두께감도 얇지도 두껍지도 않게 적당하네요 ,"적당하다, 마르다 체형, 아들, 사이즈, 디자인, 오버핏"
딱 원했던 여유로운 핏이라 편하고 자주 입게 되네요 최근 들어 가장 맛있는 티셔츠 ,"여유, 티셔츠, 편하다, 가장, 핏, 최근, 원하다"
프린팅 색감이 진하지 않아서 좋은듯 청바지랑 너무 잘어울리고 티셔츠 하나로도 포인트 주기 좋아여 옷재질도 많이 두껍지 않고 여름내 입기 좋을 기본템,"어울리다, 프린팅, 청바지, 티셔츠, 기본, 진하다, 포인트, 색감, 여름내"
메종미네드는 락시크나 댄디룩이 주류인 브랜드인줄 알았는데 이런 찐 스트릿맛 반팔티 출시해주셔서 너무 감격이네요 이런 다잉반팔티 찾고있었는데 저렴한 가격으로 이런 개성 있는 프린팅의 반팔티 구매할 수 있어서 너무 좋습니다 ,"출시 해주다, 프린팅, 잉 티, 메종 미네, 티, 브랜드 줄, 개성, 감격, 대다 디, 가격"
저번부터 사고싶었는데 무진장 할인해서 구매했는데 너무 만족해요 사이즈도 딱 적당하고 버뮤다 팬츠에 입으면 완전 찰떡 궁합입니다 프린팅도 너무 귀엽고 다른 색상도 사고싶네요 ,"적당하다, 할인, 만족하다, 무진장, 궁합, 사이즈, 색상, 프린팅"
박시한 옷 도전해 봤는데 생각보다 깔끔하고 이쁘네여 핏도 좋고 체형도 잘 잡아줍니다 ,"잡다 줍다, 도전, 박 시한, 체형, 핏, 깔끔하다"
여름에 활용하기 좋고 재질이나 핏이 너무 맘에 들어요 ,"활용, 여름, 재질, 핏"
그냥 무지티보다 앞에 프린팅이 있어서 세련된 느낌도 나고 어느 바지에나 잘 어울릴거 같아요 약간 오버핏이라 평소 입던 사이즈보다 한치수 다운해서 주문했는데 핏이 딱 맞네요 잘 입을게요 ,"무지 티보, 어울리다, 치수, 프린팅, 사이즈, 다운, 평소, 바지"
제일 작은 사이즈 s로 샀는데도 여성분들 크실거 같아요 저도 덩치가 작은 편은 아닌데도 좀 큰 감이 있어요 하지만 잘 입는중 ,"여성, 크다, 중, 덩 치가, 사이즈, 아니다, 작다, 제일"
깔끔하고 무난해요 아들이 마음에 들어하니 다행이네요,"다행, 아들, 깔끔하다"
택배포장부터 감성있고 핏 두께 진짜 잘뺐네요 무엇보다 프린팅이 너무 예쁘구 유니크해요,"택배 포장, 프린팅, 유니크, 빼다, 두께, 감성"
프린팅 예쁘고 두께 적당해서 여름에 입기 좋아요,"프린팅, 적당하다, 여름, 두께"
입어보자마자 바로 구매확정 누르고 텍 떼버렸습니다 메종미네드 옷 매번 어두운 옷만 사서 잘 몰랐었는데 이정도로 핏 예쁘게 나오는 줄 몰랐어요 몸 완전 커보이고 너무 맘에 들어요 옷도 적당히 얇아서 덥지도 않고 넥 라인 완전 쫀해서 늘어남 걱정도 없고 잘 샀네요 ,"확정, 메종 미네 드, 입어보다, 걱정, 적당하다, 두운, 덥다"
소재는 가볍고 얇고 비치는 것이 없으며 봉재는 꼼히 질되어 있으며 디자인도 잘 나와서 여름 시즌에 여러번 입을 거 같네요 제 값주고 잘 산거 같습니다 하지만 바탕색이 흰 색 보단 아이보리 느낌이 나서 위에 사진 보다 백인이 찍은 번째 사진이 더 실제와 가깝다고 생각합니다,"사진, 봉 재는, 백인, 실제, 디자인, 나오다, 사진, 바탕 색, 소재"
할인 안 받고 사서 조금 비싼감이 있는데 입자마자 너무 맘에 들어 최애티셔츠 돼버렸습니다 굿,"비싸다, 사서, 할인, 최애 티셔츠"
오버핏으로 무난하게 입기 좋아요 샥상도 이쁘고 잘 어울려요,"어울리다, 오버핏, 샥상"
너무 예쁘고 편하고 힙하고 다 좋은데 다행히 내가 안입은날이지만 집근처에서 이거 입고 지나가는 사람 본뒤로 손이 잘안감,"날, 집 근처, 다행하다, 지나가다, 힙, 편하다, 손, 가다"
그래픽 너무 예뻐요 목이 꽤 도톰하고 원단이 생각했던 거보단 두꺼워서 다행이네요 ,"다행, 도톰하다, 원단, 목, 그래픽, 두껍다"
프린팅도 예쁘고 좋아하는 파란색이라 너무 마음에 드는 티셔츠네요 ,"프린팅, 티셔츠, 파란색, 좋아하다"
이쁜 그래픽 티셔츠 찾다가 보고 구매했어요 더운 여름에도 입을 수 있는 재질과 두께고 그래픽도 이쁘네요 ,"그래픽, 티셔츠, 그래픽, 재질, 여름, 덥다, 보고"
옷 디자인 너무 좋고 너무 마음에 듭니다 강추입니다,"강추, 디자인, 듭니"
어깨가 넓어서 고민이다 하시눈 분들 이거는 뭐 몸집 차이일 수 있는데 저는 너무 넓고 부해보여서 쪼끔 그랬어요 색은 쨍한 흰색이 아니라 조금 아이보리 진짜 쬐끔 노란끼가 돌았어요 디자인은 너무 이쁘고 힙하고 맘에 들어요 ,"고민, 눈, 흰색, 디자인, 차이 일, 아니다, 아이보리"
티 너무너무 예뻐요 청바지에 찰떡 옷은 너무 마음에 듭니다 다만 포장재가 갠적으로 아쉬웠어요 비닐도 아니고 종이도 아니라서 그 큰 포장재를 일반쓰래기로 버려야한다는점이 약간 붐따 하지만 옷이 예뻐서 만족합니다,"만족하다, 아니다, 아니다, 쓰래, 비닐, 청바지, 듭니"
세탁 조금만 하면 원단 자체가 힘이 없어지고 주름이 많이 지는건 매우 아쉽네요 싼 가격은 아닌데요 ,"아니다, 지다, 주름, 자체, 가격, 원단, 힘"
재질은 엄청 얇고 잘 늘어나는 재질은 아닌거 같아요 얇아서 시원합니다 옷도 이쁘고 커플티로 입으려고 샀는데 바로 헤어졌습니다 옷은 죄가 없으니 이쁘게 잘 입고 다닐거 같습니다 ,"아니다, 시원하다, 늘어나다, 재질, 커플티"
재질은 엄청 얇고 잘 늘어나는 재질은 아닌거 같아요 얇아서 시원합니다 옷도 이뻐서 커플티로 입으려고 샀는데 바로 헤어졌습니다 옷은 죄가 없으니 이쁘게 잘 입고 다닐거 같습니다 ,"아니다, 시원하다, 늘어나다, 재질, 커플티"
사이즈가 생각보다 커서 스타일보고 사이즈 구매하세용 옷은 전체적으로 이쁘네요 가운데 페인팅이 과하지 않고 적당해서 좋아요 시원한 느낌 드네요,"전체, 적당하다, 스타일 보고, 페인팅, 사이즈, 사이즈, 시원하다"
사이즈가 크게 나와서 기존 라지가 아닌 m으로 구매했어요 이뻐요,"사이즈, 라지, 아니다, 나오다, 기존, 크게"
배송도 깔끔하고 디자인도 전체적으로 예쁩니다 ,"전체, 디자인, 배송, 깔끔하다"
너무 이뻐요 바지를 빡시하게 입으면 너무 이쁜거 같아요 저는 메종미네드 청바지랑 입었는데 너무 잘어울리네요,"메종 미네 드, 어울리다, 청바지, 바지"
얇고 레터링이 이뻐서 좋아요 파란색 검은색 조합이라 좋아하는 색상입니당 목 안늘어지게 잘 입어야 겠어요 ,"색상, 레터 링, 늘어지다, 조합, 검은색, 파란색, 좋아하다"
