Review,Star,Processed_Review
"M사이즈 치고는 조금 여유있게 나온 것 같아요! 참고!
M반이라고 해야할까요. 반 치수 업된 느낌
M과 L의 중간정도 느낌으로 보면 될 것 같아요😊

길이 딱 적당하니 핏도 너무 예뻐요!
휘뚜루마뚜루 코디하기 너무 좋은 스커투💕

워싱도 예쁘게 빠져서 예쁩니다.
일반 블랙 스커트 보다 훨씬 힙하고
여기저기 매치하기도 좋아요!

재질은 스판기 거의 없이 톡톡하고 핏잘 잡아줘서
지금 같은 가을 계적에 입기 딱 좋네요!
데일리로 제일 자주 착용하고 있어요🥰",5.0,M사이즈 치고는 조금 여유 있게 나온 것 같아요 참고 M 반이라고 해야 할까요 반 치수 업된 느낌 M과 L의 중간 정도 느낌으로 보면 될 것 같아요 길이 딱 적당하니 핏도 너무 예뻐요 휘뚜루마뚜루 코디하기 너무 좋은 스커트 워싱도 예쁘게 빠져서 예쁩니다 일반 블랙 스커트 보다 훨씬 히프하고 여기저기 매치하기도 좋아요 재질은 스판기 거의 없이 톡톡하고 핏잘 잡아줘서 지금 같은 가을 계적에 입기 딱 좋네요 데일리로 제일 자주 착용하고 있어요
허리 헐렁해서 좋아요. 약간 스판있는데 엄청 크게 늘어나는 편은 아닙니다,5.0,허리 헐렁해서 좋아요 약간 스판 있는데 엄청 크게 늘어나는 편은 아닙니다
예뻐요! 골반 부분이 타이트해서 입을 때 조금 끼는 건 어쩔 수 없지만 옷 자체는 예쁩니다!! 그리구 허리가 조금 커요ㅠㅠ,5.0,예뻐요 골반 부분이 타이트해서 입을 때 조금 끼는 건 어쩔 수 없지만 옷 자체는 예쁩니다 그리고 허리가 조금 커요
"너무 단정하지도 않으면서 
약간 힙한? 느낌도 나요.
무탠다드 라인 바지 L샀을 땐 
딱 맞았는데 치마는 할랭헐랭 하네요
참고 하시면 좋을 것 같아요! 
주름이 지면 강력하게 져버려서 
다림질 해줘야 할 것 같긴 한뎅
이건 제 뱃살 문제기 때문에...🙂
치마 예뿝니다 ㅎㅎ 편해요🥺❤️",5.0,너무 단정하지도 않으면서 약간 힙한 느낌도 나요 무탠다드 라인 바지 L 샀을 땐 딱 맞았는데 치마는 할랭헐랭 하네요 참고하시면 좋을 것 같아요 주름이 지면 강력하게 져버려서 다림질해줘야 할 것 같긴 한데 이건 제 뱃살 문제기 때문에 치마 예뿝니다 편해요
소재가 탄탄하고 간단하게 코디하기 좋은 것 같아요.,5.0,소재가 탄탄하고 간단하게 코디하기 좋은 것 같아요
"바지는 L를 입어야 편하게 입을수있는편인데 치마이기도 하고 사이즈 스펙대로라면 M이 맞을것같아서 M으로 주문했어요 (이치마는 크게입는것보다 핏되게 입는게 예쁘니까^^) 허리,기장 사이즈 스펙 그대로여서 잘맞아요 M정사이즈 입으시는분들에겐 살짝크게 느껴질수도 있을것같아요 저는 잘맞네요 (뱃살이 있는편이라 꽉끼지만 ㅋㅋ)",5.0,바지는 L를 입어야 편하게 입을 수 있는 편인데 치마이기도 하고 사이즈 스펙대로라면 M이 맞을 것 같아서 M으로 주문했어요 이 치마는 크게 입는 것보다 핏되게 입는 게 예쁘니까 허리 기장 사이즈 스펙 그대로여서 잘 맞아요 M 정 사이즈 입으시는 분들에겐 살짝 크게 느껴질 수도 있을 것 같아요 저는 잘 맞네요 뱃살이 있는 편이라 꽉 끼지만
여기저기 잘입고있어요. 신축성은 없지만 복부가 다른 s사이즈 치마들에 비해 은근히 여유있어서 밥먹어도 안찡김.,5.0,여기저기 잘 입고 있어요 신축성은 없지만 복부가 다른 s사이즈 치마들에 비해 은근히 여유 있어서 밥 먹어도 안 끼임
핏도 너무 마음에 들고 편해서 좋네요 코디하기도 쉬울거 같아요,5.0,핏도 너무 마음에 들고 편해서 좋네요 코디하기도 쉬울 거 같아요
"색감 빈티지 블랙 너무 이뻐요 
비슷한 스타일 여러개 두고 고민햇는데
잘 선택 한 것 같아요
탄탄해요
제 사이즈는 엠이 더 나았을거같아요 
차 내릴때 좀 불편 ㅋㅋ",5.0,색감 빈티지 블랙 너무 이뻐요 비슷한 스타일 여러 개 두고 고민했는데 잘 선택한 것 같아요 탄탄해요 제 사이즈는 엠이 더 나았을 거 같아요 차 내릴 때 좀 불편
"첨에 M 샀다가 허리 빼고 다 작아서 L로 교환했어요
M은 핏은 딱 좋은데 골반이 너무 껴서 앉거나 걸으면 치마가 너무 올라가서 조금 불폈했구요 
L 하니까 기장이나 통은 좋은데 허리가 좀 커서 저는 요술단추 달아서 입었어요
전체적으로 맘에 들어요!",5.0,첨에 M 샀다가 허리 빼고 다 작아서 L로 교환했어요 M은 핏은 딱 좋은데 골반이 너무 껴서 앉거나 걸으면 치마가 너무 올라가서 조금 불폈했구요 L 하니까 기장이나 통은 좋은데 허리가 좀 커서 저는 요술 단추 달아서 입었어요 전체적으로 맘에 들어요
