Review,Star
"다크 그레이지만 약간의 초록빛이 도는 컬러고, 길이도 딱 좋아요~ 원단도 굳 굳..",5.0
길이 넘 맘에드네요. 어정쩡한 길이는 하비를 더 돋보이게하거든요ㅜ 허리도 딱맞고 엉덩이도 딱맞아서 선이 이뻐요. 색도 진회색이라 여기저기 다 어울릴듯요. 재질이 탄탄해서 팬티라인도 안보여요.,5.0
"저렴하고 편하게입기 좋아요
무탠다드라 가성비좋아요",5.0
"저렴하고 편하게입기 좋아요
무탠다드라 가성비좋아요",5.0
기장 긴거 찾고있었는데 마침 딱이네요. 소재도 많이 두껍지않아서 생활하는데 크게 불편하지않아요.,5.0
기장 긴거 찾고있었는데 마침 딱이네요. 소재도 많이 두껍지않아서 생활하는데 크게 불편하지않아요.,5.0
"저렴하고 편하게입기 좋아요
무탠다드라 가성비좋아요",5.0
"저렴하고 편하게입기 좋아요
무탠다드라 가성비좋아요",5.0
기장 긴거 찾고있었는데 마침 딱이네요. 소재도 많이 두껍지않아서 생활하는데 크게 불편하지않아요.,5.0
기장 긴거 찾고있었는데 마침 딱이네요. 소재도 많이 두껍지않아서 생활하는데 크게 불편하지않아요.,5.0
오프라인에서 입어보고 너무 만족스러워서 구매했습니다! 지금 딱 입기 좋은 거 같아요 :),5.0
맥시 스커트 한참 찾다가 발견한 건데 진짜 만족합니다 길이도170기준 발목 살짝 위에 질도 좋아서 오래 입을 거 같아요,5.0
"긴거 알고 샀는데 많이 기네요. 스판이 없어서 살짝 불편해요.
여름엔 못 입어요. 봄, 가을에 잘 입을거 같아요.",4.0
"골반은 딱 맞고 아래로 떨어지는 핏이 너무 예뻐요
엄마도 단정해서 예쁘다고 하심
흰색도 살 예정 ㅎㅎ",5.0
"무탠다드표 맥시 스커트를 벌써 3개째 사는데요.. 이 맥시 스커트도 핏이 죽여줍니다.. 다크 그레이지만 약간의 초록빛이 도는 컬러고, 다른 무탠다드 xs와 비교했을 때 허리가 조금 더 작게 나온 편인 것 같아요. 원단은 당연히 좋고 길이감도 좋아요~",5.0
"세일하길래 사봤는데!
다크 그레이 뭔가 오묘한 색이네요!
길이는 정말 길어요 하지만 맘에 들어요!",5.0
맥시 스커트 한참 찾다가 발견한 건데 진짜 만족합니다 길이도170기준 발목 살짝 위에 질도 좋아서 오래 입을 거 같아요,5.0
착용감은 좋았습니다 다만 길이가 너무 길어요 수선해서 입어야겠습니다 배송이 오래 걸려 좀 그랬지만 나쁘진 않습니다,4.0
