Review,Star
좀 짧긴 한데 예뻐요. 허리를 완전 잡아주진 않고 목부분이 좀 답답해보이는감이 있긴한데 기장이 짧아서 괜찮은거같기도합니다,4.0
"50프로 세일은 못참지~ 
시키자마자 이틀? 뒤에 온 것 같아요 배송 엄청 빠름 ^_^b

색감도 이쁘고 재질도 안 꺼칠해서 괜찮더라규용 
세로 스트라이프랑 옆에 셔링이 포인트 같아요 히히 (ෆ`꒳´ෆ) 이뻐요!

이 원피스의 장점은 엄청 딱 달라붙지도 않아서 밥 먹을 때 편하게 먹을 수 있을 것 같아요 
다른 말로 하면 단점은 본인 몸에 굴곡이 덜 하다면 통짜 원피스가 될 수 있단 뜻 🥲

다음엠 모델 언니처럼 셔링 리본을 이쁘게 묶어봐야겠어용

‼️주의사항‼️
160 이상인 분들께는 좀 짧을 거 같아요,,
옆에 셔링으로 길이를 조절할 수 있긴하지만,,, 
또 셔링 잡아주는게 포인트라 생각해서 미니 원피스 원하는 것 아니라면 참고 해주세요!",5.0
"1 사이즈로, 구매하였는데 팔 부분이 짧아서 핏되는 부분땜에 부담스럽지만 전체적으로 슬림하게 핏 되는 부분이 맘에 들었습니당 편하게 입을려면 2사이즈 추천합니당 다만 뱃살이 보여 밥먹을때 주의 요망!!!!!!",4.0
좀 짧긴 한데 예뻐요. 허리를 완전 잡아주진 않고 목부분이 좀 답답해보이는감이 있긴한데 기장이 짧아서 괜찮은거같기도합니다,4.0
"50프로 세일은 못참지~ 
시키자마자 이틀? 뒤에 온 것 같아요 배송 엄청 빠름 ^_^b

색감도 이쁘고 재질도 안 꺼칠해서 괜찮더라규용 
세로 스트라이프랑 옆에 셔링이 포인트 같아요 히히 (ෆ`꒳´ෆ) 이뻐요!

이 원피스의 장점은 엄청 딱 달라붙지도 않아서 밥 먹을 때 편하게 먹을 수 있을 것 같아요 
다른 말로 하면 단점은 본인 몸에 굴곡이 덜 하다면 통짜 원피스가 될 수 있단 뜻 🥲

다음엠 모델 언니처럼 셔링 리본을 이쁘게 묶어봐야겠어용

‼️주의사항‼️
160 이상인 분들께는 좀 짧을 거 같아요,,
옆에 셔링으로 길이를 조절할 수 있긴하지만,,, 
또 셔링 잡아주는게 포인트라 생각해서 미니 원피스 원하는 것 아니라면 참고 해주세요!",5.0
"1 사이즈로, 구매하였는데 팔 부분이 짧아서 핏되는 부분땜에 부담스럽지만 전체적으로 슬림하게 핏 되는 부분이 맘에 들었습니당 편하게 입을려면 2사이즈 추천합니당 다만 뱃살이 보여 밥먹을때 주의 요망!!!!!!",4.0
예뻐요. 소재도 독특해서 맘에 들어요. 짧긴 한데 속옷 보일 것 같지는 않아요. 허리부분을 꽉 잡아주진 않는데 어느정도 라인 들어가보여요.,5.0
짧긴짧은데 부츠랑 신으니깐 이쁘네용 ㅋㅋ 맘에들어요,5.0
색감 이쁘고 편해요 길이가 짧다고 해서 2사이즈로 시켰는데 허리 부분이 조금 남긴하지만 길이가 적당해서 좋아요,5.0
"상품이 예쁘고 배송도 빨릅니다
마움에 들어요
꿋",5.0
