Review,Star
"제가 플리츠 치마를 좋아하는데 색깔도 핏도 기장도 모두 마음에 들어요
스티치디테일도 작은 포켓도 정말 좋아요
로우라이즈로 딱입니다",5.0
"너무예뻐요 ! 가격대비 질도 훌륭하고 옷태도예뻐요
회색이 너무밝지않아서 좋고 팬츠랑 레이어드할수있는게 좋더라구요..!!! 사이즈는 한사이즈 업해서 구매했습니다!",5.0
"맨날 짧치 추구하다가 긴치마가 꽂혀서 삿는데
넘예!!! 자주 입을거같아용 ㅎㅎ̆̈ 디자인
디테일 예쁨",5.0
치마 예뻐요! 바지 위에 레이어드해서 입으려고 m사이즈 주문했는데 딱 좋아요 다만 주름이 좀 잘 가는 재질이라 신경써서 입어야할 것 같아요,5.0
매장에서 입어보고 구매했어요 150cm인데 기장 딱 알맞고 예뻐요~~,5.0
"키가 작은편이라  길 것 같았는데 생각보다 길지는 않아요
긱시크 무드 제대로 내기 가능
너비는 조금 크긴한데 그럭저럭 봐줄 만 합니당",5.0
"맨날 짧치 추구하다가 긴치마가 꽂혀서 삿는데
넘예!!! 자주 입을거같아용 ㅎㅎ̆̈ 디자인
디테일 예쁨",5.0
치마 예뻐요! 바지 위에 레이어드해서 입으려고 m사이즈 주문했는데 딱 좋아요 다만 주름이 좀 잘 가는 재질이라 신경써서 입어야할 것 같아요,5.0
매장에서 입어보고 구매했어요 150cm인데 기장 딱 알맞고 예뻐요~~,5.0
"키가 작은편이라  길 것 같았는데 생각보다 길지는 않아요
긱시크 무드 제대로 내기 가능
너비는 조금 크긴한데 그럭저럭 봐줄 만 합니당",5.0
"기숙사라 전신 거울이 없어서 급하게 화장실 거울에서 찍었습니다. 거울 더러운 건 양해 부탁드립니다. 광택감이 돌면서 초여름에 입기에 괜찮은 두께감이라서 봄여름가을 모두에 입을 수 있을 것 같습니다. (한여름 제외) 상세페이지를 꼼꼼하게 안 보고 입어서인지 어디가 앞이고 어디가 뒤인지를 모르겠어서 일단 입어봤습니다만, 어떻게 입어도 예쁩니다..! 치마에 귀여운 나비도 있습니다 ! 다만 리본이 생각보다 길어서 예쁘게 묶기 어려운 것 같습니다. 하지만 이정도로 예쁜 치마라면 감수가능한 정도의 어려움이라 생각합니당. 제 키에는 무릎이 가려지는 정도의 기장감을 보이는데요 아주 살짝만 짧았으면 더 예뻤을 것 같습니다 🥹",5.0
"173기준 무릎 살짝 위까지 와요!! 디자인은 너무너무 예쁜데 상의랑 매치하기가 조금 애매한 것 같습니다ㅜㅜ 그래도 치마 자체가 너무 예뻐서 아주 굿소비,,,",5.0
길이도 딱 이쁘구 몸매 보정도 해주는거 같아요 맘에 들어요!!! 살쪄서 허리는 그렇게 크진 않았는데 그냥 딱 적당했어욤 ㅎㅎ친구들이랑 여행가서 긱시크 컨셉이었는데 만족! 재질은 여름에 입긴 살짝 더운 재질?? 그래도 그렇게 덥진 않았어요!,5.0
끈 묶는게 살짝 귀찮긴 하지만 너무너무 이쁩니다! 확실히 나비 포인트가 정말 마음에 드는 것 같아용! 위에 어떤 티를 입어도 잘 어울리는게 장점인 것 같아용!,5.0
