Review,Star
디자인 좋고 짙은 카키그레이같은 색감이에요 오히려 좋아 근데 스트링이 엉망인 부분이있어서 돌려서 옷 안으로 넣었습니다 이건 좀 아쉽..,5.0
"세일해서 아주아주 저렴하게 잘 샀어요 ㅎㅎ
잘 입고 다닙니다~! 블랙이 아니라 오묘한 카키블랙이라 더 이뻐요:)",5.0
블랙보다는 찐그레이색에가까줘요  얇은나일론소재라 시원하겠요 길이감도 길고 맘에듭니다,5.0
배송이 좀 느렸지만 주머니까지 있고 아주 편하면서 가볍고 구김 안생기고 스타일리쉬까지 해서 자주 입을듯 합니다.,5.0
벙벙한 원피스가 필요했는데 모델샷이 너무 예뻐서 바로 구매했슴다 뒤가 생각보다 많이 파여있어서 데일리로는 이너나 브라렛 착용 필수예요 브라만 입는게 앞에서 볼 때 깔끔해보여서 브라만 입고 입으면 뒤가 너무 브래지어!! 하는 느낌이 강해서 휴양지 아니면 단독으로 입기 어려운 점이 아쉽습니다 그래도 어깨끈 길이 조정 가능하고 허리 핏도 다양하게 연출할 수 있어서 좋아요! 여름되면 자주 꺼내입을 것 같습니다 ദ്ദി( ◠‿◠ ),5.0
"원피스 정말 정말 예뻐요!
배송지연이라서 많이 늦게 도착할줄 알았는데 생각보다 많이 늦지않았어요!
키 179인데 기장감 딱 좋아요!
바스락 거리는 소재의 블랙에 차콜 한스푼? 섞인 컬러라서 더 예뻐요!
밑단 스트링이 있어서 두가지 연출 가능하고 평소에는 티셔츠랑 레이어드 코디하고 이번 휴가때 단독으로 입을꺼예요! 
화이트컬러도 구매각입니당",5.0
블랙보다는 찐그레이색에가까줘요  얇은나일론소재라 시원하겠요 길이감도 길고 맘에듭니다,5.0
배송이 좀 느렸지만 주머니까지 있고 아주 편하면서 가볍고 구김 안생기고 스타일리쉬까지 해서 자주 입을듯 합니다.,5.0
벙벙한 원피스가 필요했는데 모델샷이 너무 예뻐서 바로 구매했슴다 뒤가 생각보다 많이 파여있어서 데일리로는 이너나 브라렛 착용 필수예요 브라만 입는게 앞에서 볼 때 깔끔해보여서 브라만 입고 입으면 뒤가 너무 브래지어!! 하는 느낌이 강해서 휴양지 아니면 단독으로 입기 어려운 점이 아쉽습니다 그래도 어깨끈 길이 조정 가능하고 허리 핏도 다양하게 연출할 수 있어서 좋아요! 여름되면 자주 꺼내입을 것 같습니다 ദ്ദി( ◠‿◠ ),5.0
"원피스 정말 정말 예뻐요!
배송지연이라서 많이 늦게 도착할줄 알았는데 생각보다 많이 늦지않았어요!
키 179인데 기장감 딱 좋아요!
바스락 거리는 소재의 블랙에 차콜 한스푼? 섞인 컬러라서 더 예뻐요!
밑단 스트링이 있어서 두가지 연출 가능하고 평소에는 티셔츠랑 레이어드 코디하고 이번 휴가때 단독으로 입을꺼예요! 
화이트컬러도 구매각입니당",5.0
이런 앞치마(?)같은 스타일의 원피스 사고싶었는데 세일에 쿠폰까지 써서 저렴하게 샀어요! 키가 큰편이라 기장 딱이예요! 지금 계절에 휘뚜루마뚜루 입기 좋아요 편하고 스타일도좋아보이구요! 엄마는 생선가게 사장님 같다고 하시는데 전 좋아요!!!!,5.0
"앞치마처럼 막입는데
옷이 엄청불편하긴해요
싼맛에 기분 전환 용으로
잘 입네요
딱 거기까지^^",3.0
