Review,Star
"이런 흑청스커트 사고 싶었는데 
무신사에 딱!! 가격도 착하고 
라지 시켰더니 낙낙하고 좋으네요",5.0
허리가 크지만 엉덩이부분은 또 얼추 맞아서 벨트해야겠어요ㅎㅎ제 키에는 롱기장인데 올해 유행이 롱스커트라니 그냥 수선안하고 입으려고요,4.0
"색상과 길이, 허리 모두 마음에 듭니다
다만 데님이라 스판이 없어 움직일때 약간 제한이 있습니다.
우선 저는 계단을 2칸씩 올라가기 힘든 정도입니다.
다리가 더 길수록 활동하기 편해질 거 같습니다.
그거빼고는 다~~ 만족합니다.
사실 알았어도 샀을 거 같아요. 전 그닥 불편하다고 생각되지는 않아서!",5.0
접힌 채로 포장되어 밑 부분에 주름이 좀 심하지만 대체적으로 만족합니다,4.0
"라이트 인디고 먼저 구입해서 잘입고 가을이라 워시드블랙도 구입했어요
같은 M사이즈인데 워시드블랙이 더 작아요
허리 엉덩이 전체적으로 단면 1센티정도 작고 
길이는 1.5정도 길어요
라이트 인디고가 더 편하게 잘 맞는데
L로 교환했다가 크면 별로일것 같아서
그냥 입을려구요
사이즈가 딱 맞아서 핏은 더 이쁘긴해요
스판이 없는 원단이라 앉을때 불편하지만
핏은 예뻐요
색상은 이름대로 물빠진 블랙입니다
세탁할때 조심해야겠어요 더 빠지면 안 이쁠것 같아요
40대 중반이지만 무탠다드옷은 바느질이랑 원단이 좋아서 기본템으로 몇가지 가지고 있어요
같은 디자인으로 생지나 진청도 나왔으면 좋겠어요",4.0
"블랙롱치마가 몇개 잇어서 구매망설였는데 확실히 데님이라 워싱이들어가 아주블랙이아니고 어두운그레이로 색상도 은은히포인트되고 
지퍼디테일, 그리고  살짝에이라인핏이라  
제가 가지고잇던 다른 치마들보다 캐주얼하게 코디가능할듯해요

붙는 항아리핏니트도있는데 그거는 입었을때 올드해보이고   잘안어울리던 코디도 이옷으로코디하니까 훨씬이쁩니다 롱치마도 다같은게아니네요

기장도 제키에 애매하지않고 정말딱원하는길이고 핏이라서마음에듭니다 
사이즈는 평소 단면 34cm, 바지 27입는데 이거는 배꼽까지오는 하이웨스트스타일이라 정사이즈로 알맞게맞았어요 데님이라 입다보면 약간늘어나기도할것같습니다
두께는 피치기모? 그거보다얇지만 탄탄하고 데님면치고두꺼워서 안에 기모 스타킹신으면 
여름이랑 한겨울빼고 잘입을것같아요
 
아쉬운거는 안쪽라벨보니 약간의이염이잇어서 조심해서입어야겠네요 

무신사첫구매인데 쿠폰써서 잘구매햇습니다",5.0
"색상과 길이, 허리 모두 마음에 듭니다
다만 데님이라 스판이 없어 움직일때 약간 제한이 있습니다.
우선 저는 계단을 2칸씩 올라가기 힘든 정도입니다.
다리가 더 길수록 활동하기 편해질 거 같습니다.
그거빼고는 다~~ 만족합니다.
사실 알았어도 샀을 거 같아요. 전 그닥 불편하다고 생각되지는 않아서!",5.0
접힌 채로 포장되어 밑 부분에 주름이 좀 심하지만 대체적으로 만족합니다,4.0
"라이트 인디고 먼저 구입해서 잘입고 가을이라 워시드블랙도 구입했어요
같은 M사이즈인데 워시드블랙이 더 작아요
허리 엉덩이 전체적으로 단면 1센티정도 작고 
길이는 1.5정도 길어요
라이트 인디고가 더 편하게 잘 맞는데
L로 교환했다가 크면 별로일것 같아서
그냥 입을려구요
사이즈가 딱 맞아서 핏은 더 이쁘긴해요
스판이 없는 원단이라 앉을때 불편하지만
핏은 예뻐요
색상은 이름대로 물빠진 블랙입니다
세탁할때 조심해야겠어요 더 빠지면 안 이쁠것 같아요
40대 중반이지만 무탠다드옷은 바느질이랑 원단이 좋아서 기본템으로 몇가지 가지고 있어요
같은 디자인으로 생지나 진청도 나왔으면 좋겠어요",4.0
"블랙롱치마가 몇개 잇어서 구매망설였는데 확실히 데님이라 워싱이들어가 아주블랙이아니고 어두운그레이로 색상도 은은히포인트되고 
지퍼디테일, 그리고  살짝에이라인핏이라  
제가 가지고잇던 다른 치마들보다 캐주얼하게 코디가능할듯해요

붙는 항아리핏니트도있는데 그거는 입었을때 올드해보이고   잘안어울리던 코디도 이옷으로코디하니까 훨씬이쁩니다 롱치마도 다같은게아니네요

기장도 제키에 애매하지않고 정말딱원하는길이고 핏이라서마음에듭니다 
사이즈는 평소 단면 34cm, 바지 27입는데 이거는 배꼽까지오는 하이웨스트스타일이라 정사이즈로 알맞게맞았어요 데님이라 입다보면 약간늘어나기도할것같습니다
두께는 피치기모? 그거보다얇지만 탄탄하고 데님면치고두꺼워서 안에 기모 스타킹신으면 
여름이랑 한겨울빼고 잘입을것같아요
 
아쉬운거는 안쪽라벨보니 약간의이염이잇어서 조심해서입어야겠네요 

무신사첫구매인데 쿠폰써서 잘구매햇습니다",5.0
