Review,Star
"너무 편하고 가벼워요.
허리 부분이나 전반적인 핏도 맘에 들어서 다른 색도 하나 더 살까 고민중입니다! 편하게 여기저기 입기 좋을 것 같아요.",5.0
"163/60인데 커요
낙낙한 수준을 넘어서 커요",3.0
"봄, 여름, 가을까지 내츄널한 화이트 컬러 원피스 참 예쁘다.
아이보리 느낌인데, 기장도 길고 롱원피스로 라인이 상체와 하체 고루 잡혀서 좋다. 아쉬운게 있다면 때가 잘타서 세탁을 자주해야하지만 디자인은 최고다.",5.0
"바스락 거리는 소재로 여름에도 찝찝하지 않게 입을 수 있어서 좋았습니다! 검정 원피스다보니 아무 아이템하고 매치해도 어울려서 쉽게 코디 가능! 
긴 기장으로 인해서 계단 청소가 가능하지만 예쁘니 눈감을 수 있습니당 ㅎㅎ",5.0
"완전 편하고 제가 키가커서 
이렇게 길이가 딱좋은 롱원피스는 
간만에 찾았네요ㅠㅠ
왜 인기많은지 알것같음
막 구겨지는 재질이 아니라 
사각사각한? 느낌이라 여름에 입기 좋아요!
암튼 그냥 세탁해도 변형이 없어서 굿굿
휘뚜루마뚜루 입기 가능~!",5.0
엠버용 나일론이라서 좋고 기장도 딱 마음에 들어요,5.0
길이 왐전 대만족입니다 ㅎㅎ 재질도 시원하구 좋아용,5.0
"봄, 여름, 가을까지 내츄널한 화이트 컬러 원피스 참 예쁘다.
아이보리 느낌인데, 기장도 길고 롱원피스로 라인이 상체와 하체 고루 잡혀서 좋다. 아쉬운게 있다면 때가 잘타서 세탁을 자주해야하지만 디자인은 최고다.",5.0
"바스락 거리는 소재로 여름에도 찝찝하지 않게 입을 수 있어서 좋았습니다! 검정 원피스다보니 아무 아이템하고 매치해도 어울려서 쉽게 코디 가능! 
긴 기장으로 인해서 계단 청소가 가능하지만 예쁘니 눈감을 수 있습니당 ㅎㅎ",5.0
"완전 편하고 제가 키가커서 
이렇게 길이가 딱좋은 롱원피스는 
간만에 찾았네요ㅠㅠ
왜 인기많은지 알것같음
막 구겨지는 재질이 아니라 
사각사각한? 느낌이라 여름에 입기 좋아요!
암튼 그냥 세탁해도 변형이 없어서 굿굿
휘뚜루마뚜루 입기 가능~!",5.0
엠버용 나일론이라서 좋고 기장도 딱 마음에 들어요,5.0
길이 왐전 대만족입니다 ㅎㅎ 재질도 시원하구 좋아용,5.0
"다들만족하시는이유가있네요 짧게 수선해서 입으려고줄였더니
맘 에쏙들어요",5.0
바스락거리는 재질이고 바람이 잘 통해서 편하게 입을 수 있는 원피스에요.,5.0
여자친구 사줬는데 핏 너무 좋구 원단도 좋아서 맘에들어하네요,5.0
가벼운소재에 길이감도 적당하고 달라붙지않을 정도의 여유도있고 더욱이 가격까지 착하네요ㅎ,5.0
가벼운소재에 길이감도 적당하고 달라붙지않을 정도의 여유도있고 더욱이 가격까지 착하네요ㅎ,5.0
"엄청길어요
재질은 시원할듯
마른편이라 허리 밴딩 있어도 조금 크네요",4.0
"소재 가볍고 안입은것같은 느낌이에요~
아이보리는 안에 비칩니다!! 기장 길어서 좋고 까끌거리지도 않아서 편합니다~ 허리 조금더 잡아줬으면 좋았을것같다요
~~여름에 시원하게 입을것같습니다!",5.0
"블랙이랑 민트랑 고민하다가 시원하게 입고싶어서 민트로 구매했어요. 
재질 너무 시원하고 기장도 맘에 듭니다. 
비침있을까봐 걱정했는데 비침도 업어요. 
잘 입고 다닐것 걑아요.",5.0
"엄청길어요
재질은 시원할듯
마른편이라 허리 밴딩 있어도 조금 크네요",4.0
"소재 가볍고 안입은것같은 느낌이에요~
아이보리는 안에 비칩니다!! 기장 길어서 좋고 까끌거리지도 않아서 편합니다~ 허리 조금더 잡아줬으면 좋았을것같다요
~~여름에 시원하게 입을것같습니다!",5.0
"블랙이랑 민트랑 고민하다가 시원하게 입고싶어서 민트로 구매했어요. 
재질 너무 시원하고 기장도 맘에 듭니다. 
비침있을까봐 걱정했는데 비침도 업어요. 
잘 입고 다닐것 걑아요.",5.0
"바스락재질에  땀 흡수는전혀안되는 소재
훤ㅇㅣ 비쳐서   원피스속옷착용.
길이가 길어서 세탁소에 길이수정했어요
키작녀는  꼭줄이세요.",3.0
놀러가서 잘 입고 다녔어요^^ 편해요 다음에 또 구매할께요,5.0
"상품 평이 좋아 구매했는데 여름에 아주 잘 입고 다녔어요
통통한 66반 사이즈인데 저에게도 여유가 있네요
개인적으로 애매한 길이감의 원피스를 싫어하는데 총장이 길어서 아주 좋았습니다
바스락 원단이라 여름에 입기 시원했어요",5.0
가벼운소재에 길이감도 적당하고 달라붙지않을 정도의 여유도있고 더욱이 가격까지 착하네요ㅎ,5.0
161인데 발목까지 와요 ㅎㅎ 제 키가 작은탓이겠지만 길어서 편하게 여기저기 은근 자주입어요,5.0
키가작아서 기장이 조금 길어 발목까지오는데 디자인이랑 다름핏은 만족스러워요,5.0
길이가 저한텐 길어요 ㅜㅜ 그치만 이건 키 작은 제 탓이라.. 근데 붙지도 않고 낙낙하니 이뻐서 좋아요,5.0
비닐같은 재질에 아무때나 입기 좋습니다. 어떤 악세사리를 매치하냐에 따라 느낌이 달라져서 좋아요,5.0
"딱 기본 원피스인데 가운데 스트링? 셔링 처리되있어서
허리가 아주 조금은 얇아보여요 ㅎㅎ
사이즈는 제가 덩치가 있는데도 넉넉하네요
사락사락(?)거리는 재질이라 덥지는 않을거같아요",4.0
"바스트가 크신 분들, 허리라인 없으신 분들은 특히나 옷 사실 때 걱정 많으실텐데요.
이 원피스 추천합니다!
저는 바스트가 크고 고무줄 몸무게에요
먹는 만큼 배가 늘어나요
그래서 기존에 입던 티셔츠나 바지가 갑자기 찡기거나 안잠기면 정말 멘붕이거든요..😥
그리고 그러던 찰나에 경조사가 생긴다?!
어떡하지 어떡해 외치던 제가!!!!
이 원피스 구매하고 마음이 편안해요☺️
밴딩이 정말 편안하고 허리 밴딩이 엄청 잘 늘어나요!
저는 어깨가 좁고 바스트는 크고 통짜허리에요
날씬하신 분들은 크지 않을지 걱정하실텐데, 내가 빼빼 말랐다 하시면 클 수 있어요~
프리사이즈이니 감이 안잡히실 수 있는데,  
저는 키 165에 63 복부 비만형이구요~
어깨는 좁고 허리는 없는 체형입니다!
바스트 75g-i",5.0
