Review,Star
"골반 있는 사람이 못 입는 치마가 
플리츠 스커트.
무신사 제품은 입어도 됩니다.",5.0
"너무잘입고있어요ㅎㅎ
다른옷들이랑도 매칭이좋아요
오버핏자켓이랑 같이입으면
평양여자됩니다",5.0
색도 너무 맘에들고 손 자주가는 치마에요 잘 샀어요,5.0
허리사이즈는 잘 맞구 길이는 쫌 길어서 6cm정도 줄여서 착용했어요! 차콜그레이 세트로 맞춰서 구매해서 아주 좋아용,5.0
허리가 딱 맞네요!! 여기저기에 매치하기 좋답니당!,5.0
"옷 구김에 대한 평이 많아서 걱정했는데
생각보다 입었을땐 구김이 덜한데
접어서 보관하면 구김이 지는거 같아요 ㅠㅠ
그래도 디자인이 예뻐 만족합니다!!",5.0
색도 너무 맘에들고 손 자주가는 치마에요 잘 샀어요,5.0
허리사이즈는 잘 맞구 길이는 쫌 길어서 6cm정도 줄여서 착용했어요! 차콜그레이 세트로 맞춰서 구매해서 아주 좋아용,5.0
허리가 딱 맞네요!! 여기저기에 매치하기 좋답니당!,5.0
"옷 구김에 대한 평이 많아서 걱정했는데
생각보다 입었을땐 구김이 덜한데
접어서 보관하면 구김이 지는거 같아요 ㅠㅠ
그래도 디자인이 예뻐 만족합니다!!",5.0
"플리츠 스커트 오랜만에 사서 입어봅니당
빳빳한 재질이라서 조금 단단히 잡아주는 거 같아요!
다른색도 사서 입어볼 거 같아요!",5.0
"키가 작은데도 너무 길지않게 롱스커트로 입을수있어요
골반이커서 롱플레어 스커트가 안어울리는 편인데 날씬해보여요
가격대비 최고입니다",5.0
