Review,Star
레이어드를 정말 좋아하는 사람으로 이 디자인 스커트는 유용하게 입을 수 있을 것 같고 실물이 더 예뻐서 너무너무 만족해요 !!!!❤️,5.0
너무 여성스럽지도 않고 너무 힙하지만도 않은 느낌?? 이뿌게 잘입었어요 활용도가 높아요,5.0
요즘 유행하는 스타일이라 고민했는데 디테일이 다른거 같아서 구매해봤어요! 이쁘네요,5.0
"레이어드용 스커트 필요해서 구매했는데 정말 너무 예뻐요! 🥺 살짝 어시메트릭 해서 맛이 더 사는거 같아요 ~•°
줄이 길긴 한데 허리에 두번 두르고 묶으면 딱 예쁘게 내려오는 기장이에요 
진짜 너무 만족 🤍🤧",5.0
레이어드해서 입으면 너무 이뻐요 딱 요즘 유행하는 스타일이예요,5.0
심심한 룩에 툭 둘러만주면 확 포인트 되고 엄청 예뻐요!! 근데 생각보다 끈이 엄청 길어서 엄청 뚤뚤 둘러줘야돼요ㅋㅋ 그래도 예쁩니다 -_-b,5.0
요즘 유행하는 스타일이라 고민했는데 디테일이 다른거 같아서 구매해봤어요! 이쁘네요,5.0
"레이어드용 스커트 필요해서 구매했는데 정말 너무 예뻐요! 🥺 살짝 어시메트릭 해서 맛이 더 사는거 같아요 ~•°
줄이 길긴 한데 허리에 두번 두르고 묶으면 딱 예쁘게 내려오는 기장이에요 
진짜 너무 만족 🤍🤧",5.0
레이어드해서 입으면 너무 이뻐요 딱 요즘 유행하는 스타일이예요,5.0
심심한 룩에 툭 둘러만주면 확 포인트 되고 엄청 예뻐요!! 근데 생각보다 끈이 엄청 길어서 엄청 뚤뚤 둘러줘야돼요ㅋㅋ 그래도 예쁩니다 -_-b,5.0
와아앙아아앙 귀여븜😝😝😝 먼가 그냥 일자로 되어있는 스커트는 애매하다고 생각했는데 얘는 디자인이 너무 이쁨!!!,5.0
