Review,Star
다른 색도 사고 싶어요 세일할 때 못 사서 아쉬워요ㅠ,5.0
그레이 색깔 롱 스커트 하나 갖고 싶어서 구매했는데 너무 이뻐서 만족했어요! 사이즈를 딱 맞게 했더니 허리는 잘 맞는데 골반쪽이 벗을때 너무 불편해서 하나 크게 주문했어요 근데 허리가 너무 커서 크게 주문한다면 벨트 필수!!,4.0
올 여름에 연청컬러로 사고 잘입고 다녀서 겨울 기념 그레이컬러까지 추가구매 했어요ㅎㅎ 부츠신으면 딱 이쁘네요!,5.0
좋아요 재질이 부드럽진않지만 힘이 있는재질이라 장단점이 있네요 걸을때 펄럭소리가 나서 거슬리지만 핏 좋아요,3.0
예뻐요 생각했던 밝은 그레이 색상이고 딱맞아서 안줄여도되고 좋습니다,5.0
26인데 에스 사려다 엠 샀고 넉넉한데 니트도 넣어입고 좋을 것 같아요 100점!!!♡,5.0
올 여름에 연청컬러로 사고 잘입고 다녀서 겨울 기념 그레이컬러까지 추가구매 했어요ㅎㅎ 부츠신으면 딱 이쁘네요!,5.0
좋아요 재질이 부드럽진않지만 힘이 있는재질이라 장단점이 있네요 걸을때 펄럭소리가 나서 거슬리지만 핏 좋아요,3.0
예뻐요 생각했던 밝은 그레이 색상이고 딱맞아서 안줄여도되고 좋습니다,5.0
26인데 에스 사려다 엠 샀고 넉넉한데 니트도 넣어입고 좋을 것 같아요 100점!!!♡,5.0
길이도 적당하고 핏 때문에 s로 샀는데 핏이 정말 예뻐요!,5.0
수선 없이 맞는 하의 찾기 어려운데 무신사스탠다드는 작은 사이즈까지 나와서 너무 좋아요! 앞트임이 깊어서 앉았을 때 허벅지 반정도까지 올라옵니다.,5.0
사이즈 살짝 고민했는데 s사이즈 딱 맞아요~ 여름에 입기에 데님재질이 살짝 두껍긴합니다만 대신 탄탄해요~ 색도 맘에 들고 제키에는 롱이라 것도 맘에 들어요~ 다른색도 주문해야겠어요,5.0
편하고 좋아요 정사이즈에요 배송도 빨라서 좋았습니덩,5.0
뚱뚱인지라 프리사이즈는 부담스러운데 무탠다드는 사이드 나뉘어있고 라지가 진짜 라지라서 좋아요 굿,5.0
평소 28-29사이즈 입는데 M입으니 딱 좋아요. 원단도 너무 두껍지 않아서 봄에 입기 딱 알맞네요! 색감도 연한 그레이라 특이해서 예뻐요,5.0
"길이가 좀 길지만 전체적인 핏 딱 좋습니다.
허리, 엉덩이라인 어느 하나 뜨는곳 없이 정말 좋아요",5.0
"옷이 슬림하게 빠져서 이뻐요
블랙이품절인게 아쉽네요",5.0
"펑퍼짐하지 않고 폭이 좁아서 마음에 들어요
색도 어둡지 않은 회색이에요
다만 유교걸 기준 파임이 깊어서 저는 좀 박고 길이도 좀 줄이려고 합니다. 길이는 제 기준 좀 길다는 생각이 들어서요.",5.0
"길이가 좀 길지만 전체적인 핏 딱 좋습니다.
허리, 엉덩이라인 어느 하나 뜨는곳 없이 정말 좋아요",5.0
"옷이 슬림하게 빠져서 이뻐요
블랙이품절인게 아쉽네요",5.0
