Review,Star
글로니 특유의 사랑스러움이 잘 보이는 스커트 같아요,5.0
"어떻게 평가해야 할지 모르겠어서 말씀드렸더니 혹여나 탁이라고 할까 봐, 말 안 해도 미안한 마음이 들어서 이번 쇼핑 체험이 꼭 최고일 필요는 없지만 같은 가격대에서는 단연 최고입니다.",5.0
"허리 사이즈 적당하고, 밑단이 나중에 세탁할때 걱정되긴 하지만,, 예쁘고 귀엽고 다 합니다💙",5.0
"색상이 오묘한 옅은 베이비블루색상인데
웜톤분들이 어울릴만한색이라
스프라이트살걸 하는생각이드네요
이쁜데 안감도 없고 사실 퀄리티에이가격대는 많이 비싼감이 있어요",5.0
네이비색상보다 원단이 더 얇아서 그런지 사이즈도 크게 느껴져요. 티어드 스커트 눈여겨보다가 네이비색상 구매후 베이비블루도 재구매했어요. 예뻐요. 제품 품질 대비 가격은 좀 비싼듯!,4.0
색감도 예쁘고 마음에들어요 ! 여름에시원하니 입기좋아요,5.0
"허리 사이즈 적당하고, 밑단이 나중에 세탁할때 걱정되긴 하지만,, 예쁘고 귀엽고 다 합니다💙",5.0
"색상이 오묘한 옅은 베이비블루색상인데
웜톤분들이 어울릴만한색이라
스프라이트살걸 하는생각이드네요
이쁜데 안감도 없고 사실 퀄리티에이가격대는 많이 비싼감이 있어요",5.0
네이비색상보다 원단이 더 얇아서 그런지 사이즈도 크게 느껴져요. 티어드 스커트 눈여겨보다가 네이비색상 구매후 베이비블루도 재구매했어요. 예뻐요. 제품 품질 대비 가격은 좀 비싼듯!,4.0
색감도 예쁘고 마음에들어요 ! 여름에시원하니 입기좋아요,5.0
"피부가 까만편인 분들이 잘 어울릴듯해서
스트라이프살걸 후회하다가 이뻐서 품는데
솔직히 이가격대는 너무 말이안되긴해요ㅠ",4.0
"색감도 특이하고 흰색 사려다가 하늘색이너무 예뻐서 구매했어요 촉감도 좋고 시원하네요! 
다만 다른 분들이 말한 것처럼 끝에 마감 처리가 아쉬워요",5.0
