Review,Star
옷은 너무 예뻤는데 사이즈가 생각보다 너무 커서 조금 놀랐어요!!! 그래도 옷은 예뻐서 잘 입고 다닐게요!!,2.0
"찰방찰방한 재질이고 생각보다 허리가 큼, 로우라이즈로 입어야 할듯 But 개힙함
👉🏻허리는 신발끈으로 묶고 다님^.^ 힙.",5.0
딱 원하던 색감에 핏입니다 ㅎㅎ 어디에나 어울릴법한 적당히 물빠진 색감,5.0
잘입고다니는중입니다 ㅎㅎ 엄청 크긴한데 운동화끈으로 뒤에 묶고다니면 귀옂고 좋아요,5.0
옷은 너무 예뻤는데 사이즈가 생각보다 너무 커서 조금 놀랐어요!!! 그래도 옷은 예뻐서 잘 입고 다닐게요!!,2.0
"찰방찰방한 재질이고 생각보다 허리가 큼, 로우라이즈로 입어야 할듯 But 개힙함
👉🏻허리는 신발끈으로 묶고 다님^.^ 힙.",5.0
딱 원하던 색감에 핏입니다 ㅎㅎ 어디에나 어울릴법한 적당히 물빠진 색감,5.0
잘입고다니는중입니다 ㅎㅎ 엄청 크긴한데 운동화끈으로 뒤에 묶고다니면 귀옂고 좋아요,5.0
"요새 입을 청바지가 없고 워싱데님을 찾고 있었는데 이 제품을
발견했을 때 진짜 이거다 하는 생각이 들어서 바로 구매하게
되었는데 일단 포장이 꼼꼼해서 좋았고 데님 자체 퀄리티가 좋아서
매우 만족하게 된 제품입니다ㅎㅎ 사진보다 실물이 더 예뻐서
믿고 구매하셔도 될 것 같네요! 필루미네이트 옷 자체를 첨 사는데
믿고 구매하는 브랜드를 한개 찾은 것 같아요ㅎㅎ 일단 저는
워싱 데님 입문자 분들께 이 옷 강.력.추.천 합니다!!
가격이 깡패에여 진짜 입어보세요ㅠㅠ 전 요새 이 바지만 입어요!
끝으로 많이 파시고 번창하시고 전 나중에 또 재구매 의사 있슴다!",5.0
허리가 너무 크긴 한데 색감도 이쁘고 길이도 적당해요,5.0
"조금씩 디테일 워싱 들어간게 이쁘고, 얇아서 여름까지 잘 입을 수 있을 것 같아서 좋습니다! 가벼워서 편하게 입기 좋아요!",5.0
허리에 딱 맞고 허벅지도 편안하게 움직일 수 있어서 좋습니다. 어디에든 어울리는 색감도 마음에 들어요.,5.0
너무 오래 기다렸고 예정일보다 더 늦어져서 아쉬웠지만 워싱도 예쁘고 색상도 좋아요 바지통이 생각보다 더 크기는 하는데 괜찮을 것 같아서 입어보려구요,5.0
"이런 디테일들은 잘 보이지도 않게 상품 사진을 업로드 하는건 좀 아쉽네요 
워싱이나 핏 기장이 딱 취향이라 주문했는데 
디테일들 보니까 좀 짜쳐서 입지는 않을거 같습니다",3.0
고심 끝에 이 제품을 구매했는데 살 당시에는 신상이라 고민했는데 그 고민을 없앨 만큼 좋습니다~ ㅎ,5.0
"제품이 너무 만족스러워 후기를 적어봅니다.

제 신체사이즈 기준으로 L사이즈가 딱입니다.

핏은 사진에서 보실 수 있다시피 예쁩니다.

유행따라가는 힙한 핏입니다. - 합격


통는 조금 큰 편인데 오히려 통기성이 좋아지므로 장점이라고 볼 수 있겠습니다.

한여름에는 입기 조금 힘들고, 비가 온 다음날 혹은 기온이 내려간날엔 입을 수 있는 두께입니다. (27도 실외에서 입고 많이 걸어다녔는데, 버틸만 합니다.)

통이 커서 핏을 망치거나 불편하지는 않습니다.

오히려 더 편합니다. 다만 오버사이즈로 구매할 경우 한복 핏이 나와버려서 옷장행이 될 수 있으니 정사이즈, 애매하면 다운사이즈하시는 걸 추천드립니다. - 부분 합격


두께는 얇습니다.
다만 엄청 시원하고 그렇진 않습니다. 아무래도 데님이다 보니 약간의 두께감은 있습니다. 전체적으로 아침과 밤의 쌀쌀할 때와 낮에 더운 온도를 균형감있게 커버해준다고 생각하면 됩니다. 통이 크다보니 커버가 되네요.

다시 말해서 아침, 낮, 밤이 더운 한여름에는 입기 어려울 수 있습니다.(실외 활동 기준으로) - 만족


길이는 만족스럽습니다.

다만, 저는 허리가 살짝 남아서 바지가 내려가다 보니깐, 정말 살짝 닿긴한데, 불편할 정도는 아닙니다. 그러니깐 정사이즈 애매하면 다운사이즈하시는 걸 추천드립니다. - 합격


색상은 평범합니다.
연청인데 조금 레트로하고 빈티지한 컬러에 스티치가 조금 있습니다. 힙해서 오히려 좋습니다. - 매우 합격


냄새가 조금 납니다.
바지에서 석유냄새가 납니다. 청바지 특성 상, 충분히 발생할 수 있기에 단점으론 말하기 어려운 부분입니다. 이럴 경우, 40-60도 미온수를 소금물로 만들어서 손세탁하면 해결되는 부분이니 크게 걱정하실 필요는 없습니다. - 아까움


배송은 정말 빠릅니다.
월요일날 퇴근시간에 택배 발송되어 화요일날 퇴근시간에 도착했습니다.(지역에 따라 편차가 있을 수 있겠죠?)- 매우 합격


정리해보자면, 여름 초반과 후반에 입을 수 있는 바지를 찾으시면 이 제품으로 가시면 될 것 같고, 정사이즈 애매하면 다운사이즈 하셔서 구매하시면 됩니다.


제 리뷰가 도움이 되었기를 바랍니다:)",4.0
생각보다 진짜 크네요.. S로 사도 괜찮았을 것 같아요?! 하지만 다들 이쁘다고 그러고 재질도 시원하고 넘 잘 산거 같아요^_^ 다른 색상도 구매하고 싶어용❤️,5.0
"청바지지만 얇고 가벼운 느낌이라 여름에도 충분히 입고 다닐 수 있겠어요. 

허리는 잡아주고 다리 부분은 오버핏으로 내추럴하지만 차려입은 듯한 느낌을 주더라고요~

바지는 28-29 사이즈를 입는데 M으로 받아보니 허리는 맞고 바지 밑단이 조금 끌리는데요. 굽 있는 신발을 신을 경우 전혀 문제가 되지 않을 거 같아요.

딱 붘는 크롭티랑 코디하면 여름 오오티디로 작살날거 같은데 살이 올라 크롭티는 무리고 ㅠㅠ 오버핏 티셔츠들이랑 코디를 해볼 거 같아요",5.0
고심 끝에 이 제품을 구매했는데 살 당시에는 신상이라 고민했는데 그 고민을 없앨 만큼 좋습니다~ ㅎ,5.0
"제품이 너무 만족스러워 후기를 적어봅니다.

제 신체사이즈 기준으로 L사이즈가 딱입니다.

핏은 사진에서 보실 수 있다시피 예쁩니다.

유행따라가는 힙한 핏입니다. - 합격


통는 조금 큰 편인데 오히려 통기성이 좋아지므로 장점이라고 볼 수 있겠습니다.

한여름에는 입기 조금 힘들고, 비가 온 다음날 혹은 기온이 내려간날엔 입을 수 있는 두께입니다. (27도 실외에서 입고 많이 걸어다녔는데, 버틸만 합니다.)

통이 커서 핏을 망치거나 불편하지는 않습니다.

오히려 더 편합니다. 다만 오버사이즈로 구매할 경우 한복 핏이 나와버려서 옷장행이 될 수 있으니 정사이즈, 애매하면 다운사이즈하시는 걸 추천드립니다. - 부분 합격


두께는 얇습니다.
다만 엄청 시원하고 그렇진 않습니다. 아무래도 데님이다 보니 약간의 두께감은 있습니다. 전체적으로 아침과 밤의 쌀쌀할 때와 낮에 더운 온도를 균형감있게 커버해준다고 생각하면 됩니다. 통이 크다보니 커버가 되네요.

다시 말해서 아침, 낮, 밤이 더운 한여름에는 입기 어려울 수 있습니다.(실외 활동 기준으로) - 만족


길이는 만족스럽습니다.

다만, 저는 허리가 살짝 남아서 바지가 내려가다 보니깐, 정말 살짝 닿긴한데, 불편할 정도는 아닙니다. 그러니깐 정사이즈 애매하면 다운사이즈하시는 걸 추천드립니다. - 합격


색상은 평범합니다.
연청인데 조금 레트로하고 빈티지한 컬러에 스티치가 조금 있습니다. 힙해서 오히려 좋습니다. - 매우 합격


냄새가 조금 납니다.
바지에서 석유냄새가 납니다. 청바지 특성 상, 충분히 발생할 수 있기에 단점으론 말하기 어려운 부분입니다. 이럴 경우, 40-60도 미온수를 소금물로 만들어서 손세탁하면 해결되는 부분이니 크게 걱정하실 필요는 없습니다. - 아까움


배송은 정말 빠릅니다.
월요일날 퇴근시간에 택배 발송되어 화요일날 퇴근시간에 도착했습니다.(지역에 따라 편차가 있을 수 있겠죠?)- 매우 합격


정리해보자면, 여름 초반과 후반에 입을 수 있는 바지를 찾으시면 이 제품으로 가시면 될 것 같고, 정사이즈 애매하면 다운사이즈 하셔서 구매하시면 됩니다.


제 리뷰가 도움이 되었기를 바랍니다:)",4.0
생각보다 진짜 크네요.. S로 사도 괜찮았을 것 같아요?! 하지만 다들 이쁘다고 그러고 재질도 시원하고 넘 잘 산거 같아요^_^ 다른 색상도 구매하고 싶어용❤️,5.0
