Star,Review
5.0,원단이 얇다보니까 재봉선이 보이긴 하는데 자세히 봐야만 보여서 전투용으로 입고다니긴 좋은거같아요!
3.0,릴렉스 핏이라서 그런지 품이 조금 크네요 하지만 기장감은 딱이에요 상체가 조금 아쉬운분들은 M이 어울릴것 같아요
5.0,무난하고 베이직한 블레이저입니다! 초가을까지 입을 수 있을 것 같아요!
5.0,10퍼세일때 샀는디...사자마자 하루뒤에 15퍼세일하네 흙흙...누락한 무신사매거진148만 보내주세요 그거 하나라도 나는 만족해☆ 요즘같은 더운날에는 쿨탠다드 블레이져~☆
5.0,혹시 모를 일을 위해 검은색 정장 준비하면서 구매했는데 봄여름가을 계절을 위해 쿨맥스 원단 구매했습니다. 핏 재질 만족스럽네요.
5.0,결혼식에 입고갔어요 . 상품의 질이 너무 좋아서 다음에도 또 구매할게요.
5.0,블레이저 의류를 좋아해서 요즘 날씨에 입을만한 블레이저를 구입하려 했는데 두께도 괜찮고 핏도 좋네요 만족합니다.
5.0,편하고 좋아요 조금 크게 나와서 한사이즈 다운했어요
5.0,좋네요~딱원하던스타일입니다 많이파세요감사합니다ㅎ
5.0,쿨탠다드라서 가볍구 시원하네요 핏은 넉넉해서 착용감이 편해요!
5.0,생각보다 이쁘고 굉장히 편해용 여름에 입기도 좋네요
5.0,딱 재질이 시원하고 땀이 잘 말라서 운동할 때 꼭 착용중입니다. 너무 좋네요 ㅎㅎ 이벤트해서 더 싸게 구한거 같아 너무 좋습니다 ㅎㅎ
5.0,덩치가 있는 편인데 팔이 들어가는게 있어서 다행입니다. 전체적으로 품이 있는 편이고 신축성도 좋아서 편합니다. 안감이 없기 때문에 시원한 재질입니다. 엄청 고급 느낌은 아니지만 가격대비 생각하면 데일리로 입기 좋습니다.
5.0,제품 너무좋습니다. 소재가 앏고 시원해서 초여름에 입기에도 너무 좋은 제품입니다 사이즈는 정사이즈로 평소 xl입는데 아주 잘 맞습니다  가격도 저렴해서 강추하는 제품입니다 검정 블레이저로 너무 좋은 제품입니다
5.0,무탠다드는 믿고 사는 제품이죠 셋업이 필요하여 상하의 세트로 구매했어요
