Star,Review
5.0,후드 베스트는 첫 구매인데 활용도가 좋아서 자주 입을 것 같네요 ㅎㅎ 더위 많이 타는 편인데 엄청 얇아서 생각보다 덥지 않아요!
5.0,여행 내내 잘 입었어요! 더울때 포인트로 주기 좋은 베스트 ◡̈ 
5.0,진짜 힙해지고 시원해요 지금 같이 살인 더위에 입어도 좋아요 포인트 주기 좋아서 강추 입니다 가격도 천사 가격..
5.0,카고팬츠랑 매치하면 잘어울리네요 여름에 포인트 주기 좋은 것 같습니다 
5.0,예상보다 배송이 빨라서 좋았습니다! S인데도 꽤 커요.. 평소에 오버사이즈로 입으시는 분들이면 M이랑 S 중에 고민 하실 것 같은데 S도 꽤 크고 넉넉 합니다. 모자사 꽤 많이 힘이 없다는 거 알아주시면 될 것 같아요!
5.0,첨에 받고 좀 작은거 같아서 교환하려다가 계속 보니 이 사이즈도 예쁜거 같아 그냥 입어요.! 여름에 포인트 주기 너무 좋은옷입니다. 다만 밖에 나가면 이 옷 입은 사람이 꽤 있지만 옷이 예쁜걸 어쩌겠어요..ㅎㅎ 잘 입겠습니다ㅏ
5.0,정말 이뻐요 딱 제가 찾던 후드베스트였어요 총장이 조금 짧아서 레이어드용 티 기장이 너무 길면 안 예쁠것 같아용
4.0,재질이 이삼만원짜리는 아닌거 같아요ㅎㅎ 그래도 흰티에 가볍에 코디하기에 좋아요
5.0,"어느 제품을 구매할까 고민하다가 구매했는데, 기대했던 만큼 크게 만족하는 제품입니다! "
5.0,일단 진짜 힙하고 코디하기 정말 쉬운 거 같았음. 아래 고무줄로 크기 조절도 할 수 있고 얇고 가벼워서 여름에 입아도 안 더움! 흰티에 비니에 이거 끼면 진짜 힙함!
5.0,생각보다ㅜ얇긴한데 여름엔 오히려 나아요 편하게 레이어드하기 좋습니당
5.0,포인트 주기 좋아요! 맨날 반팔만 입었는데 조끼 입으니까 확 다르네여~ 조임끈도 굳! 🙉
5.0,"예약배송일에 딱 마춰서 발송되었고, 얇은 조끼가 필요했는데 여름에 입기 딱좋을듯합니다 바스락거리는 나일론 원단이고 한여름에도 가능할듯합니다! 후기에 지퍼않좋다고하는데 입어봐야알겠지만 아직까지는 나쁘지않은듯하고 후드끈이 쓸데없이 길긴합니다!"
5.0,여름에 운동 갈때나 여행갈 때 걸치기 좋아여 시원합니다
4.0,생각보다 그렇게 크진않아요 줄이너무길어서 불편할때가있음
5.0,  요즘 유행태ㅐ메바스락 재질에  지금은 좀 춥고 9월에사 10월 초 싹가능
5.0,베스트를 입어보고 싶어서 구매했는데 정말 이쁩니다 !
5.0,나일론 베스트 완전 가성비있게 산거 같아요 감사합니다 배송은 좀 느리네요ㅠ
5.0,여름에도 시원한 소재라서 날씨에 상관없이 걸치기 좋아요
5.0,귀여워요 배송 느린건 출고일 따로 적혀있었어서 예상했고요 얇아서 여름에 입기 좋을 것 같네요
5.0,정말 얇아요 질은 안 좋은데 싸게 구매해서 머 그냥저냥 입을 생각입니다…길이는 애매하게 길어서 여자분들은 s 무조건 추전해요
5.0,여름에 입기 좋은 나일론 재질에 가볍고 사이즈는 오버하게 샀는데 핏감이 스트링땜에 더 이쁜것 같아요 착용감 널널하고 저는 데님이랑 매치해서 재질차이 주면서 포인트 줘서 코디합니다
5.0,오늘 배송 도착했어요 옷감이 얇고 가벼워서 요즘 입기 좋은 옷입니다 가격도 저렴하게  만족합니다 
5.0,운동다닐때 가볍게 입으려고 고민하다가 주문했습니다  역시  평이 좋은 이유가 있었습니다. 바스락 무척 가벼운 소재  하지만 디자인 이뻐서 입으면  더 이쁩니다
5.0,후드끈이 길긴한데 오히려 귀엽고 좋아요:-) 엄청 얇아서 여름에도 가볍게 걸치치 좋아요 
5.0,진짜 완전 나이스한 디자인 입니다! 재질도 좋아요!
5.0,생각보다 끈이 길어서 저는 묶어서 쓰고 있어요 얇아서 여름에 입기 좋아요
4.0,"요론 베스트 하나 장만하고 싶었는데... 맘에 쏙 들었습니다만? 이제 여름 슬슬 가고있어서 빨리 입어줬어요 ㅎㅋ 두께감 얇은 편이라 막 덥지도 않고 좋습니당 히히 두꺼운 거 싫었거든용 ,, 아무튼 추천 !! 사이즈 스몰 좋씀당 👍🏽"
5.0,여행가서 입을려고 샀는데 힙해보여서 좋아용  재질도 나일론 소재라 가볍고 편해요 요즘 날씨에 입어도 무방해요 사이즈는 살짝 커서 여성분들은 한 치수 다운해서 사는게 좋을 것 같아요! 
5.0,반팔티에 레이어드해서 입었는데 짱 편하구 맘에 들었어용
4.0,나일론 후드 베스트 하나 갖고 싶었는데 세일때 저렴하게 구매해서 만족해요 가격대가 가격인지라 지퍼가 먹힌다던가 하는 아쉬움은 어쩔수 없네요 그런거 까지 바라면 강도겠죠? 🥲
4.0,배송이 너무 늦어서 아쉬웠지만 옷 자체는 너무 예쁘고 맘에 듭니다
5.0,상체가 짧아서 기장 짧고 적당한 거 찾고 있었는데 너무 맘에 듭니다!
5.0,너무 맛있게 잘 입고 있습니다 가격도 싸고 좋네요 역시 파르티멘토 앞으로도 자주 이용할게요
5.0,무채색으로 휘뚜루마뚜루 입기에 넘 좋아요!! 이게 완전 얇아서ㅎㅎ얇은 반팔이랑 같이 입으면 여름에도 편하게 입을 수 있을 듯!! 심플이즈베스트!
5.0,얇으면서 여름에 입기 딱이고 특히 비오는날 쌀쌀할때 좋습니다. 가격대비 합리적이고 너무 좋아요 다른 색상도 궁금하네요!
4.0,무진장 세일때 할인받아 싼 가격에 입기 좋은 베스트 건졌습니다. 두께도 얇아 여름에 입기 좋아요
5.0,좋아요 쿠폰 적용해서 싸게 샀습니다 감사합니다
4.0,"168에겐 작은골,,? 제가 크게 입는 편이긴 한데 제 기준으로는 작아욤,,더 박시했으면 좋았을것 같아요 그리고 재질이 바시락 거리는 재질이에욤 그나저나 이거 입으면 비슷한 옷 자주 마주쳐서 안 흔한 색으로 사시길 추천"
5.0,입고싶은 스타일이였는데 좋은 가격의 좋은 제품인 거 같아서 바로 구매했습니다 사이즈는 딱 적당했고 두께감 엄청 얇고 무게도 가볍습니다 입었다 벗었다 하기도 편하구요 가성비 제품으로 정말 추천합니다 번창하세요~
4.0,"제가 크게 입는 편이긴 한데 그래도 남녀공용 제일 큰 사이즈라 넉넉히 클 줄 알았거든요,,제 생각보다 작아요 키가 168이고 평소 입는 박스티 위에 입어봤는데 애매합니동,,,,,,,"
5.0,지퍼가 좀 ㅠㅠ 하자가 있네요 잘 엇나가고 다시 맞추기 힘들어요… 하지만 옷은 이쁩니다..
4.0,엄청 가볍고 휘뚜루마뚜루 너무 좋아요! 대충 입었지만 멋내구좋아요! 더 빨리 살걸 싶어요 그리고 생각보다 크게 나온편은 아니에요!
5.0,흰티 위에 입으면 예쁜 것 같아요 아무래도 여름이어서 좀 덥긴 한데 만족합니다
5.0,"181/63으로 마른 편입니다. 사이즈 xl 구매했는데 기장감, 아웃핏 전부 마음에 들어요! 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리하게 걸쳐서 포인트를 줄 수 있을것 같아요. 상품 만족합니다"
3.0,"이런 옷 귀여워서 한번 사봤는데 저랑은 잘 안어울려서 입고 나간 적은 없어요  카와이한 사람들이 입어야할듯,, 저는 약간 무서운 인상이라 ㅎㅎ,,,"
5.0,굉장히 잘 입고 있습니다 너무 예쁘고 다들 예쁘다고 난리에요 
3.0,가격에 대비해 품질이 좋은 가성비 좋은 상품입니다. 
4.0,제가 좀 통통해서 L살까 고민했지만 M이 적당했고 흰티에 레이어드 하면 너무 이뻐요 꼭 사세요!
5.0,길이감도 좋고 재질도 좋은데 가장 좋다고 느낀게 후드끈이 길어서 예뻐요!!! 어디에나 잘 어울리눈 후드조끼 가성비있게 겟 해보세요 🫨
5.0,힙한 느낌 낼 때 가성비로 좋습니다 !  코디할 맛도 나고 선글라스랑 매치하면 더 힙하게 즐기실 수 있어요 !
5.0,얇고 가벼워서 휴대하기 편합니다 접으면 잘 구겨지는데 입으면 금방 펴져서 너무 좋아요 가볍게 코디하기 좋습니다 운동복으로도 추천합니다
5.0,"반팔 라운드 티 또는 나일론 아노락 위에 턱 걸치면, 뭔가 패션 센스 있어 보이는 효과가 있어요. 라운딩 나갈 때도 입어 보려구요."
4.0,입문 제품으론 너무 좋은 거 같아요 가성비도 물론 너무 좋구요 하지만 핏이 좀 애매해서 넣어입기도 빼입기도 어렵더라구요 그래도 입문하시는 분들께는 강추 드립니다!
5.0,후기처럼 얇긴 하지만 그래서 주는 매력이 있음 여름에 시원하게 입기 좋을듯
5.0,엄청 얇아서 시원할거같애요 근데 생각보다 코디 하기가 어렵네요
5.0,진짜 얇아서 레이어드 하기 좋아요! 단독으로 입어도 느낌 넘쳐서 여름에 정말 자주 입었습니다 ㅎㅎ
