Star,Review
5.0,정핏보다는 오버핏으로 입고싶은데 아빠옷 입은 느낌은 내기 싫어서 사이즈 고민하다가 M 구매했는데 원하던 핏이라 마음에 들어요! 소매 길어서 접어야하고 밑단 시보리가 완전 짱짱합니다 170 초반에 50키로 중반까지는 M 사이즈 입으셔도 적당한 오버핏으로 입으실 수 있을 것 같아요! 저는 개인적으로 생각보다 옷이 더 얇았어요! 참고하세용
5.0,딱 생각한 디자인이여서 예쁘고 여러 바지랑 잘 어울려서 좋습니다!!
5.0,깔끔하고 좋아요 그냥 기본 트레이닝 하나 사고 싶으면 추천해요
5.0,우선 배송이 진짜 개빨랐고 남자 183/76정도인데 오버핏으루 괜찮데용 져지 다시 유행이라 샀어용  
5.0,"적당한 두께감이라 봄,가을에 입거나 이너를 든든하게 입으면 겨울까지도 가능할듯해요 주머니 자크가 있어서 저처럼 주머니에 물건 많이 넣어다니는 사람은 흘릴일도 없다는!! 믿고 입는 아디다스,,"
5.0,M으로 시켰다가 S로 바꿨더니 훨씬 더 좋은 핏이 나온 것 같아요 170/52랑 비슷하신 분들은 S 추천드립니다!
5.0,"L 사이즈 기준 엉덩이 애매하게 덮어서 지퍼 잠그고 활동하면 어느순간 밑단 밴딩이 골반 위로 올라와요. 총장이 조금만 더 길었으면 좋았을텐데ㅠㅠ 지퍼 잠글거면 아예 밑단 안으로 접어서 입어야 될 것 같아요..! 제 팔이 짧아서 저한텐 팔 소매는 긴데, 팔 긴 분들은 XL 하시면 딱 오버핏으로 멋있게 입으실 것 같아요! 제 팔이 조금만 길었더라면 XL로 교환했을 것 같아요."
5.0,"엄청 오버하게 입고 싶어서 투엑라를 샀으나, 체감은 엑스라지 정도 됩니다. 많은 리뷰에서 말하시듯이 잠궜을 때 아래 시보리가 쫀쫀해서 불편함이 있으나, 오히려 말아 넣어서 크롭하게 연출이 가능항 것 같아 좋네요. 매우 만족스럽습니다."
5.0,넥 부분이 길고 밑시보리가 짱짱해요. 끝까지 잠궈서 입으면 간쥐남 🥵🥷🏿🔪
5.0,핏이 정말 예쁜거 같아요 사이즈도 딱 맞고 바지 모두 다 잘 어울려요
5.0,근본 아디다스 🔥파이어버드🔥 트랙탑! 역시 너무 편하고 짱짱해요 봄 가을 초겨울까지는 입을수 있을 정도의 두께감이었어요 배송도 너무 빠르고 포장도 꼼꼼하게 보내주셨어요 그리고 전 크게입는걸 좋아해서 XL 사이즈 주문했어요 기장도 너무 길지않아서 최고에요! 저랑 같은 신체스펙이거나 크게 입는걸 좋아하시는분은 XL도 좋을것 같네요 감사합니다 잘입을게요!
4.0,아디다스 저지답게 핏은 이쁘구요 지퍼 잠그면 허리가 쫀쫀해요 전 개인적으로 기장이 길어서 총장 줄였어요 ㅎㅎ
5.0,사이즈 딱좋고 역시 파이어버드입니다 색감도 굿
5.0,재질도 좋고 색깔도 선명하니 좋아욥‘! 무난하게 입을수 있읓것 같아욥 사이즈 크게 시키세욥! 추천!입니다
5.0,배송 시킨지 하루만에 왔어요. 포장도 꼼꼼하고 칼배송이라 놀랐습니다ㅠㅠ 첫 아디다스 져지인대 뭐를 살지 고민하다가 이게 제일 기본템인거같아서 구매했어요! 주머니에 자크가 있어서 너무 좋고 165기준 엉덩이 덮는 기장입니다. 참고하세욧! 두께는 딱 가을에 입으면 좋을꺼같고 이너 든든하게 입으면 겨울도 가능할...?느낌입니다
5.0,"진짜진짜 만족합니당 밑단 시보리가 짱짱하긴 한데 전체적으로 옷은 큰 편이라, 여성분들은 이 사이즈로 사도 충분할 것 같아요"
4.0,생각보단 사이즈가 크게 나왔어요 처음에 L 샀다가 M으로 교환했더니 딱 맞네요 예뻐요 그리고 얇은거 치고 은근 따뜻해요
5.0,너무너무너무 예뻐요 진짜 완전 만족 쿠폰 써서 더 싸게 사서 너무 좋아요!! 왜 다시 유행 하는지 알 것 같아요
5.0,예쁩니다 클래식이즈베스트란 말이 딱이에요  사계절 내내 잘 입을수 있습니당
5.0,사이즈도 딱 좋고 핏도 넘 예뻐서 진짜 교복처럼 입고 다녀요
5.0,제가 덩치가 있어서 마른 체형에 남자분들은 더 이쁠꺼같습니다 물론 제가 입었을때도 너무 이쁜 져지입니다
5.0,믿고 사는 근본 아디다스 저지 입니다. 중학교 때가 생각나네요..
5.0,너무 이쁘고 편해요  겨울에는 이너로 입어서 포인트 주면 되고 봄에는 아우터로 입기 적당한 두께감입니다
5.0,"그냥 기본템에 말해뭐해 입니다 사이즈 딱이고 그냥 완전 편하고 이쁘고 근본의 옷이라고 생각되는템,,"
5.0,아~~~너무쭈아 시보리진짜단단하네여 총기장이길어서오버핏이란느낌은못받앗구 서양인기준이라팔이길고 품이넉낙하단점에서 오버핏인것같네요
5.0,좀 더 핏하게 입으려면 s사도 됐을듯? 휘뚤마뚤 입기 좋아용
5.0,옷이너무 깔끔하고 소재도 좋네요 튼튼합니다 옷 자체가
5.0,시보리 짱짱 하다는 거 보고 어차피 잠궈 입을 거라서 라지로 샀어요 딱 원했던 오버핏이라 아주아주 잘 입고 있습니당
5.0,동네 마실용으로 샀는데 다른때에도 여러모로 사용가능해서 활용도 만점이고 와이드 팬츠랑도 잘어올려서  옷입기 쉽네영~~ 말해모합니까 아디다스트랙탑인데 언능 쟁여들가세요
5.0,트랜드에 맞고 너무 예뻐요! 가성비 좋게 입기 좋네요!
5.0,재질 부드럽고 살짝 오버핏으로 낭낭하게 가니깐 막 입어도 스포티한 느낌으로다가 편하게 휘뚜루마뚜루 입기 아주 굿입니다
5.0,크게 입고 싶어서 L로 바꾸려다가 못바꿨는데 입어보니 M도 충분하네요 핏 예뻐요!!
5.0,중1아들이 사달라고 해서 사줬는데 좋아합니다
5.0,사이즈는 살짝 오버핏느낌이 나고 역시 기본 클래식한 아이템이라 졸작 이너로 잘 활용했습니다
5.0,xl 핏 좋네요 적당한 오버핏 느낌입니다! 추천해요
5.0,가볍게 입기 편하고 예뻐요 ◡̈ ♥  유행 지나도 꾸안꾸로 입기 좋을꺼 같습니다아  봄 가을에 입기 편한 아우터 top1 ♥  오버핏으로 구매해서 더 편하고 예쁜거 같아여어
5.0,존예입니다 모델 핏처럼 입는게 이쁜거 같아요 정사이즈 추천
5.0,항상 하나쯤 사고싶었던 생각이 있었는데 이번에 생일쿠폰 적용해서 저렴하게 구매했습니다. 오프라인 매장에서 입어보고 핏이나 디자인이 너무 맘에 들어서 바로 구매했습니다 역시 저지는 아디다스!
5.0,요즘 다시 아디다스 저지 예뻐보이네요! 할인하는 거로 살까 하다가 걍 사고싶었던 파이어버드로 구매했어요!! 
5.0,다시 유행이 돌아오는거같더라구요! 오랜만에 입어보니 또 새롭네요!
5.0,진짜 마음에 듭니다. 꾸안꾸 느낌 뭔지 아시죠들? 걍 와이드청바지 매치하면? 바로 패션인터뷰~
5.0,전부터 갖고 싶었던 아디다스 트랙탑이라 더 만족하고 입은 것 같아용 사이즈도 좋고 막 입기에도 편해용
5.0,아디다스 저지 말해뭐합니까 그냥 트랙탑 정석입니다
5.0,배송도 상당히 빠르고 총 기장도 생각보다 짧아서 상당헤 만족하게 입었습니가.
5.0,상체 근육형이라 2xl 시켰는데 생각보다 한치수 아쉽긴하네요 그래도 핏하게 입기좋습니다
4.0,무난따리 무난따 괜춘따리 괜춘따 좋은 가격에 잘 구매 하였습니다.
5.0,사이즈 딱 좋아요! 길이감이 생각보다 긴 느낌이 안들어서 좋아요 재 스펙엔 XL강추!
5.0,너무 예뻐요 날렵해보이고 샤프해보이는 느낌이에요 봄이 오면 맨날 입고 다닐고에요
5.0,갑자기 파이어버드에 꽂혀서 사고싶어서 찾아봤는데 합리적 가격으로 살 수 있어서 좋았습니다 :) 두께는 그렇게 두껍지 않아서 요즘 날씨에 안에 반팔 입고 입었는데 조곰 추웠어요..! 체육관이라 그럴 수도 있는데 다른 데선 괜찮을수도..!? 핏은 약간 어벙한데 만족한 핏이었습니다 :) 참고로 파이어버드 우먼으로 샀다가 아쉽게 포기하고 맨으로 다시 재구매 했으요.. 😌 배송은 칼배송..🔫
3.0,"그냥 알던 아디다스 져지같고요 사이즈는 생각보다 좀 크네용,,"
5.0,배송이 완전 미쳤음 저녁 8시에 시켰는데 다음날 오후 4시에옴 일단 이거부터 사랑인데 옷도 완전 예쁘고 그냥 교복템!! 근데 사이즈가 s인데도 큼 팔도길고 통도넓규? 그치만 오버핏으로 딱!!
5.0,팔이 좀 길긴 한데 여러가지 스타일링으로 입게 좋아여
5.0,디지인두 깔끔하고 가벼워서 어디든 편하게 입을 수 있어서 좋아요! 청치마에 입어두 귀엽고 청바지에 입어도 기여워용
5.0,이쁘고 지금 날씨에 입기 딱 좋고 교복위에 입으면 좋아요
5.0,조카가 사달래서 사줬는데 넘이쁘다고 매일 입고다녀요~
5.0,전 오버핏으로 입고 싶었고 사이즈 자체가 작게 나와 평소 L를 착용하지만 XXL로 주문하였습니다. 큰 사이즈로 주문하니 제가 원하는 핏감이었고 군더더기 없는 깔끔한 디자인이어서 좋았습니다!
5.0,사이즈표 보면 총장은 긴데 시보리가 엄청 짱짱해서 실제 체감은 -7정도로 생각하고 구매하시먄 될 것 같아요  생각보다 안에 얇은 기모처럼 있어서 이너 하나 입고 입으면 안 추워요
5.0,매장에서 m 사이즈 샀다가 너무 커서 s로 다시 샀는데도 커요 사이즈가 많이 크게 나왔으니 작게 사는거 추천두려용
4.0,생각했던 것보다 두께가 얇고 밑부분 시보리가 짱짱해요 그레도 맘에 들어서 입어요!
5.0,매번 나오는 디자인이지만 파이어버드가 소재나 핏이 이쁜것 같아요
5.0,일단 아디다스 상품 중 과연 베스트라 할 정도로 이쁜 져지입니다. 이거랑 뭘 매차해도 이쁘니까 그냥 돌격.
5.0,맘에 듭니다 옷도 이쁘고 딱 맞아요 ㅎㅎ 역시 유행은 돌돌
5.0,마침 사이즈가 있길래 구매했습니다 넉넉하게 잘 맞습니다 여름이 천천히 왔으면 좋겠어요 아 그런데 흰반지 위에 입으니 흰바지에 검은색 이염이 생기더라구요ㅜ 드라이를 한 번 하고 입어야겠어요 밝은 옷 입으시는 분들은 주의하셔야 할 것 같습니다. 디자인은 역시나 클래식이 최고죠 스테디라 관리만 잘 하면 오래 입을 수 있을 것 같습니다 내부 안감은 약간 벨벳느낌이 나요 부드럽게 몸을 잘 감싸줍니다. 다만 겉면에 보풀이 좀 생기더라구요. 재질 특성인 것 같아 아쉽습니다 하지만 예쁜 건 어쩔 수 없네요 ㅎㅎ
5.0,시보리 부분이 쎄게 잡아줘서 핏 잡기 용하기도하고 예쁩네여
5.0,"아무 옷에나 가볍게 매칭하기 좋은거 같아요. 파이어버드라서 유로파 바지랑은 다르게 광택 살짝 있고, 이너로 매칭하기도 좋네요"
4.0,배송 빠르고 흠 없이 잘 배송 되었구요 상품 디자인 괜찮아요  색상선명하고 간절기에 입기 좋을듯해요 배송은 좀 가치 있게 포장해서 주시면 더 좋겠습니다
5.0,길이가 조금 길긴한데 밴딩 덕분에 지퍼 잠그면 적당해요! 사이즈가 조금 큰것 같딘한데 예뻐요
4.0,배송도 빠르고 딱 맞는 핏으로 구매하고 싶었는데 제가 생각했던 핏으로 나와서 맘에 들어요
5.0,핏도 진짜 예쁘고 은근 따뜻하고 그냥 완벽합니다.. 깔별로 쟁여야 함...
5.0,요즘 다시 아디다스 저지 예뻐보이네요! 할인하는 거로 살까 하다가 걍 사고싶었던 파이어버드로 구매했어요!!
5.0,트랜디하고 예뻐용 역시 근본은 근본이네요 재질은 약간 보풀 많이 생길거같긴 해요
5.0,굿굿 편하게 입으려고 샀는데 너무 맘에 들어요 잘 입고 다니겠슴다
4.0,오버핏으로 입으려고 XL 샀는데 엄청 크네요 160에 XL 입은 분은 뭐지 대체 저랑 비슷한 키인 여성분들은 L 추천드려요 흐물흐물하고 얇아서 흘러내려요 교환하기 귀찮고 막상 했다가 더 이상할까봐 구매확정 눌렀어요   조금 초딩처럼 보이기도 하네용 
5.0,팔이 조금 긴 거 빼곤 다 좋아요 자주 입고 다닐 것 같습니다
5.0,옷이 너무 이뻐요 사람들한테 왜 인기가 많은지 알겠어요. 사는거 강추입니당
5.0,일단 과거에 져지랑 느낌이 다른 것 같아요. 아래 시보리가 조여줘서 일어나 있을 때도 핏 좋구여 일단 간지남 ㅎㅎ  그냥 입으면 주위 사람들 시선이 느껴진다고 해야대나  ’저 놈 옷 좀 치노‘ 이런 생각 하는게 느껴집니다.
5.0,첫 져지 구매라 매장에서 입어보고 샀는데 너무 만족합니다 재질은 부드아워에 기모가 있다고 하는데 저는 잘 모르겠고 봄 여름 가을 입고 다녀도 될 거 같아요 배송도 빨라요 굳굳
5.0,져지는 원래 오버핏이 아니라 이렇게 입는거 아님????
5.0,남자친구가 생일선물로 사줬는데 라지 했는데도 사이즈가 크네용 ! 엑라 했으면 큰일날 뻔 ~ 역시 아디다스 말해 뭐해 넘 예쁩니당 !
4.0,배송하루만에와서 깜놀~~ 지금은점퍼안에 봄되면단독착용할듯요~~가볍고 아이가원해서 구매~~
4.0,크게입으려고 삿는데 지짜엄청커요 ㅎ 한사이즈작은걸로살걸그랫지만품절이라 어쩔수없엇네용..그래도이뻐요 핏도 ㅎ 
5.0,옷 무게도 적당하고 핏도 여유있고 아주 맘에 들었습니다.
5.0,잘받았습니다 배송도 빠르고 좋아요 이쁘고 따뜻해서 마음에 들어요 구매만족합니다! 할인받아서 저렴하게 구매했네요
5.0,"비비 트랙탑이랑 비교해보고 싶었는데 매장에 없어서 아쉬웠지만, 받아보니 정말 이쁘네요. XL는 돼야 충분히 어벙한 핏 나오는 것 같아요"
