Review
"XS사려다 S샀는데 XS살걸ㅠㅜㅜ
우선 다른 피케원피스보다 기장이 길었고
시원한 재질이여서 손이 잘 가요!
단정한 느낌도 줘서 굿~!"
"키가 매우매우 크기 때무네 저에게는 미니기장이긴 한데 짧을건 이미 예상하고 구매했습니다! 근데도 너무 예뻐요ㅠ상체 퉁퉁이인데 팔뚝살 잘 감춰주고 단추 오픈해서 입으면 그나마 덜 퉁퉁이로 보여서 너무 좋아요ㅠㅜ 얇아서 좀 비치긴 하지만 속바지 or 속치마 입으면 갠춘합니당ㅎㅎ다른색도 살까 고민중이에요ㅜㅠ너무 예뻐,,"
"네이비랑 블랙 고밈하다가 블랙구매했어요 
허리 잘록하게 잘들어가고 핏이뻐요 
다만 많이 비치는거같아서 신경써야할거같아요"
"처음에 s살까 xs살까 고민하다가 xs샀어요!!!
질도 좋고 예뻐요 네이비도 살까봐여,,,"
"많이 짧지도 않고 깔끔한 핏에 허리라인이 살짝 들어가서 예뻐요.
옷감이 얇아서 밝은데서 보면 원피스 속 다리 라인이 비쳐보여서 속치마를 입는게 좋을듯 해요!
다른 컬러도 살예정ㅋㅋ"
"통통한 편인데 엠사이즈 잘맞아요
딱 기본 스타일이라서 매우 맘에 듭니다"
너무 예뻐요!! 사진과 같아요. 짧아도 너무 너무 편해요. 잘 입고 다녀요~
"기본 원피스의 핏이 이렇게 이쁠수가🥰
5월 1일 되자마자 쿠폰 먹여서 구매했습니다
역시 기대한 만큼 핏이 예뻐요 소재도 탄탄하구요
글로니옷은 빨리 사는게 이득인거 같습니다
레이어드로 입어도 이쁘고 벨트 해도 이쁩니다"
몸에 완전히 핏되는 스타일이고 55이상부터는 절대 안 들어갈 것 같네욤 ㅎㅎ..
"163에 45키로인데도 m이 적당히 널널하면서 마니 짧지 않아서 좋아요!ㅎ s는 얼마나 마른 분들이 입는 걸까요,,ㅎ 화이트도 구매 예정입니다!ㅎ"
가벼운 데이트룩으로 최고에요! 날씨가 풀려서 손이 자주 가요 ㅎ
가슴 작은편인데도 가슴압박이 심한 옷이에요 상체에 살은 없는데 흉통 큰 편이라 M 했고 허리는 딱 붙지 않아 편하네요 밑단이 생각보다 더 넓은 플레어 입니다
"아무래도 키가 크다보니 살짝 짧은감은 있지만 입을만합니다
근데 진짜 너무..너무 잘비쳐요..그래서 좀 민망스... 속바지 필수인데 속바지입어도 다리라인 다보입니다"
"173cm  상의 55반 하의 66 입는데 적당히 잘 맞습니다~
키가 큰 편이라 미니기장이고 그래도 많이 부담스러운 정도는 아니네요!

다리사이 비침이 조금 있지만 많이 신경쓰이진 않네요

마감 깔끔하고 소재도 시원해보여요😆"
생각보다 이쁘긴한데 내가 과연 이걸 입을까...어디갈때 입을라고 산거지 충동구매는 지갑에 좋지않습니다 반성해 나ㅠ 한여름에 한번 입어볼게요 원래 그냥 사는거죠 입을라고 사는건가요
"일단 지금까지 사서 입었던 원피스 중에서 최고에요
평소 바지 L사이즈 입는 하비라서
M이랑 L 엄청 고민했는데  저랑 비슷하신분들은 엠 하셔도 충분하실겁니다! 키가 있어서 짧을 걱정했는데 길이도 딱 이쁘고 스판끼 입기도 편하네요😆😆
검정색도 바로 살거에욤 다들 고민하지말고 사세여~~"
끝부분이 a라인일 줄 알았는데 살짝 붙는 편이에요 근데 핏 너무 예쁩니당
시원해요! 사이즈 딱 좋아요. 어깨가 조금 끼지만 엄청 불편하진 않아요. 생각보다 짧아요. 앉을때 쪼끔 신경쓰이는 정도.
일단 너무너무 예쁘고 가성비 갑에다가 유행하는 러블리 코어 그리고 발레 코어에 꼭 맞는 아이템이에요!! 레알 너무 예뻐요ㅜㅜ 저만 입게 사지 마세요 다들😅
"리본이랑 레이스가 넘 기여운 치마에요❤️🎀
치마가 많이 짧다고 해서 걱정했는데 저는 키가 작아서 길이도 딱 맞고 안에 속바지도 있어서 너무 편했어요!
처음 왔을때는 구김이 좀 있었는데 스팀 한번 하니까 하루종일 입고 다녀도 구김이 안가더라구여:) 아무 티에도 잘 어울리고 딱 붙지 않아서 여름에도 시원하게 잘 입을거같아요😝💕"
우와 요새 유행하는 느낌의 치마 싸게ㅜ잘 샀아요 제가 키가 작은 편인데도 짧아서 엉덩이 다 보일걱 같아요 ㅎ 레이어드 용으로 입어야겠어요
키 156인데 길이가 안 길어서 좋아요 너무 퍼지지도 않고 밴딩도 편하고 디자인이 너무 예뻐요
생각보다 더 짧아서 팬츠랑 레이어드해서 입어요 ㅎㅎ 실물이 더 귀엽고 뽀짝해요
