Review,Star
실루엣자체가 허리가 좀 얇게 되있는 디자인이라 라인이 굉장히 예쁘게 떨어집니다! 길이도 적당한 길이감이라 움직이기도 편하고 발목이 긴 워커랑 매치하면 비율도 좋고 시크하게도 입을 수 있어용. 허리가 쪼끔 얇은 디자인이라 벗을때 조금 불편할 순 있습니당.,4.0
체격이 있는데도 s사이즈 불편하지 않게 잘 맞습니당,5.0
"다리사이비침은 실제로있는거같습니다
하지만 옷은 이쁘구요 여름에 시원하게 입을수 있을거같습니다",4.0
편한 핏. 딱 붙지도 않고 너무 벙벙하지 않고 편하게 입을수 잇다. 생각보다 재질은 조금 얇아요. 예뻐요.,5.0
작년 여름에 너무너무 잘 입었던 정말 좋아하는 원피스입니다!! 염색약이 묻어서 버리게 됐는데 다시 안 파는 것 같아서 속상하던 차에 다시 판매하는 거 보고 너무 기쁘게 재구매해요ㅜㅜ 계속계속 팔아주세요 ㅜㅡㅜ,5.0
후기를 보고 s를 주문했는데 전체적인 핏이 너무 예뻐요! 길이도 피케원피스치고 짧지 않아서 출근할때도 입을 수 있겠어요. 근데 M샀어도 여유있는 핏으로 예뻣을것 같아서 S랑 M은 선호하는 핏에 취향대로 고르면 될것같습니다!,5.0
시원하고 편하게 잘 입고 다닐 수 있을 거 같아요 ~! 길이도 많이 안 짧아서 좋아요,5.0
후기대로 얇긴한데 여름에 입기 시원해서 좋습니다,5.0
키커서 많이 짧을까바 걱정했는데 전혀 걱정말고 사세요 그냥 !!! 등치도 있고 그런데 입고있어도 안불편하고 편해요 비치는거 많이들 말하시는데 속바지입우면 그만 하나쯤 무조건 가지고있으면 뭐 찾아 있기 귀찮을때 하나만 딱 입어도 이쁨이쁘ㅁ❤️,5.0
다리 길어보이고 허리라인 쏙 들어가있어서 열라 맘에 듦ㅋ,5.0
"두께가 살짝 얇은 것 같아요!
하지만 핏이 너무 이쁘고 날씬해보여요!!
다른 색도 구매할 예정입니당!",5.0
무난하니 좋았어요 편하게 막 입으려고 산거구 오랜만에 짧은 치마 입은거라 부담스러워서 5부 레깅스로 좀 더 편하게 입었네요,4.0
핏 너무 예쁘고 길이도 적당해서 부담스럽지 않게 입을 수 있어요,5.0
