Review,Star,Processed_Review
마감은 살짝 아쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다,5.0,마감은 살짝 아 쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다
셔츠 얇고 예뻐요! 여름에 입기 시원해서 좋은 것 ㅐ같아용,5.0,셔츠 얇고 예뻐요 여름에 입 기 시원해서 좋은 것 같아용
항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른컬러도 구매하고 싶을 정도로 만족합니다,5.0,항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른 컬러도 구매하고 싶을 정도로 만족합니다
"배송이 생각보다 느렸던게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람많은곳 가면 마주치기 쉬움,, 하지만 후들거리는게 맘에들어요 여름템으로 잘 입을듯 여자는 뮤조건 젤 작은 사이즈로 사세요 본인 떡대 쩔지만 넉넉해요",5.0,배송이 생각보다 느렸던 게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람 많은 곳 가면 마주치기 쉬움 하지만 후들 거리는 게 맘에 들어 요 여름 템으로 잘 입을 듯 여자는 뮤조건 젤 작은 사이즈로 사세요 본인 떡대 쩔지만 해요
단추도 싸구려~색감좋아보여서 선택했는데 확실히 가격이 낮아서 그런가 딘추부터ㅜ바느질까지 싼티가 팍팍나네요,4.0,단추도 싸구려 색감 좋아 보여서 선택했는데 확실히 가격이 낮아서 그런 가 딘 추부터 바느질까지 싼티가 나네요
엄청 시원하고 어디든 잘 어울려서 여름에 잘 입었어여 남성용이라 엄청 클 줄 알았는데 적당히 잘 맞았습니다 !,5.0,엄청 시원하고 어 디든 잘 어울려서 여름에 잘 입었어 여 남성용이라 엄청 클 줄 알았는데 적당히 잘 맞았습니다
링클소재라 가볍고 단독으로도 좋을거 같은데 전 아우터처롬 걸쳐봤구요 체크패턴이 톤앤톤 느낌이라  무난하게 여기저기 매치하기 좋은거 같아요!!,5.0,링클 소재라 가볍고 단독으로도 좋을 거 같은데 전 아우터 처롬 걸쳐봤구요 체크 패턴이 톤앤톤 느낌이라 무난하게 여기저기 매치하기 좋은 거 같아요
내가 원했던 시골 농촌 소년 느낌. 그런데 한 줌의 트렌드를 넣은... 내년 여름에 요기나게 입을 수 있겠어요 어느 바지든 다 잘 어울리는 거 같아요,5.0,내가 원했던 시골 농촌 소년 느낌 그런데 한 줌의 트렌드를 넣은 내년 여름에 요기나 게 입을 수 있겠어요 어느 바지든 다 잘 어울리는 거 같아요
핏은 너무 예뻐요 원단도 시원하고 좋아요 그대신 박음질이 너무 엉성하네요ㅜ벌써 단추구멍이 튿어졌어요 예뻐서 그냥 제가 다시 꼬매서 입고있어요..,4.0,핏은 너무 예뻐요 원단도 시원하고 좋아요 그 대신 박 음질이 너무 엉성 하네요 벌써 단 추구멍이 튿어졌어요 예뻐서 그냥 제가 다시 꼬매서 입고 있어요
전체적으로 기장이 좀 더 길었으면 하는 아쉬움이 있네요,4.0,전체적으로 기장이 좀 더 길었으면 하는 아쉬움이 있네요
완전 모델핏처럼은 안나오지만 소매를 풀어서 입으니 비슷한 느낌이 나네요! 생각했던거보다 얇아서 시원해서 좋고 이 가격에 이정도 핏감이랑 디자인 너무 만족합니다,5.0,완전 모델 핏처럼 은 안 나오지만 소매를 풀어서 입으니 비슷한 느낌이 나네요 생각했던 거보다 얇아서 시원해서 좋고 이 가격에 이 정도 핏감이랑 디자인 너무 만족합니다
원단도 너무 시원하고 핏도 너무 시원해보여서 좋아요 이번여름 편하게 걸치고 나갈 옷 1티어입니다,5.0,원단도 너무 시원하고 핏도 너무 시원해 보여서 좋아요 이번 여름 편하게 걸치고 나갈 옷 티어입니다
배송은 다소 오래 걸렸지만 옷 자체는 가격대비 이뻐요,5.0,배송은 다소 오래 걸렸지만 옷 자체는 가격 대비 이 뻐요
체크무늬 셔츠 비싸지 않은 가격으로 잘 구매한거 같아요 핏도 너무 이쁘고 반팔 롤업을 잡아주는것도 있어서 너무 좋았어요 여름에 시원하게 입을 수 있을거 같아요!,5.0,체크무늬 셔츠 비싸지 않은 가격으로 잘 구매한 거 같아 요 핏도 너무 이 쁘고 반팔 롤업을 잡아주는 것도 있어서 너무 좋았어요 여름에 시원하게 입을 수 있을 거 같아요
후루룩 입기 좋아요 가볍고 소매 옆 단추가 잇어서 롤업이 유지되는 디테일 최고,5.0,후루룩 입기 좋아요 가볍고 소매 옆 단추가 잇어서 롤업이 유지되는 디테일 최고
항상 믿고 구매합니다 배송 빠르고 너무 좋습니다,5.0,항상 믿고 구매합니다 배송 빠르고 너무 좋습니다
얇아서 한여름에도 무조건 가능하고 일단 이쁩니다,5.0,얇아서 한 여름에도 무조건 가능하고 일단 이쁩니다
색감도 무난하고 핏도 좋아요 ㅎ 어떤 바지에 매치해도 잘어울릴거같아요,5.0,색감도 무난하고 핏도 좋아요 어떤 바지에 매치해도 잘 어울릴 거 같아요
원단도 얇고 시원해서 여름에 입기 딱 좋아요! 흰 티에 막 걸쳐주기만 해도 베스트 코디 뚝딱입니다. 추천해요!,5.0,원단도 얇고 시원해서 여름에 입 기 딱 좋아요 흰 티에 막 걸쳐주기만 해도 베스트 코디 뚝딱입니다 추천해요
핏도 넉넉하고 너무 이쁩니다 좋은가격에 좋은 상품이라고 생각합니더! ,5.0,핏도 하고 너무 이쁩니다 좋은 가격에 좋은 상품이라고 생각합니 더
"색감이 진짜 미쳤어요ㅠㅠ 무채색 러버들 완전 취향저격 여름 코디가 한정적이라 포인트 주기 힘든데,, 이 셔츠 하나만으로도 포인트가 돼서 반팔 셔츠 찾고 계신 분들 구매 추천드려요!!",5.0,색감이 진짜 미쳤어요 무채색 러버들 완전 취향 저격 여름 코디가 한정적이라 포인트 주기 힘든데 이 셔츠 하나만으로도 포인트가 돼서 반팔 셔츠 찾고 계신 분들 구매 추천드려요
롤업 하프 셔츠라 핏이 러프하게 잘 나와서 좋은 거 같아요 다만 입었을 때 일부러 각이 잡혀져 있는 건지 밑으로 가면서 배 부분이 넓어져서 튀어나온 거 같이 보여요,3.0,롤업 하프 셔츠라 핏이 러프하게 잘 나와서 좋은 거 같아 요 다만 입었을 때 일부러 각이 잡혀져 있는 건지 밑으로 가면서 배 부분이 넓어져서 튀어나온 거 같이 보여요
배송 빠르고 옷 디자인도 너무 예뻐요 쥬름 디테일도 좋아요!,5.0,배송 빠르고 옷 디자인도 너무 예뻐요 쥬름 디테일도 좋아요
얇은 체크 패턴 셔츠 사고 싶어서 찾아보던 중에 가성비로 괜찮아보여서 재입고까지 오래 기다려 겨우 받았습니다 배송은 많이 느렸지만 옷 자체는 생각보다 핏도 좋고 질감도 좋아요! 초가을까지 열심히 입을 수 있을 것 같습니다~~,5.0,얇은 체크 패턴 셔츠 사고 싶어서 찾아보던 중에 가성비로 괜찮아 보여서 재입고까지 오래 기 다려 겨우 받았습니다 배송은 많이 느렸지만 옷 자체는 생각보다 핏도 좋고 질감도 좋아요 초가을까지 열심히 입을 수 있을 것 같습니다
진짜 얇아서 여름에 너무 시원하게 입었어요 옷이 어두운 색이라 살이 비칠걱정은 없어요 소재도 부드러워서 좋아요,5.0,진짜 얇아서 여름에 너무 시원하게 입었어요 옷이 어두운 색이라 살이 비칠 걱정은 없어요 소재도 부드러워서 좋아요
쭈글거리는 텍스쳐가 맘에들고 포인트가 되는 것 같습니다. 하지만 가격이 가격인지라 몇 번 입으니 보풀이 좀 일어나네요. 그래도 이 가격대에 이런 디자인이면 후회는 안 합니다.,5.0,쭈글거리는 텍스쳐가 맘에 들고 포인트가 되는 것 같습니다 하지만 가격이 가격인지라 몇 번 입으니 보풀이 좀 일어나네요 그래도 이 가격대에 이런 디자인이면 후회는 안 합니다
"제주 여행에서 잘 입었어요! 이런 스타일도 좋아하지만 다른 스타일을 더 좋아해 자주 입지 않는데, 이 옷은 자주 입을 것 같아요 너무 이쁩니다",5.0,제주 여행에서 잘 입었어요 이런 스타일도 좋아하지만 다른 스타일을 더 좋아해 자주 입지 않는데 이 옷은 자주 입을 것 같아 요 너무 이쁩니다
링클가공이랑 색감이랑 맥시한 핏감이랑 다 자연스럽고 빈티지한느낌으로 너무 이뻐요 요즘 느낌  날도 뜨거운데 시원하고 가성비 뒤집니당 ,5.0,링클가공이랑 색감이랑 맥시한 핏감이랑 다 자연스럽고 빈티지한 느낌으로 너무 이 뻐요 요즘 느낌 날도 뜨거운데 시원하고 가성비 뒤집니 당
여름에 입을 가벼운 체크 난방을 고르고 있었는데 합리적인 가격대에 놀란 제품입니다. 오버 핏으로 연출 하고 싶어서 L사이즈로 구매했고 어께 너비는 예쁘게 떨어져서 너무 좋았구요 기장은 생각 보다 짧았지만 적당한 맛이였어요.,5.0,여름에 입을 가벼운 체크 난방을 고르고 있었는데 합리적인 가격대에 놀란 제품입니다 오버 핏으로 연출 하고 싶어서 사이즈로 구매했고 어께 너비는 예쁘게 떨어져서 너무 좋았구요 기장은 생각 보다 짧았지만 적당한 맛이였어요
가성비로 편한 반팔셔츠 입었습니다! 근데 좀 잘 구겨지는 재질,5.0,가성비로 편한 반팔 셔츠 입었습니다 근데 좀 잘 구겨지는 재질
