Star,Review,Processed_Review
5.0,새 옷 냄새 많이나요 이뻐요 생각보다 안커요 지금 입기 딱 좋아요 팔은 겁나 길어요 대충 접고 다녀야하나 근데 입고 다님 그렇게 신경쓰이지 않아서 ㄱㅊ은듯 색은 사진보다 밝아요!!!,새 옷 냄새 많이나요 이 뻐요 생각보다 안 커요 지금 입 기 딱 좋아요 팔은 겁나 길어요 대충 접고 다녀야 하나 근데 입고 다님 그렇게 신경 쓰이지 않아서 은 듯 색은 사진보다 밝아요
5.0,사이즈 때문에 고민하실 다른분들 때문에 오픈합니다. 빅사이즈 여자사람에게도 핏 너무귀여워요 사진보다 실물이 맘에 들어요,사이즈 때문에 고민하실 다른 분들 때문에 오픈합니다 빅 사이즈 여자 사람에게도 핏 너무 귀여워요 사진보다 실물이 맘에 들어요
5.0,좋습니다 질도 좋구 데일리하게 어디든 어울려서 좋아요 팔이 길어서 좋구 암튼 좋아요,좋습니다 질도 좋구 데일리하게 어디든 어울려서 좋아요 팔이 길어서 좋구 암튼 좋아요
5.0,시험기간 내내 입고 다녔어요 하지만 시험은 잘 못봤네요,시험기간 입고 다녔어요 하지만 시험은 잘 못 봤네요
5.0,캐주얼에 너무 좋고 어딜 가든 특히 한강에 제일 잘 어울리는 옷인 거 같아요…!!!,캐주얼에 너무 좋고 어 딜 가든 특히 한강에 제일 잘 어울리는 옷인 거 같아요
3.0,주로 남자분들이 입어서 어깡핏 나올까봐 걱정했는데 생각보다 둥글둥글한 핏이라 귀여워요 오버핏에 비해 총장은 살짝 짧은편인데 이게 오히려 핏이 예뻐보여요 170기준 엉덩이 반쯤 덮습니다 원래 반팔티 68cm이상 선호하는 편이라 걱정했는데 나름 괜찮았아요 안에 반팔이랑 입으면 강제 레이어드가 되긴 합니당 도톰하고 신축성 없는 재질이예요 기모 없습니당  ㅇ ㅏ 근데 지퍼가 잘 안올라가요 ..그래서 별 뺌,주로 남자분들이 입어서 어깡핏 나올까봐 걱정했는데 생각보다 둥글둥글한 핏이라 귀여워요 오버핏에 비해 총장은 살짝 짧은 편인데 이게 오히려 핏이 예뻐 보여 요 기준 엉덩이 반쯤 덮습니다 원래 반팔티 이상 선호하는 편이라 걱정했는데 나름 괜찮았아요 안에 반 팔이랑 입으면 강제 레이어드가 되긴 합니 당 도톰하고 신축성 없는 재질이예요 기 모 없습니 당 근데 지퍼가 잘 안 올라가요 그래서 별 뺌
5.0,패딩안에 껴입고 좋고 꾸안꾸로도 잘 어울려요.  자크가 두개라 편해요!,패딩 안에 껴 입고 좋고 꾸안꾸로도 잘 어울려 요 자크가 두개라 편해요
4.0,예쁜데 팔 통이 좀 커요 팔 통이 얼마나 큰지 알려드리려고 사진을 찍었는데 처음 사진은 제 팔이고 두번째는 이 옷의 팔이에요 그리고 기모가 있어서 따뜻해요 봄가을겨울 다 입기에는 기모 있는게 좋을 것 같아요 마지막으로 핏이 아방? 동글? 해요  밑이 동그란데 지퍼가 두개니까 뭔가 이상해서 그냥 지퍼 다 잠그고 입는게 더 예쁜거같아요 S해도 충분히 크고 오버핏이니 저랑 비슷한 체형이시면 고민없이 S 하시길 추천드립니다 마지막 사진은 귀여워서 올리려고 했는데 또렷하게 촬영해야 한다고 해서 다른 사진을 앞에 올리고 추가합니다 참고로 절 알아보신 분들은 모른척 해주세요 2천원 준다는데 후기를 안 쓸수는 없잖아요?,예쁜데 팔 통이 좀 커요 팔 통이 얼마나 큰 지 알려드리려고 사진을 찍었는데 처음 사진은 제 팔이고 두 번째는 이 옷의 팔이에 요 그리고 기 모가 있어서 따뜻해 요 봄 가을 겨울 다 입기에는 기 모 있는 게 좋을 것 같아 요 마지막으로 핏이 아방 동글 해요 밑이 동그란데 지퍼가 두개니까 뭔가 이 상해서 그냥 지 퍼 다 잠그고 입는 게 더 예쁜 거 같아 요 해도 충분히 크고 오버핏이 니 저랑 비슷한 체형이시면 고민 없이 하시길 추천 드립니다 마지막 사진은 귀여워서 올리려고 했는데 또렷하게 촬영해야 한다고 해서 다른 사진을 앞에 올리고 추가합니다 참고로 절 알아보신 분들은 모른 척 해주세요 천원 준다는데 후기를 안 쓸 수는 없잖아요
5.0,저렴한 가격에 자주 손이갈 교복템 구매했습니다! 예약배송이라 빠른배송은 아니었지만 그래도 약속된 배송일정대로 차질없이 받아볼수있었어요◡̈ 사이즈는 s랑 m중에 고민했는데 m사이즈가 저한테는 딱 예쁜 루즈핏 같아요! 라이더나 코트 안에 레이어드 하시기에는 s가 나을 수 있는데 가오리핏이라 s사이즈여도 레이어드하기에는 불편할 수도 있겠네요 ㅠ 재질은 기모는 아니지만 그렇다고 얇거나 힘없는 재질은 아니라서 너무 맘에들어요!! 요즘 같은 간절기에 딱입니다~!! 단점은 옷 두께에 비해 좀 무겁다는거? 들었을 땐 무거운데 입었을때 어깨가 무거울 정도는 아닙니당. 그리고 새옷냄새가 너무 나는데 빨면 괜찮을 것 같네요;) 다른 색상으로 재구매의사 있습니다ㅎㅎ,저렴한 가격에 자주 손이 갈 교복템 구매했습니다 예약 배송이라 빠른 배송은 아니었지만 그래도 약속된 배송 일정대로 차질 없이 받아 볼 수 있었어요 사이즈는 랑 중에 고민했는데 사이즈가 저한테는 딱 예쁜 루즈핏 같아 요 라이더나 코트 안에 레이어드 하시기에는 가 나을 수 있는데 가오리 핏이라 사이즈 여도 레이어드하기에는 불편할 수도 있겠네요 재질은 기 모는 아니지만 그렇다고  얇거나 힘없는 재질은 아니라서 너무 맘에 들어 요 요즘 같은 간절기에 딱입니다 단점은 옷 두께에 비해 좀 무겁다는 거 들었을 땐 무거운데 입었을 때 어깨가 무거울 정도는 아닙니 당 그리고 새 옷 냄새가 너무 나는데 빨면 괜찮을 것 같네요 다른 색상으로 재구매 의사 있습니다
5.0,와 ㅜㅜ 너무 예뻐요 ...🤍 역시 토피!! 길이도 예쁘고 팔도 생각보다 안 길어서 좋고 저랑 체형 비슷하신 분들 L 사세요 ...최고,와 너무 예뻐요 역시 토피 길이도 예쁘고 팔도 생각보다 안 길어서 좋고 저랑 체형 비슷하신 분들 사세요 최고
