Review,Star,Processed_Review
바지가 통도 크고 길이감도 마음에 듭니다. 위에 티셔츠 아무거나 입어도 다 멋있네요,5.0,바지가 통도 크고 길이 감도 마음에 듭니다 위에 티셔츠 아무거나 입어도 다 멋있네요
힙하게 여름에 잘 입고 다닐것 같습니다 좋아요 잘삿습니다,5.0,힙하게 여름에 잘 입고 다닐 것 같습니다 좋아요 잘 삿습니다
요즘 날씨에 입기 딱 좋아요 색감도 이쁘네요 만족합니다,5.0,요즘 날씨에 입 기 딱 좋아요 색감도 이 쁘네요 만족합니다
우선 허리가 생각보다 큽니다. 쫄지마시고 애매하다 싶으면 1사이즈 구매 추천드립니다. 생각보다 널널합니다. 두께감 보통 청바지 보다는 얇구요. 그렇다고 흐물흐물 하지는 않고 여름 가을에 적당합니다. 무엇보다 편안함이 최고인거 같습니다.,5.0,우선 허리가 생각보다 큽니 다 쫄지 마시고 애매하다 싶으면 사이즈 구매 추천 드립니다 생각보다 합니다 두께감 보통 청바지 보다는 얇구요 그렇다고 흐물 흐물 하지는 않고 여름 가을에 적당합니다 무엇보다 편안함이 최고인 거 같습니다
"183 66 기준 허리가 많이 컸지만, 기장이나 통이 가장 이상적이라 허리는 옷핀으로 고정 후 입었습니다. 마음에 드네요.",5.0,기준 허리가 많이 컸지만 기장이나 통이 가장 이상적이라 허리는 옷 핀으로 고 정 후 입었습니다 마음에 드네요
색깔 넘 예믑니다!! 근데 사이즈가 정말 커서 하마 더 작게 시켜도 괜찮았을 것 같아여,5.0,색깔 넘 예믑니다 근데 사이즈가 정말 커서 하마 더 작게 시켜도 괜찮았을 것 같아 여
"버뮤다 느낌이 너무 이쁩니당
근데 저는 버뮤다 느낌도 주고 롤업해서 입어봤는데 , 조금더 짧으면서 다리가 길어보이고 이쁜 느낌도 줄수 있더라고요!
버뮤다 짧게 롤업해도 이쁜 팬츠!
잘 구매 한거 같습니다 :)",5.0,버뮤다 느낌이 너무 이쁩니 당 근데 저는 버뮤다 느낌도 주고 롤업해서 입어봤는데 조금 더 짧으면서 다리가 길어 보이고 이 쁜 느낌도 줄 수 있더라고요 버뮤다 짧게 롤업해도 이쁜 팬츠 잘 구매 한 거 같습니다
"리뉴얼로 워싱했다고 써져있긴 한데 
판매 사진은 리뉴얼 전껄로 올려놓아서 뭔가 속은느낌..
사진과 달리 훨씬 색깔이 짙고 워싱이 허벅지 전체를 덮고 있는데 이정도면 다른 제품 아닐까 싶네요",2.0,리뉴얼로 워싱했다고 써져 있긴 한데 판매 사진은 리뉴얼 전 껄로 올려놓아서 뭔가 속은 느낌 사진과 달리 훨씬 색깔이 짙고 워싱이 허벅지 전체를 덮고 있는데 이 정도면 다른 제품 아닐까 싶네요
핏 제가 생각했던 그대로입니다 너무 만족스러워요 !,5.0,핏 제가 생각했던 그대로입니다 너무 만족스러워요
핏도 좋고 기장도 알맞게 떨어지니 이번 여름에는 이것만 입고 다닐거 같습니다~!,5.0,핏도 좋고 기장도 알맞게 떨어지니 이번 여름에는 이것만 입고 다닐 거 같습니다
이바지 요즘 저의 교복입니다 일부러 골반에 걸쳐 크게입으려고 한사이즈 업햤는데 제가 원하는 핏이에요!! 많이 두껍지 않고 통이 넓어서 통풍도 잘되고 한여름인데도 덥지 않게 입고 다니고 있어요! 칠부느낌으로다가 옛날 느낌으로 힙하게 입고싶옸는데 넘 귀엽고 예뻐서 대만족 입니당,5.0,이바지 요즘 저의 교복입니다 일부러 골반에 걸쳐 크게 입으려고 한 사이즈 업햤는 데 제가 원하는 핏이에 요 많이 두껍지 않고 통이 넓어서 통풍도 잘 되고 한 여름인데도 덥지 않게 입고 다니고 있어요 칠부 느낌으로 다가 옛날 느낌으로 힙하게 입고 싶옸는데 넘 귀엽고 예뻐서 대 만족 입니당
"핏 이랑 재질은 괜찮습니다 디자인도 좋구요

색감은 제품사진보단 파란끼가 덜하고 탁한느낌?

그리고 워싱과정에서 나온 가루들이 덜 제거되어서 뒤집어 털고 입어야했네요

그래도 이뻐서 입습니다",4.0,핏 이랑 재질은 괜찮습니다 디자인도 좋구요 색감은 제품 사진보단 파란 끼가 덜하고 탁한 느낌 그리고 워싱과정에서 나온 가루들이 덜 제거되어서 뒤집어 털고 입어야 했네요 그래도 이 뻐서 입습니다
핏 죽여줍니다 허리는 커서 벨트 메야하지만 핏 하나로 단점 커버 가능합니다 사세요 그냥,5.0,핏 죽여줍니다 허리는 커서 벨트 메야 하지만 핏 하나로 단점 커버 가능합니다 사세요 그냥
"검은색 살까 고민하다가 청으로 했어용
너무 클까봐 걱정했는데
원하던 핏이에용 할인해서 샀어요",4.0,검은색 살까 고민하다가 청으로 했어 용 너무 클까봐 걱정했는데 원하던 핏이 에 용 할 인해서 샀어요
"버뮤다 스타일의 데님팬츠를 찾고 있었는데 적당한 가격대에 스타일좋은 제품이라 바로 구입하였습니다.
딱 사진에서 보는 그대로의 컬러감에 부드러운 재질감까지 매우만족스러웠는데요.
허리 사이즈나 전체적인 풍성함은 그리 크게 나온편은 아니기때문에 오버하게 착용하고 싶으신분들은 꼭 한사이즈 업하시길 추천드립니다.
3사이즈로 했으면 좀더 모델같은 느낌이 났을거 같은데, 2사이즈는 딱 맞는 핏의 실루엣이 나오네여.
이점이 조금 아쉽지만, 그래도 재질이나 컬러감, 디테일적인 부분은 거의 만점이라 할수 있을거 같습니다.
구입하고 블프 세일이라 조금 속이 쓰리지만, 올여름 멋진 버뮤다팬츠 찾으시는 다른분들은 빨리 구매하시길 추천드립니다.",5.0,버뮤다 스타일의 데님 팬츠를 찾고 있었는데 적당한 가격대에 스타일 좋은 제품이라 바로 구입하였습니다 딱 사진에서 보는 그대로의 컬러감에 부드러운 재질감까지 매우 만족스러웠는데요 허리 사이즈나 전체적인 풍성함은 그리 크게 나온 편은 아니기 때문에 오버하게 착용하고 싶으신 분들은 꼭 한 사이즈 업 하시길 추천 드립니다 사이즈로 했으면 좀 더 모델 같은 느낌이 났을 거 같은데 사 이즈는 딱 맞는 핏의 실루엣이 나오네 여 이점이 조금 아쉽지만 그래도 재질이나 컬러감 디테일적인 부분은 거의 만점이라 할 수 있을 거 같습니다 구입하고 블프 세일이라 조금 속이 쓰리지만 올 여름 멋진 버뮤다 팬츠 찾으시는 다른 분들은 빨리 구매하시길 추천 드립니다
받자마자 짝 입었는데 핏이 너무 이쁘고 어떤 옷에 매칭이을 하든 너무 잘 어울립니다,5.0,받자마자 짝 입었는데 핏이 너무 이 쁘고 어떤 옷에 매칭이을 하든 너무 잘 어울립니다
"클거 예상하고 시키긴 했는데 증말 많이 커요 그래서 좋아용!
허리는 벨트하면 된답미댱",5.0,클 거 예상하고 시키긴 했는데 증 말 많이 커요 그래서 좋아 용 허리는 벨트하면 된 답미댱
"색깔이 훨씬 짙고 워싱도 엄청 많이 들어갔네요
모델 사진과는 완전 다른 제품 이에요",2.0,색깔이 훨씬 짙고 워싱도 엄청 많이 들어갔네요 모델 사진과는 완전 다른 제품 이에요
너무 이쁜데 허리가 좀 커서 벨트 안하면 골반에 걸쳐요,5.0,너무 이쁜데 허리가 좀 커서 벨트 안 하면 골반에 걸쳐요
"여자친구는 싫어하지만 저는 기장감이 딱 좋아요
예쁩니다.",5.0,여자친구는 싫어하지만 저는 기장감이 딱 좋아요 예쁩니다
"핏감 너무 좋습니다
사이즈도 딱 적당하고 착용감 좋아요",5.0,핏감 너무 좋습니다 사이즈도 딱 적당하고 착용 감 좋아요
키가 크지 않아서 너무 길면 어쩌나 했는데 다행스럽게도 기장감과 핏 전부 만족스러워요,5.0,키가 크지 않아서 너무 길면 어쩌나 했는데 다행스럽게도 기장감과 핏 전부 만족스러워요
통큰바지 찾고있었는데 딱 무릎까지 내려오고 허리는 벨트안했을때 골반 하면 허리 정도로 내려와요. 원래 바지L사이즈 아니면 28입습니다.,5.0,통 큰 바지 찾고 있었는데 딱 무릎까지 내려오고 허리는 벨트 안했을 때 골반 하면 허리 정도로 내려와 요 원래 바지 사이즈 아니면 입습니다
바지 완전 귀요미!! 허리가 좀 많이 크긴 한데 그것 빼곤 다 대만족이엿어요ㅎㅎ 하얀 반팔이랑 입으면 완전 청량 그자체 색은 생각보다 좀 진한데 진해서 더 만족이였어요 완전 최고 기장은 허리 꽉 맸을 때 무릎 밑 정도 왔고 허리 그대로 냅두면 정강이?까지 왔어요 완전 예쁨 번창하세요,5.0,바지 완전 귀요미 허리가 좀 많이 크긴 한데 그것 빼곤 다 대 만족이 엿어요 하얀 반팔이랑 입으면 완전 청량 그 자체 색은 생각보다 좀 진한데 진해서 더 만족이였어요 완전 최고 기장은 허리 꽉 맸을 때 무릎 밑 정도 왔고 허리 그대로 냅두면 정강이까지 왔어요 완전 예쁨 번창하세요
이쁜 상품가성비좋게잘구매했습니다. 어디든 잘 어울릴 것 같습니다. 후에 재구매 의향 또한 있습니다.,5.0,이쁜 상품가성비 좋게 잘 구매했습니다 어디든 잘 어 울릴 것 같습니다 후에 재구매 의 향 또한 있습니다
"와 너무 시원하고 이뻐여
일단 다리튼실해서 무릎 밑 기장 찾았는데 
너무 맘에 들어요
여름 이랑 가을 봄에 자주 입을 것 같아여
기장 핏 완전 취향저격입니다",5.0,와 너무 시원하고 이 뻐여 일단 다리튼실해서 무릎 밑 기장 찾았는데 너무 맘에 들어 요 여름 이랑 가을 봄에 자주 입을 것 같아 여 기장 핏 완전 취향 저격입니다
"허리가 좀 큰데 기장이나 핏, 색감이 너무 예뻐서 자주 입을 것 같아요 디테일도 좋음!! 완전 만족합니다",5.0,허리가 좀 큰데 기장이나 핏 색감이 너무 예뻐서 자주 입을 것 같아 요 디테일도 좋음 완전 만족합니다
크게 입고 싶어서 사이즈 큰 걸로 샀습니다. 딱 원하던 루즈한 핏이라 여름에 짱 잘 입었어요. 하지만 아쉬운 점은 허리쪽이 까슬까슬해서 가려웠습니다. 이 부분 빼고는 가성비도 좋고 좋았습니다~!,4.0,크게 입고 싶어서 사이즈 큰 걸로 샀습니다 딱 원하던 루즈 한 핏이라 여름에 짱 잘 입었어요 하지만 아쉬운 점은 허리 쪽이 까슬까슬해서 가려웠습니다 이 부분 빼고는 가성비도 좋고 좋았습니다
평소에 27 입는데 골반에 걸쳐 입으니 잘 맞아용 딱 원하던 핏입니다,5.0,평소에 입는데 골반에 걸쳐 입으니 잘 맞아 용 딱 원하던 핏입니다
"세일하길래 생각없이 구매했는데 

생각보다 핏이 너무 좋고 색감도 이뻐서 놀랐어요

아무데나 입어도 잘 어울려서 좋습니다
 
활용도 높은 새깅하기 좋은 바지",5.0,세일하길래 생각 없이 구매했는데 생각보다 핏이 너무 좋고 색감도 이 뻐서 놀랐어요 아무 데나 입어도 잘 어울려서 좋습니다 활용도 높은 새깅하기 좋은 바지
저정도 키를 가진 분이라면 충분히 원하는 핏 나올 것 같아요 서있을때 무릎을 살짝 덮습니다,5.0,저 정도 키를 가진 분이라면 충분히 원하는 핏 나올 것 같아 요 서 있을 때 무릎을 살짝 덮습니다
"여름 대비 버뮤다 팬츠 구매하던 차에 마침 타임세일이라 구매하게 되었네요. 

카펜터 디테일이 들어간 데님 버뮤다입니다! 반바지답게 무게감은 가벼운 편이었고, 재질도 부드러운 편이었어요.

제 스펙 기준 2사이즈가 무릎을 덮는 기장이라 좋았습니다. 하리는 살~짝 여유 있어요 ㅎㅎ

스타일링할 때는 위에 가볍게 오버핏 셔츠를 걸쳐주는 것만으로도 귀엽게 매치가 가능합니다👍

다만 아쉬운 점이 있긴 하네요. 망치걸이 디자인을 해둔 부분의 원단이 힘이 없어서 모양이 유지가 안되고, 봉제 마감이 다소 아쉬웠어요.. 여러 부분에 실이 튀어나와 있어서 한동안 가위와 라이터로 손질했네요..🥲

그래도 가격대를 생각한다면 충분히 납득가는 수준이긴 합니다^^; 옷 자체의 색감이나 핏 등은 예쁩니다!! 가성비로 추천이요🙌",4.0,여름 대비 버뮤다 팬츠 구매하던 차에 마침 타임 세일이라 구매하게 되었네요 카펜터 디테일이 들어간 데님 버뮤다입니다 반 바지답게 무게감은 가 벼운 편이었고 재질도 부드러운 편이었어요 제 스펙 기준 사이즈가 무릎을 덮는 기장이라 좋았습니다 하리는 살짝 여유 있어요 스타일링 할 때는 위에 가볍게 오버핏 셔츠를 걸쳐주는 것만으로도 귀엽게 매치가 가능합니다 다 만 아쉬 운 점이 있긴 하네요 망치걸이 디자인을 해둔 부분의 원단이 힘이 없어서 모양이 유지가 안 되고 봉제 마감이 다소 아쉬웠어요 여러 부분에 실이 튀어나와 있어서 한동안 가위와 라이터로 손질했네요 그래도 가격대를 생각한다면 충분히 납득가는 수준이 긴 합니다 옷 자체의 색감이나 핏 등은 예쁩니다 가성비로 추천이요
