Processed_Review,keyword
예뻐용 근데 다리 쪽 살짝 비치네요 이너 잘 챙겨 입어야 할 듯,"챙기다, 비치다, 다리"
피케 원피스 사고 싶어서 브랜드 랑 인 쇼 여기저기 보다 가 무신사에서 겟 근데 생각보다 넘 만족 얇긴 한데 핏하게 잡아줘서 예뻐용 색도 네이비라 넘 예쁘고 어깨가 좀 딱 맞긴 하는데 그래도 추천입니당,"추천, 사, 여기저기, 잡다, 만족, 원피스, 색도, 네이비"
잘 입고 있어요 이 쁘고 상큼해 보이네요 허리 라인이 살짝 들어가서 날씬해 보여 요 대부분은 만족하는데 다른 분들 말처럼 비침이 있어요 밝은 곳 가면 옷 안의 다리가 비침 길이도 좋긴 한데 제가 키가 커서 살짝 더 길면 더 잘 입을 것 같아요,"비치다, 만족하다, 말, 비치다, 날씬하다, 들어가다, 라인, 상큼, 길다"
원하는 가격대 원하는 색상 원하는 핏감 모두 만족,"원하다, 만족, 가격, 색상, 핏감"
여행가서도 잘 입고 평소에도 너무 잘 입고 있습니다 핏이 예쁨,"여행가 서도, 평소, 핏"
살 되어서 처음으로 입고 싶은 원피스 사본 건데 너무너무 만족하면서 잘 입고 있습니다 주변 사람들은 대 중후반으로 보인다고 하지만 그래도 저는 굿 초이스라고 생각합니다,"만족하다, 보이다, 초이스, 중후, 사람, 처음"
허리라인 잡아줘서 좋슴 등 배에 힘주고 다녀 요 속 바지 입으세요,"잡다, 허리 라인, 힘주다, 바지, 배, 좋슴"
길이가 짧지 않아서 좋고 가성비로 입기 좋은 것 같아요,"가성비, 길이, 짧다"
짧을 거 알고 샀지만 대 박 짧음 어깨선이랑 가슴 딱 맞고 배 부분 치마는 약간 라인으로 떨어짐,"라인, 알, 치마, 가슴, 부분, 짧다, 짧다, 어깨 선"
사이즈 한 사이즈 더 작게 구매하는 게 예뻤을 것 같지만 그냥 하게 입는 것도 나쁘지 않아 교환하지 않았어요 생각보다 얇고 비침이 있어 속 치마를 입고 입었습니다,"사이즈, 교환, 치마, 비치다, 작다"
상의가 생각보다 타이트하고 소재도 좀 얇아요 시원하긴 할 거 같아요,"상의, 타이트, 시원하다, 소재, 얇다"
약간 요런 너낌 길이 참거하세용 예쁘게 짧아요 그래서 속 바지는 필수입니당,"차다, 필수, 요런, 바지, 길이, 짧다, 낌"
꾸안꾸로 너무 좋아요 하지 않고 확실히 시원한 듯,"확실하다, 시원하다, 꾸다 꾸다"
이 뻐요 기본 아이템으로 너무 맘에 들어 요 네이비 색도 진해서 좋습니다,"진하다, 아이템, 네이비, 기본, 색도"
길이가 딱이네요 너무 짧지도 길지도 않는 활동성 좋아요 바디 쉐입도 딱 예쁘게 떨어지는 것 같아요,"길이, 활동, 바디, 짧다, 쉐입"
키가 큰 편인데 생각보다 안 짧아서 좋았어 용 예쁩니당,"키, 편, 짧다"
역시 무탠다드는 가성비 최고네요 평범한 체격이 신 분들은 추천드립니당,"추천 드리다, 평범하다, 가성비, 체격, 분, 최고"
에 인데 기장도 딱이 고 적당히 피트 되며 가볍고 편해요 배짤 좀 더 빼고 입으면 더 이 쁠 것 같아요,"적당하다, 편하다, 가볍다, 기장, 피트, 빼다, 배, 딱이다"
생각보다 많이 두껍지 않아 엄청 더운 날씨에 입어도 나쁘지 않은 재질이에 요 네이비 색상이 적당히 선명해서 색이 바래보이거나 하지는 않아 좋아요 가슴 쪽 단추 채우는 부분이 적당히 텐션이 좋아서 안쪽이 보일 염려가 없어요 다만 조금 비치는 게 있네요,"선명하다, 비치다, 날씨, 색상, 텐션, 재질, 보이다, 부분, 적당하다"
