Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
마감은 살짝 아 쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다,,"디테, 마감, 소매, 쉬다, 일이, 핏","듭니, 디테, 디테 일이, 마감, 소디테일, 소매, 쉬다, 이나, 일이, 핏"
셔츠 얇고 예뻐요 여름에 입 기 시원해서 좋은 것 같아용, 얇다,"셔츠, 시원하다, 얇다, 여름","셔츠, 시원하다, 얇다, 여름"
항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른 컬러도 구매하고 싶을 정도로 만족합니다,,"나오다, 만족하다, 믿다, 브랜드, 제품, 좋아하다, 컬러","나오다, 만족, 만족하다, 믿다, 브랜드, 싶다, 제품, 좋아하다, 컬러, 하고, 항상"
배송이 생각보다 느렸던 게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람 많은 곳 가면 마주치기 쉬움 하지만 후들 거리는 게 맘에 들어 요 여름 템으로 잘 입을 듯 여자는 뮤조건 젤 작은 사이즈로 사세요 본인 떡대 쩔지만 해요,,"가면, 느리다, 대신, 배송, 본인, 쉬움, 여자, 휘뚤마뚤","가면, 넉넉, 느리다, 대신, 떡대, 마주치다, 뮤 조건, 뮤조건, 배송, 본인, 사람많다곳, 사이즈, 쉬움, 여름, 여자, 작다, 조건, 후거리, 휘뚤마뚤"
단추도 싸구려 색감 좋아 보여서 선택했는데 확실히 가격이 낮아서 그런 가 딘 추부터 바느질까지 싼티가 나네요,,"가격, 가다, 그렇다, 나다, 낮다, 단추, 바느질, 색감, 선택, 싸구려, 싸다, 추, 확실하다","가격, 가다, 그렇다, 나다, 낮다, 단추, 딘추, 런가, 바느질, 보, 색감, 선택, 싸구려, 싸다, 싸다 티, 싸다티, 아보여서, 여서, 추, 티, 팍팍, 확실하다"
엄청 시원하고 어 디든 잘 어울려서 여름에 잘 입었어 여 남성용이라 엄청 클 줄 알았는데 적당히 잘 맞았습니다," 적당하다,  여름","남성, 디, 맞다, 시원하다, 알다, 어울리다, 여름, 적당하다, 크다","남성, 남성 용이, 디, 맞다, 시원, 시원하다, 알다, 어울리다, 여름, 용이, 적당하다, 크다"
링클 소재라 가볍고 단독으로도 좋을 거 같은데 전 아우터 처롬 걸쳐봤구요 체크 패턴이 톤앤톤 느낌이라 무난하게 여기저기 매치하기 좋은 거 같아요,,"가볍다, 단독, 매치, 여기저기, 으로도, 처롬, 톤앤톤, 패턴","가볍다, 걸치다, 단독, 단독으로도, 링클, 링클소재, 매치, 소재, 아우 터, 아우터, 여기저기, 으로도, 처롬, 체크, 체크패턴, 톤앤톤, 패턴"
내가 원했던 시골 농촌 소년 느낌 그런데 한 줌의 트렌드를 넣은 내년 여름에 요기나 게 입을 수 있겠어요 어느 바지든 다 잘 어울리는 거 같아요,,"내, 내년, 넣다, 농촌, 바지, 소년, 시골, 요기, 원하다, 트렌드","내, 내년, 넣다, 농촌, 바지, 소년, 시골, 어울리다, 여름, 요기, 원하다, 줌, 트렌드"
핏은 너무 예뻐요 원단도 시원하고 좋아요 그 대신 박 음질이 너무 엉성 하네요 벌써 단 추구멍이 튿어졌어요 예뻐서 그냥 제가 다시 꼬매서 입고 있어요,,"대신, 벌써, 성, 원단, 음질, 지다","구멍, 꼬매, 다시, 단추구멍, 대신, 박음질, 벌써, 성, 시원하다, 엉, 원단, 음질, 지다, 추 구멍, 튿, 핏"
전체적으로 기장이 좀 더 길었으면 하는 아쉬움이 있네요, 기장,"기장, 길다, 아쉬움, 전체","기장, 길다, 아쉬움, 전체"
완전 모델 핏처럼 은 안 나오지만 소매를 풀어서 입으니 비슷한 느낌이 나네요 생각했던 거보다 얇아서 시원해서 좋고 이 가격에 이 정도 핏감이랑 디자인 너무 만족합니다, 시원하다,"가격, 나오다, 디자인, 만족하다, 소매, 시원하다, 얇다, 풀다, 핏감","가격, 나다, 나오다, 디자인, 만족하다, 모델, 모델핏, 소매, 시원하다, 얇다, 이정, 처럼, 풀다, 핏, 핏감"
원단도 너무 시원하고 핏도 너무 시원해 보여서 좋아요 이번 여름 편하게 걸치고 나갈 옷 티어입니다, 원단,"걸, 보, 시원하다, 원단, 치고, 편하다, 핏","1티어, 걸, 걸치고, 보, 시원하다, 여름, 여서, 원단, 치고, 티어, 편하다, 핏"
배송은 다소 오래 걸렸지만 옷 자체는 가격 대비 이 뻐요,,"가격, 걸리다, 대비, 배송, 자체","가격, 걸리다, 대비, 배송, 오래, 자체"
체크무늬 셔츠 비싸지 않은 가격으로 잘 구매한 거 같아 요 핏도 너무 이 쁘고 반팔 롤업을 잡아주는 것도 있어서 너무 좋았어요 여름에 시원하게 입을 수 있을 거 같아요, 롤업,"가격, 롤업, 비싸다, 셔츠, 시원하다, 여름, 잡다, 핏","가격, 롤업, 무늬, 비싸다, 셔츠, 시원하다, 여름, 잡다, 체크, 체크 무늬, 체크무늬, 팔, 핏"
후루룩 입기 좋아요 가볍고 소매 옆 단추가 잇어서 롤업이 유지되는 디테일 최고," 소매,  가볍다,  디테일","가볍다, 단추, 디테일, 롤업, 소매, 유지, 잇다, 후루룩","가볍다, 단추, 디테일, 롤업, 소매, 유지, 유지 되다, 잇다, 최고, 후루룩"
항상 믿고 구매합니다 배송 빠르고 너무 좋습니다, 빠르다,"믿다, 배송, 빠르다, 항상","믿다, 배송, 빠르다, 항상"
얇아서 한 여름에도 무조건 가능하고 일단 이쁩니다,,"가능하다, 무조건, 얇다, 여름","가능하다, 무조건, 무조건가능하다, 얇다, 여름, 한여름"
색감도 무난하고 핏도 좋아요 어떤 바지에 매치해도 잘 어울릴 거 같아요, 바지,"매치, 바지, 색감, 어떻다, 어울리다, 핏","매치, 바지, 색감, 어떻다, 어울리다, 핏, 하고"
원단도 얇고 시원해서 여름에 입 기 딱 좋아요 흰 티에 막 걸쳐주기만 해도 베스트 코디 뚝딱입니다 추천해요,,"걸치다, 베스트, 시원하다, 얇다, 여름, 원단, 추천, 코디, 티, 해도","걸치다, 뚝딱, 베스트, 베스트코디, 시원, 시원하다, 얇다, 여름, 원단, 추천, 코디, 티, 해도, 희다"
핏도 하고 너무 이쁩니다 좋은 가격에 좋은 상품이라고 생각합니 더,,"가격, 상품, 핏, 합","가격, 넉넉, 상품, 이라고, 핏, 합"
색감이 진짜 미쳤어요 무채색 러버들 완전 취향 저격 여름 코디가 한정적이라 포인트 주기 힘든데 이 셔츠 하나만으로도 포인트가 돼서 반팔 셔츠 찾고 계신 분들 구매 추천드려요, 무채색,"러버, 만으로도, 무채색, 색감, 포인트, 하나, 한정","계시다, 드리다, 러버, 만으로도, 무채색, 미치다, 색감, 셔츠, 여름, 저격, 추천, 추천 드리다, 취향, 코디, 팔, 팔셔츠, 포인트, 하나, 한정, 힘드다"
롤업 하프 셔츠라 핏이 러프하게 잘 나와서 좋은 거 같아 요 다만 입었을 때 일부러 각이 잡혀져 있는 건지 밑으로 가면서 배 부분이 넓어져서 튀어나온 거 같이 보여요,,"가면, 건지다, 나오다, 러프, 롤업, 보이다, 셔츠, 일부러, 잡히다, 튀어나오다, 하프","가면, 건지다, 나오다, 넓어지다, 러프, 롤업, 밑, 보이다, 부분, 셔츠, 일부러, 잡히다, 튀어나오다, 핏, 하프"
배송 빠르고 옷 디자인도 너무 예뻐요 쥬름 디테일도 좋아요," 디자인,  배송","디자인, 배송, 빠르다, 일도, 쥬름","디자인, 디테, 디테 일도, 디테일, 배송, 빠르다, 일도, 쥬름"
얇은 체크 패턴 셔츠 사고 싶어서 찾아보던 중에 가성비로 괜찮아 보여서 재입고까지 오래 기 다려 겨우 받았습니다 배송은 많이 느렸지만 옷 자체는 생각보다 핏도 좋고 질감도 좋아요 초가을까지 열심히 입을 수 있을 것 같습니다,,"가성비, 느리다, 다리다, 배송, 셔츠, 오래, 질감, 찾아보다, 체크, 초가을, 패턴, 핏","가성비, 느리다, 다리다, 배송, 보, 사고, 셔츠, 얇다, 열심히, 오래, 자체, 재, 중, 질감, 찾아보다, 체크, 초가을, 패턴, 핏"
진짜 얇아서 여름에 너무 시원하게 입었어요 옷이 어두운 색이라 살이 비칠 걱정은 없어요 소재도 부드러워서 좋아요," 여름,  소재,  시원하다","두운, 부드럽다, 살이, 색, 소재, 시원하다, 얇다, 여름","걱정, 두운, 부드럽다, 비치걱정, 비치다, 살이, 색, 소재, 시원하다, 얇다, 없다, 여름"
쭈글거리는 텍스쳐가 맘에 들고 포인트가 되는 것 같습니다 하지만 가격이 가격인지라 몇 번 입으니 보풀이 좀 일어나네요 그래도 이 가격대에 이런 디자인이면 후회는 안 합니다, 디자인,"가격, 디자인, 보풀, 일어나다, 텍스쳐, 포인트","가격, 가격 인지, 대, 디자인, 보풀, 이렇다, 인지, 일어나다, 쭈글거리, 텍스쳐, 포인트, 후회"
제주 여행에서 잘 입었어요 이런 스타일도 좋아하지만 다른 스타일을 더 좋아해 자주 입지 않는데 이 옷은 자주 입을 것 같아 요 너무 이쁩니다,,"스타일, 입지, 제주","스타일, 여행, 이렇다, 입지, 제주, 좋아하다"
링클가공이랑 색감이랑 맥시한 핏감이랑 다 자연스럽고 빈티지한 느낌으로 너무 이 뻐요 요즘 느낌 날도 뜨거운데 시원하고 가성비 뒤집니 당, 가성비,"가성비, 날, 빈티, 색감, 자연스럽다, 핏감","가공, 가성비, 날, 뒤지다, 뜨겁다, 링클, 링클 가공, 링클가공, 맥시, 맥시핏감, 빈티, 빈티지, 색감, 시원하다, 자연스럽다, 핏감"
여름에 입을 가벼운 체크 난방을 고르고 있었는데 합리적인 가격대에 놀란 제품입니다 오버 핏으로 연출 하고 싶어서 사이즈로 구매했고 어께 너비는 예쁘게 떨어져서 너무 좋았구요 기장은 생각 보다 짧았지만 적당한 맛이였어요, 난방,"기장, 난방, 놀란, 연출, 오버, 제품, 합리","가격대, 가볍다, 고르다, 기장, 께, 난방, 너비, 놀란, 떨어지다, 맛, 사이즈, 여름, 연출, 오버, 적당하다, 제품, 짧다, 체크, 핏, 합리"
가성비로 편한 반팔 셔츠 입었습니다 근데 좀 잘 구겨지는 재질,,"가성비, 구기다, 셔츠, 재질, 팔, 편하다","가성비, 구기다, 구기재질, 근데, 셔츠, 재질, 팔, 팔셔츠, 편하다"
재질이 바람이 잘 통하는 재질이라 여름에 입으면 시 원합니 당 핏도 넓찍하게 나와서 좋네용, 바람,"나오다, 넓다, 바람, 여름, 원하다, 재질, 핏","나오다, 넓다, 넓다찍, 바람, 시원, 여름, 원하다, 재질, 찍다, 통, 핏"
재질 가벼워요 주름진 상태에서 계속 유지되서 좋아요 스타일링 팁 품이랑 길이가 크고 긴 편이라서 저는 넣어 입어 요 구매한 이 유 세일해서 가성비 좋아요 착용 감 입은 듯 입은 듯 해요 무게 엄청 가 벼워요 추천해요,,"가성비, 무게, 벼워, 상태, 세일, 일링, 재질, 착용, 추천","가볍다, 가성비, 계속, 길이, 넣다, 무게, 벼워, 상태, 세일, 스타, 스타 일링, 스타일링팁, 유지, 일링, 일해, 재질, 주름, 주름진, 착용, 추천, 크다, 편이, 품"
파르티 멘토 옷이 너무 이 쁘기도 하고 가격도 너무 착해서 자주 구입하는 편인데 이번에도 실망시키지 않고 좋은 제품 만들어 주신 거 같습니다 여름에 입 기 너무 좋아요,,"가격, 만들다, 멘토, 실망, 여름, 제품, 착하다, 파르티","가격, 만들다, 멘토, 쁘기, 실망, 여름, 제품, 주신, 착하다, 파르티, 파르티멘토, 편"
