Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
진짜 너무 예쁩니댜 요즘 여름은 맨날 글로니만 입어요,,여름,"댜, 맨날, 여름"
현존하는 러플 스커트 중 제일 예쁩니다 사실 로고 때문에 주문했는데 퀄리티도 마음에 들어서 잘 입을 수 있을 것 같습니다 한 여름에도 입을 수 있는 재질에 착용했을 때 너무 편해서 입은 것 같지도 않아 요 사실 이 거 사려다가 다른 거 사봤는데 그건 입지도 못하고 박아뒀습니다 핏이 안 예뻐서요 허리 인데 예쁘게 로우 라이즈로 떨어져서 더 마음에 듭니다 진작 살 걸 왜 지금  샀을까요 뒷북이지만 그래도 여러분 사세요,,"그건, 뒷북, 들어서다, 라이즈, 러플, 로고, 박아, 사보다, 스커트, 여름, 입지, 퀄리티, 편하다","그건, 두다, 뒷북, 들어서다, 떨다, 라이즈, 러플, 로고, 로우, 박아, 박아두다, 사보다, 사실, 수, 스커트, 여름, 입지, 재질, 존, 주문, 진작, 퀄리티, 편하다, 핏, 허리, 현존"
사이즈 적당히 편해요 사이즈가 여유 있게 나온 거 같아 요 밑단 마무리가 좀 아쉽긴 하지만 치마는 이 뻐요," 치마,  적당하다,  마무리,  나오다","나오다, 마무리, 밑단, 사이즈, 아쉽다, 여유, 적당하다, 치마, 편하다","나오다, 마무리, 밑단, 사이즈, 아쉽다, 여유, 적당하다, 치마, 편하다"
사이즈보다 사이즈가 허리선이 더 예쁘게 떨어지는 것 같아요, 떨어지다,"떨어지다, 사이즈, 허리","떨어지다, 사이즈, 선, 허리, 허리 선, 허리선"
예쁘고 시원하고 편하고 완존 만족하는 소비입니다, 시원하다,"만족하다, 소비, 시원하다, 완존, 편하다","만족, 만족하다, 소비, 시원하다, 완존, 편하다"
작년부터 사고 싶었는데 사게 되어서 기 뻐요 기본 스타일인데 다양하게 스타일링 할 수 있어서 좋아요 그리고 너무 이 뻐요, 작년,"기본, 다양하다, 되어다, 사고, 스타, 스타일, 일링, 작년","기본, 다양하다, 되어다, 사고, 수, 스타, 스타 일링, 스타일, 스타일링, 싶다, 인데, 일링, 작년"
악 넘 많이 기다렸는데 재고 있는 거 보고 걍 바로 질렀어 여 기준 길이 딱 예쁩니다 깔꼼한 양말 신고 포인트 되는 신발신어주면 그날은 내가 퀸 체형상 제니 깔은 안 나오지만 얘뻐 여,,"그날, 기다리다, 기준, 깔다, 나오다, 내, 보고, 신고, 신다, 신발, 양말, 얘뻐, 재고, 제니, 지르다, 포인트","걍, 그날, 기다리다, 기준, 길이, 깔꼼, 깔다, 나오다, 내, 보고, 신고, 신다, 신발, 신발 신다, 신발신다, 악, 양말, 얘뻐, 재고, 제니, 지르다, 체형, 체형상, 퀸, 포인트"
사이즈가 작을까봐 고민했는데 실측보다 허리가 하게 나온 거 같아 요 그리고 너무 예뻐요 타 브랜드에서도 비슷하게 많이 나오는데 글로니가 젤 예쁜 거 같습니다,,"고민, 나오다, 브랜드, 사이즈, 실측, 에서도, 작다, 허리","고민, 나오다, 브랜드, 사이즈, 실, 실측, 에서도, 작다, 젤, 타, 허리"
넘 이 뻐용 글로니 체고입니 당 롱치마 잘 안입는데 얘는 자꾸 손이 가요,,"가요, 뻐용, 손, 얘, 자꾸, 체고, 치마","가요, 당, 롱, 롱 치마, 롱치마, 뻐용, 손, 얘, 자꾸, 체고, 치마"
밑단이 빨면 지저분해져 요 셔츠 같은 재질인 듯 비침은 없습니다," 재질,  밑단","밑단, 비침, 셔츠, 없다, 재질, 지저분하다","밑단, 비치다, 비침, 빠르다, 셔츠, 없다, 재질, 지분, 지저분하다"
밑단이라든지 퀄리티에 비해 가격이 너무 비싸요 디자인은 예뻐요, 밑단,"가격, 디자인, 밑단, 비다, 비싸다, 퀄리티","가격, 디자인, 밑단, 비다, 비싸다, 이라든지, 퀄리티"
글로니 하의가 저한테는 조금 컸었는데 이번 스커트는 허리도 길이도 너무 크지 않고 맘에 들어 요 여름이랑 찰떡, 허리,"길이, 스커트, 여름, 크다, 테, 하의, 허리","길이, 스커트, 여름, 찰떡, 크다, 테, 하의, 허리"
역시 글로니로우 라이즈로 입으려고 엠시켰는데 긴 것 빼고는 다 넘 맘에 들어요, 빼다,"니로우, 라이즈, 빼다, 엠","니로우, 라이즈, 빼다, 엠"
진짜 너무 예뻐요 모든 티셔츠 잘 어울리고 너무 잘 입고 다니는 것 같아 요색감도 진짜 예뻐요,,"모든, 색감, 어울리다, 티셔츠","모든, 색감, 어울리다, 티셔츠"
째려보고 있다가 구매했는데 구매 이후로 너무 잘 입고 있어요,,"보고, 이후, 째다","보고, 이후, 째다, 째다 보고, 째다보고"
엄청 얇아서 속옷 비쳐 요 그거 빼면 가볍고 편하고 좋습니다," 가볍다,  그거,  비치다,  빼다","가볍다, 그거, 비치다, 빼다, 속옷, 얇다, 편하다","가볍다, 그거, 비치다, 빼다, 속옷, 얇다, 편하다"
글로니 스커트 계속 눈에 밟혀서 결국은 샀네용 사고 싶은 건 결국 사게 되는 거 같아 욤 이런 스커트 흰색은 있고 블루색 갖고 싶었는데 다른 브랜드 꺼랑 확실히 다른 진짜 연한 하늘색이고 다른 브랜드 블루랑 확실히 다른 핏이네요 핏 비교가 음 그냥 동네 아줌마 편한 치마 느낌이랑 다른 한 끗이 있네요 저만 느끼는 걸 수도,,"끄다, 밟다, 브랜드, 블루, 스커트, 아줌마, 연한, 저만, 하늘색, 확실하다, 흰색","갖다, 건, 끄다, 눈, 느끼다, 동네, 밟다, 브랜드, 블루, 블루 색, 블루색, 비교, 사고, 색, 스커트, 아줌마, 연한, 욤, 이고, 이렇다, 저만, 치마, 하늘색, 확실하다, 흰색"
예뻐용 평소에 글로니 입는데 도 생각보다 잘 맞네요,,"맞다, 평소","맞다, 평소"
색감도 이 쁘고 디자인도 마음에 들고 너무 착용 감도 가볍고 편해서 손이 자주 가 고 어디에나 찰떡입니다 정말 정말 추천입니다," 편하다,  디자인","가볍다, 디자인, 색감, 손, 착용, 찰떡, 추천, 편하다","가다, 가볍다, 디자인, 색감, 손, 착용, 찰떡, 추천, 편하다"
컬러가 예뻐요 다만 박음질이 좀 허술한 감이 있네요, 컬러,"박음질, 컬러","박음질, 술, 컬러, 허다, 허다 술, 허다술"
제가 사고 얼마 안 지나 세일해서 기분은 안 좋았지만 옷은 이 뻐요 근데 요즘 이런 스타일 많이 나와서 이 브랜드를 엄청 좋아하지 않는 이상 굳이 여기꺼 살 필요는 없는 것 같아요," 기분,  스타일","굳이, 기분, 나오다, 브랜드, 사고, 세일, 스타일, 여기다, 좋아하다, 지나, 필요","굳이, 기분, 나오다, 브랜드, 사고, 살, 세일, 스타일, 없다, 여기다, 이렇다, 일해, 좋아하다, 지나, 필요"
연한 하늘색 컬러가 너무 예뻐요 화이트는 인 쇼에 많아서 블루로 했는데 맘에 듭니다," 블루,  컬러","많다, 블루, 쇼, 연한, 컬러, 하늘색, 화이트","듭니, 많다, 블루, 쇼, 연한, 컬러, 하늘색, 화이트"
완전 예뻐요 색감도 청량하고 맘에 듦 근데 밑에 마감이 디자인 때문에 일부러 그런 건진 모르겠지만 실밥이 거슬립니다,,"거슬리다, 건지다, 그렇다, 디자인, 마감, 모르다, 색감, 실밥, 일부러, 청량하다","거슬리다, 건지다, 그렇다, 디자인, 때문, 마감, 모르다, 밑, 색감, 실밥, 일부러, 청량, 청량하다"
베이비 블루 넘 귀엽고 기장도 적당하니 넘 이 쁩니다," 귀엽다,  블루,  적당하다,  베이비","귀엽다, 기장, 베이비, 블루, 쁩니, 적당하다","귀엽다, 기장, 베이비, 블루, 쁩니, 적당하다"
하늘하늘 예뻐요 골반에 걸치게 나와서 좀 크긴 합니당," 크다,  골반","걸치다, 골반, 나오다, 크다, 하늘하늘","걸치다, 골반, 나오다, 크다, 하늘하늘"
세일하기 전에 사서 아숩지만 그만한 값어치를 하는 핏입니다 밑단 풀리는 것도 멋스럽고 특히 여름에 잘 입어질 것 같아 여 전 여름에만 조집니다, 그만하다,"값어치, 그만하다, 멋, 사서, 세일, 아숩, 에만, 여름, 전, 풀리다, 핏입니","값어치, 그만하다, 멋, 밑단, 사서, 세일, 스럽다, 아숩, 에만, 여름, 여름에만, 일, 전, 조 지다, 조지다, 지다, 풀리다, 핏입니"
끝에 마감이 풀려읶는 디테일땜에 세탁 한 번 하고 나니 세상 난리가 나 버려습니다 그치만 이쁘긴 해요," 풀려읶는,  세상","그치다, 끝, 나니, 난리, 디테, 마감, 버리다, 세상, 세탁, 풀려읶는","그치다, 끝, 나니, 난리, 디테, 디테일, 땜, 마감, 버리다, 번, 세상, 세탁, 일, 풀려읶는"
오프라인으로 보고 맘에 들어서 걍 바로 사 버림 오묘한 색감이라서 더 예뻐요," 들어서다,  버리다,  오묘하다","들어서다, 버리다, 보고, 색감, 오묘하다, 오프라인","들어서다, 버리다, 보고, 사, 색감, 오묘하다, 오프라인"
