Processed_Review,keyword
그냥 무지 티보다 앞에 프린팅이 있어서 세련된 느낌도 나 고 어느 바지에 나 잘 어 울릴 거 같아 요 약간 오버핏이라 평소 입던 사이즈보다 한 치수 다운해서 주문했는데 핏이 딱 맞네요 잘 입을 게요,"사이즈, 프린팅, 바지, 다운, 무지, 티보, 평소, 울리다"
제일 작은 사이즈 로 샀는데도 여성분들 크실 거 같아 요 저도 덩치가 작은 편은 아닌데도 좀 큰 감이 있어요 하지만 잘 입는 중,"여성, 덩 치가, 크다, 사이즈, 아니다, 작다, 제일"
깔끔하고 무난해 요 아들이 마음에 들어 하니 다행이네요,"다행, 아들, 깔끔하다"
택배 포장부터 감성 있고 핏 두께 진짜 잘 뺐네요 무엇보다 프린팅이 너무 예쁘구 유니크해요,"프린팅, 포장, 유니크, 감성, 택배, 빼다"
프린팅 예쁘고 두께 적당해서 여름에 입 기 좋아요,"프린팅, 적당하다, 여름, 두께"
입어보자마자 바로 구매 확정 누르고 텍 떼 버렸습니다 메종미네드 옷 매번 어두운 옷만 사 서 잘 몰랐었는데 이 정도로 핏 예쁘게 나오는 줄 몰랐어요 몸 완전 커 보이고 너무 맘에 들어 요 옷도 적당히 얇아서 덥지도 않고 넥 라인 완전 해서 늘어남 걱정도 없고 잘 샀네요,"메종 미네 드, 입어보다, 적당하다, 걱정, 덥다, 두운, 확정"
소재는 가볍고 얇고 비치는 것이 없으며 봉재는 히 질되어 있으며 디자인도 잘 나와서 여름 시즌에 여러 번 입을 거 같네요 제 값 주고 잘 산 거 같습니다 하지만 바탕색이 흰 색 보단 아이보리 느낌이 나서 위에 사진 보다 백인이 찍은 번째 사진이 더 실제와 가깝다고 생각합니다,"사진, 봉 재는, 백인, 실제, 디자인, 소재, 나오다, 사진, 비치다"
할인 안 받고 사 서 조금 비싼 감이 있는데 입자마자 너무 맘에 들어 최 애티셔츠 돼버렸습니다,"애 티셔츠, 비싸다, 할인"
오버핏으로 무난하게 입 기 좋아요 샥상도 이 쁘고 잘 어울려요,"어울리다, 샥상, 오버핏"
너무 예쁘고 편하고 힙하고 다 좋은데 다행히 내가 안입은 날이지만 집 근처에서 이 거 입고 지나가는 사람 본 뒤로 손이 잘 안감,"다행하다, 근처, 힙, 편하다, 날, 손, 내"
그래픽 너무 예뻐요 목이 꽤 도톰하고 원단이 생각했던 거보단 두꺼워서 다행이네요,"다행, 도톰하다, 원단, 목, 그래픽, 두껍다"
프린팅도 예쁘고 좋아하는 파란색이라 너무 마음에 드는 티셔츠네요,"프린팅, 티셔츠, 파란색, 좋아하다"
이쁜 그래픽 티셔츠 찾다가 보고 구매했어요 더운 여름에도 입을 수 있는 재질과 두께 고 그래픽도 이 쁘네요,"티셔츠, 그래픽, 그래픽, 재질, 여름, 덥다, 보고"
옷 디자인 너무 좋고 너무 마음에 듭니다 강 추입니다,"추, 디자인, 듭니"
어깨가 넓어서 고민이 다 하시 눈 분들 이거는 뭐 몸집 차이 일 수 있는데 저는 너무 넓고 부해 보여서 쪼끔 그랬어요 색은 쨍한 흰색이 아니라 조금 아이보리 진짜 쬐끔 노란끼가 돌았어요 디자인은 너무 이 쁘고 힙하고 맘에 들어요,"고민, 흰색, 디자인, 몸집, 아이보리, 보, 아니다"
티 너무너무 예뻐요 청바지에 찰떡 옷은 너무 마음에 듭니다 다 만 포장재가 갠적으로 아쉬웠어요 비닐도 아니고 종이도 아니라서 그 큰 포장재를 일반쓰래기로 버려야 한다는 점이 약간 붐따 하지만 옷이 예뻐서 만족합니다,"만족하다, 아니다, 아니다, 비닐, 쓰래, 듭니"
세탁 조금만 하면 원단 자체가 힘이 없어지고 주름이 많이 지는 건 매우 아쉽네요 싼 가격은 아닌데요,"아니다, 주름, 자체, 가격, 원단, 지다, 힘"
재질은 엄청 얇고 잘 늘어나는 재질은 아닌 거 같아 요 얇아서 시 원합니다 옷도 이 쁘고 커플티로 입으려고 샀는데 바로 헤어졌습니다 옷은 죄가 없으니 이 쁘게 잘 입고 다닐 거 같습니다,"늘어나다, 원하다, 아니다, 재질, 커플티"
재질은 엄청 얇고 잘 늘어나는 재질은 아닌 거 같아 요 얇아서 시 원합니다 옷도 이 뻐서 커플티로 입으려고 샀는데 바로 헤어졌습니다 옷은 죄가 없으니 이 쁘게 잘 입고 다닐 거 같습니다,"늘어나다, 원하다, 아니다, 재질, 커플티"
사이즈가 생각보다 커서 스타일 보고 사이즈 구매하세용 옷은 전체적으로 이 쁘네요 가운데 페인팅이 과하지 않고 적당해서 좋아요 시원한 느낌 드네요,"적당하다, 전체, 페인팅, 사이즈, 스타일, 사이즈, 시원하다"
