Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
클 거 예상하고 시키긴 했는데 증 말 많이 커요 그래서 좋아 용 허리는 벨트하면 된 답미댱,,"답미댱, 벨트, 예상, 크다, 허리","골반, 교복, 답미댱, 많이, 벨트, 예상, 칠부, 크다, 통풍, 하고, 허리, 힙"
색깔이 훨씬 짙고 워싱도 엄청 많이 들어갔네요 모델 사진과는 완전 다른 제품 이에요,,"들어가다, 모델, 사진, 워싱, 제품, 짙다","과는, 들어가다, 디자인, 많이, 모델, 사진, 색감, 색깔, 워싱, 재질, 제품, 짙다, 핏"
너무 이쁜데 허리가 좀 커서 벨트 안 하면 골반에 걸쳐요, 허리,"걸치다, 골반, 벨트, 커서, 허리","걸치다, 골반, 벨트, 커버, 커서, 핏, 허리"
여자친구는 싫어하지만 저는 기장감이 딱 좋아요 예쁩니다,,"기장감, 싫어하다, 여자친구","검은색, 기장, 기장감, 싫어하다, 여자친구, 청, 핏, 할인"
핏감 너무 좋습니다 사이즈도 딱 적당하고 착용 감 좋아요,,"사이즈, 적당하다, 착용, 핏감","데님팬츠, 디테일, 멋지다, 버뮤다, 분, 빨리, 사이즈, 세일, 스타일, 올여름, 재질감, 적당하다, 착용, 찾다, 추천드리다, 컬러, 핏, 핏감"
키가 크지 않아서 너무 길면 어쩌나 했는데 다행스럽게도 기장감과 핏 전부 만족스러워요,,"기장감, 길다, 다행, 만족스럽다, 스럽게, 크다, 키","기장, 기장감, 길다, 다행, 디자인, 만족스럽다, 색감, 스럽게, 어쩌나, 워싱, 재질, 크다, 키, 핏"
통 큰 바지 찾고 있었는데 딱 무릎까지 내려오고 허리는 벨트 안했을 때 골반 하면 허리 정도로 내려와 요 원래 바지 사이즈 아니면 입습니다, 허리,"골반, 내려오다, 무릎, 바지, 벨트, 사이즈, 찾다, 허리","골반, 내려오다, 무릎, 바지, 벨트, 사이즈, 아니다, 원래, 찾다, 커버, 크다, 핏, 허리"
바지 완전 귀요미 허리가 좀 많이 크긴 한데 그것 빼곤 다 대 만족이 엿어요 하얀 반팔이랑 입으면 완전 청량 그 자체 색은 생각보다 좀 진한데 진해서 더 만족이였어요 완전 최고 기장은 허리 꽉 맸을 때 무릎 밑 정도 왔고 허리 그대로 냅두면 정강이까지 왔어요 완전 예쁨 번창하세요,,"바지, 번창, 청량, 팔이, 하얗다, 허리","검은색, 귀요미, 기장, 만족, 무릎, 바지, 번창, 색, 어요, 오다, 정강이, 진하다, 청, 청량, 최고, 팔이, 핏, 하얗다, 할인, 허리"
이쁜 상품가성비 좋게 잘 구매했습니다 어디든 잘 어 울릴 것 같습니다 후에 재구매 의 향 또한 있습니다,,"가성비, 재다","가성비, 데님팬츠, 디테일, 멋지다, 버뮤다, 분, 빨리, 사이즈, 상품, 상품 가성비, 세일, 스타일, 올여름, 울리다, 재다, 재질감, 찾다, 추천드리다, 컬러, 핏, 후"
와 너무 시원하고 이 뻐여 일단 다리튼실해서 무릎 밑 기장 찾았는데 너무 맘에 들어 요 여름 이랑 가을 봄에 자주 입을 것 같아 여 기장 핏 완전 취향 저격입니다,,"가을, 기장, 다리, 무릎, 시원하다, 찾다, 튼실하다","가을, 기장, 다리, 다리 튼실하다, 매칭, 무릎, 봄, 시원하다, 여름, 오다, 저격, 찾다, 취향, 튼실하다, 핏"
허리가 좀 큰데 기장이나 핏 색감이 너무 예뻐서 자주 입을 것 같아 요 디테일도 좋음 완전 만족합니다,,"기장, 디테, 만족하다, 색감, 크다, 허리","기장, 디테, 디테 일도, 만족하다, 벨트, 벨트된답미댱, 색감, 이나, 일도, 크다, 허리"
크게 입고 싶어서 사이즈 큰 걸로 샀습니다 딱 원하던 루즈 한 핏이라 여름에 짱 잘 입었어요 하지만 아쉬운 점은 허리 쪽이 까슬까슬해서 가려웠습니다 이 부분 빼고는 가성비도 좋고 좋았습니다,,"가다, 까슬까슬, 루즈, 아쉽다, 여름, 원하다, 허리","가다, 가성비, 걸, 까슬까슬, 루즈, 모델, 부분, 빼다, 사이즈, 색깔, 아쉽다, 여름, 워싱, 원하다, 웠습, 점, 크게, 허리"
평소에 입는데 골반에 걸쳐 입으니 잘 맞아 용 딱 원하던 핏입니다,,"걸치다, 골반, 맞다, 원하다, 핏입니","걸치다, 골반, 맞다, 벨트, 원하다, 평소, 핏입니, 허리"
세일하길래 생각 없이 구매했는데 생각보다 핏이 너무 좋고 색감도 이 뻐서 놀랐어요 아무 데나 입어도 잘 어울려서 좋습니다 활용도 높은 새깅하기 좋은 바지,,"바지, 색감, 세일, 어울리다","기장감, 깅, 높다, 바지, 색감, 세, 세일, 어울리다, 여자친구, 활용"
저 정도 키를 가진 분이라면 충분히 원하는 핏 나올 것 같아 요 서 있을 때 무릎을 살짝 덮습니다,,"가지다, 나오다, 덮다, 무릎, 불다, 원하다, 충분하다","가지다, 나오다, 덮다, 무릎, 불다, 사이즈, 서다, 원하다, 착용, 충분하다, 키, 핏감"
