Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
년전에 사서 잘 입고 있고 사이즈 업해서 구매했어요 구김 없고 반팔티 중에 재질이 제일 좋아요 세탁 후 건조도 빠르고 이건 모, 재질,"건조, 구김, 사서, 사이즈, 이건, 재질, 티","3년전, 건조, 구김, 년전, 빠르다, 사서, 사이즈, 세탁, 세탁후, 업, 없다, 이건, 재질, 제일, 티, 팔"
나쁘지 않아 요 운동할 때나 집 앞에 마실 나갈 때 가볍게 입 기 좋은 티셔츠입니 당 재질 시원해서 마음에 드네요,,"가볍다, 나쁘다, 말다, 시원하다, 운동, 재질, 티셔츠","가볍다, 나쁘다, 말다, 시원하다, 앞, 운동, 재질, 티셔츠"
팔꿈치 위에 가 아예 안 보일 정도의 핏은 아니에 요 디자인 이 뻐요,,"디자인, 보이다, 아니다, 아예, 위, 팔꿈치, 핏","가다, 디자인, 보이다, 아니다, 아예, 위, 팔꿈치, 핏"
여름에 입 기 딱 좋은 두께에 요 부 드러워서 피부에 거슬리는 것도 없고 아주 만족합니다, 두께,"거슬리다, 두께, 드럽다, 만족하다, 없다, 여름, 피부","거슬리다, 두께, 드럽다, 만족, 만족하다, 없다, 여름, 피부"
사이즈 하고 소재도 괜찮아요 학교에서 교복 대용으로 입을 거라서 무난하고 좋습니다, 소재,"교복, 대용, 사이즈, 소재, 학교","교복, 교복대용, 대용, 라서, 사이즈, 소재, 하고, 학교"
재질도 나쁘지 않고 티 자체도 예쁘고 좋아요 다만 옷이 훨씬 시원한 것 같아 요 이 티셔츠는 하나도 시원하지 않음,,"나쁘다, 시원하다, 재질, 티셔츠, 하나","나쁘다, 시원, 시원하다, 자체, 재질, 티, 티셔츠, 하나"
시원합니닷 꾸안꾸 깔끔 어디든 어울리고 이너로도 좋아요 여자 인데 에스 딱 좋네욥 하나 더 사러 갑니다 쿨 코튼 중에 갑이에요, 여자,"가다, 갑, 깔다, 끄다, 어울리다, 에스, 여자, 코튼, 하나","가다, 갑, 깔다, 깔다끄다, 꾸다꾸다, 꾸안꾸, 끄다, 시원, 시원하다, 어울리다, 에스, 여자, 욥, 이너, 이에요, 인데, 코튼, 쿨코튼, 하나"
배송도 빠르고 잘 입고 있습니다 요즘에 입기에 정말 좋습니다,,"배송, 빠르다","배송, 빠르다"
사이즈 하니 편하게 입 기 좋아요 딱 기 본티에 요 재질 좋고 길이는 엉덩이 다 덮어줍니다 배송도 빨랐어요, 재질,"길이, 덮다, 배송, 빠르다, 사이즈, 엉덩이, 재질, 티, 편하다","기본티, 길이, 넉넉, 덮다, 배송, 빠르다, 사이즈, 엉덩이, 재질, 줍다, 티, 편하다"
살짝 오버핏이라 커 보였는데 입어보니 괜찮네요 원단도 너무 얇지 않고 한 원단이라 좋아요 저렴한 가격에 두 벌이라니 횡재했네요,,"가격, 보이다, 오버핏, 원단, 입어보다, 저렴하다, 횡재","가격, 라니, 벌이, 보이다, 얇다, 오버핏, 원단, 입어보다, 저렴하다, 크다, 톡톡하다, 횡재"
