Processed_Review,keyword
막 입을 셔츠 치 고 가격이 높아서 고민했는데 입어보고 너무너무 만족스러웠습니다 다른 색상으로도 또 갖고 싶네요,"색상, 입어보다, 가격, 셔츠, 싶다, 만족스럽다, 높다"
색깔은 괜찮은데 실밥 마감이 좀 아쉬워요 그래도 얇아서 좋아요,"마감, 실밥, 얇다, 아쉽다, 색깔"
안흔한 체크 셔츠 찾다가 괜찮아 보이길 랴 구매했어요 색감이 쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 미쓰인 것 같아요,"밉다 쓰이다, 보이다, 셔츠, 부드럽다, 색감, 단추, 재질, 체크, 흔하다"
빈티지한 오버셔츠 찾다가 눈에 확 들어와서 특가에 들인 후크의 네이비 셔츠 이번에 눈팅하다가 후크란 브랜드를 접하고 쭉 둘러보며 겟한 친구 중에 하나 실물 봤을 때 딱 든 생각이 오케이 색감 패턴 워싱 빈티지함 모두 성공 내가 원하는 느낌으로 스타일링 할 수 있겠다 하지만 딱 착용하는데 깜짝 놀랬다 생각보다 엄청 커서 인 분들도 세미오버나올 듯 품이 엄청나 다  그레도 그 하고 툭 떨어지는 맛에 원하는 느낌 내기가 용이 할 거 같지만 원단은 얇아서 부담 없이 걸치기 좋을 거 같다 두꺼우면 계절을 더 신경 써야 되니깐 무튼 너무 잘 구매했고 예쁘게 스타일링해서 입어보겠습니다 후크 무서운 신성이네요,"걸치다, 스타 일링, 오버 셔츠, 들어오다, 세미 오버 나오다, 성공, 신성, 착용"
색상도 좋고 봄 가을에 입 기 좋아요 다만 기장감이 생각보다 더 짧긴 합니당,"기장, 색상, 가을, 짧다"
생각보다 체크 배색이 남색보다 베이지 비중이 더 큰 거 같아 요 좀 더 어두운 톤의 체크라고 생각했는데 실제로는 좀 화사하고 확 튀네요 그래도 빈티지하고 흔한 체크 색상이 아니라서 만족합니다 꽤 가벼워서 여름에도 입기 좋을 거 같아요,"화사하다, 만족하다, 색상, 배색, 톤, 체크, 빈티 지하, 비중, 두운"
무더위가 좀 풀리면 입기 좋을 거 같습니다 디자인이 이쁩니다,"디자인, 풀리다, 무더위"
기장은 짧은데 오히려 좋고 좋은 가격에 잘 샀어요,"기장, 가격, 짧다"
평소 입는데 커 보여서 시켰는데 잘 시킨 것 같아요,"평소, 보"
사이즈가 딱 좋습니다 옷이 두껍지도 않아서 팔 접어서 입으면 좋습니다 날씨가 좀 더 해지면 티에 입어도 좋을 것 같아 요,"날씨, 접다, 티, 사이즈, 해지"
너무 잘 맞고 예쁘네 여 앞으로도 많이 구매할게요 감사합니다,"맞다, 앞"
남편이랑 옷 같이 입기 좋아요 만족합니다 가을이 왔으면,"만족하다, 남편, 가을, 오다"
색감이 너무 유니크 합니다 아주 멋져요 기장이 약간 짧은 느낌이긴 한데 그래도 너무 이 뻐서 자꾸 손이 갑니다,"가다, 색감, 유니크, 기장, 손"
걍 이 쁨 워싱데님이 더 잘 어울리는 바지 같음 자주 입을 듯,"워싱데님, 어울리다, 바지"
엉덩이 덮는 충분한 사이즈입니다 프리 사이즈인 줄 알았는데 미디엄이랑 라지 나뉘어져 있어서 고민했었네요,"미디엄, 엉덩이, 사이즈, 사이즈, 충분하다, 라지, 프리, 알다, 덮다"
날씨가 더워져서 자주는 못 입겠지만 너무 이쁩니다,"날씨, 더워지다"
사이즈도 잘 맞고 배송도 빨리 왔어요 다양한 코디에 입을 듯,"사이즈, 배송, 코디, 오다, 맞다, 다양하다"
생각보다 색이 밝은 데 사진에서 보는 것만큼 예쁘네요 조금 다른 쪽으로 다르긴 하지만 만족스럽습니다,"만족스럽다, 다르다, 사진, 색, 쪽"
실제로 입어보니 체형 보완도 되는 것 같고 스타일도 괜찮네요,"스타일, 실제, 입어보다, 체형, 보완, 되다"
간절기에 입 기 좋아요 체크 셔츠인데 흔하지 않고 색도 마음에 드네요,"셔츠, 간절, 흔하다, 색도, 체크"
두껍지 않아서 마음에 듭니다 가을에 입 기 좋을 것 같습니다,"듭니, 가을, 두껍다"
생각보다 훨씬 예뻐요 저렴하게 잘 구입했요,저렴하다
그냥 제가 생각한 사이즈 핏 입니다 너무 이쁘네요,"사이즈, 그냥"
이쁩니다 체크 셔츠 살려 했는데 잘 산거 같아 요 굿,"살리다, 셔츠, 체크"
너무 이 뻐요 핏이 작살남 어디든 이 쁠 거 같고 여름에도 얇아서 입는 거 가능,"가능, 작살 남, 여름, 핏, 얇다"
