Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
이 뻐요 최고 꾸미고 나갈 때 진짜 자주 입음 무난꾸안 꾸,,"꾸다, 꾸미다, 최고","꾸다, 꾸미다, 꾸안꾸, 최고"
딸아이가 맘에 들어합니다 초반에 킬로 딱 맞습니다 기본 디자인이 고 만 듬 세 좋아요 가격 대비 훌륭," 초반,  킬로","가격, 기본, 대비, 디자인, 맞다, 초반, 킬로, 훌륭","가격, 가격대비, 기본, 기본디자인, 대비, 디자인, 딸아이, 맞다, 초반, 킬로, 훌륭"
생각보다 짧아서 당황했지만 두께감 적당하고 허리 들 뜸 없어서 너무 좋아요," 허리,  짧다","당황, 두께감, 없다, 적당하다, 짧다, 허리","당황, 두께, 두께감, 없다, 적당하다, 짧다, 허리, 허리들뜨다"
허리는 맞는데 골반이 너무 껴요 길이는 딱 좋은데 입고 벗기 불편해요," 길이,  골반,  허리","골반, 길이, 끼다, 맞다, 벗기다, 불편하다, 허리","골반, 길이, 끼다, 맞다, 벗기다, 불편하다, 허리"
오랜만에 짧은 청치마 원하던 스타일이에 요 날씨가 따뜻해서 외출복으로 픽 했어요,,"날씨, 따뜻하다, 스타일, 오랜, 외출복, 원하다, 짧다, 치마","날씨, 따다뜻, 따뜻하다, 스타일, 오랜, 외출 복, 외출복, 원하다, 짧다, 짧다청치마, 청, 청 치마, 치마"
제가 원하던 디자인이라 너무 맘에 들어 요 흑청치마 사고 싶어서 웬만한데 다 뒤졌는데 이게 젤 예쁨미다 다 만 인데 허리가 많이 커요 그래도 위에 큰 후드나 맨투맨 입으면 신경 안 쓰이는데 크롭이랑 같이 입으려면 줄 여야 할 듯 헐렁해 보여요,,"디자인, 원하다, 웬만하다, 크다, 크롭, 헐렁하다","s인데, 뒤지다, 디자인, 밉다, 보이다, 사고, 신경, 신경안쓰이다, 싶다, 여야, 원하다, 웬만하다, 위크다후드맨투맨, 젤밉다, 줄이다야하다, 청, 청 치마, 치마, 크다, 크롭, 크롭이랑, 투맨, 허리, 허리많이크다, 헐렁하다, 헐렁하다보이다, 후드, 흑, 흑청치마"
키가 좀 커서 짧을까봐 걱정했는데 그렇게 짧진 않았어요 옷도 이 뻐서 잘 입고 다닐 것 같아요,,"걱정, 짧다, 키","걱정, 그렇게, 두께감, 짧다, 커서, 키, 허리, 허리들뜨다"
예뻐용 근데 이 거 허리 진짜 커서 줄여서 입어야 할 것 같아 여, 허리,"줄, 커서, 허리","골반, 근데, 길이, 벗기다, 여서, 줄, 커서, 허리"
길이도 적당하고 재질이랑 핏도 너무 좋은 것 같아요,,"길이, 재질, 적당하다, 핏","길이, 따다뜻, 외출복, 재질, 적당하다, 짧다청치마, 핏"
무신사 스탠다드 치마 맛집 루다가 하는 부분입니다,,"루다, 맛집, 물다, 부분, 스탠다드, 치마","s인데, 뒤지다, 디자인, 루다, 맛집, 물다, 부분, 스탠다드, 신경안쓰이다, 원하다, 웬만하다, 위크다후드맨투맨, 젤밉다, 줄이다야하다, 치마, 크롭이랑, 허리많이크다, 헐렁하다보이다, 흑청치마"
기장이 딱 예뻐요 다른 쇼핑몰 기본 데님치 마보다 싸기 두 하고요,,"기본, 기장, 데님, 마, 쇼핑몰, 싸다","기본, 기장, 데님, 데님 치, 마, 쇼핑몰, 싸다, 짧다, 치, 키"
생각보다 허리가 엄청 큽니다 저 수선집 아주머니가 인치라고 하셨어요 저는 수선 맡겼는데 많이 줄여야 해서 돈 더 나왔어요 천 원 달라고 하셨어요 저 허리 얇은 편 아니고 보통인데 이 옷이 크게 나옵니다 하게 보시면 안 돼요,,"보시, 보통, 선집, 아주머니, 허리","나오다, 달라, 돼다, 라고, 많이, 맡기다, 보시, 보통, 선집, 수선, 아니다, 아주머니, 야하다, 얇다, 인데, 인치, 줄여서, 커서, 크다, 허리"
예뻐요 존 예탱구리 잘 입겠습니다 허리 잘 맞고 색감 생각한 흑청 색깔이에요 여름에 진작 살 걸 그랬네 싶습니다 반팔이랑 입어도 예쁠 것 같아요,,"구리, 색감, 여름, 청, 팔이, 허리","구리, 그렇다, 길이, 맞다, 색감, 색깔, 싶다, 여름, 이에요, 재질, 진작, 청, 탱, 팔이, 핏, 허리, 흑"
핏은 정핏으로 예쁩니다 데일리룩으로 잘 활용할 거 같아여,,"데일리룩, 정핏, 핏, 활용","데일리룩, 루다, 맛집, 물다, 부분, 스탠다드, 일리, 정핏, 치마, 핏, 활용"
