Review,Processed_Review,common_keywords_all,common_keywords_3_plus
이뻐요 최고 꾸미고 나갈 때 진짜 자주 입음 무난꾸안꾸,이뻐요 최고 꾸미고 나갈 때 진짜 자주 입음 무난꾸안꾸,,"꾸미다, 꾸안꾸, 최고"
"딸아이가 맘에들어합니다
160초반에 48킬로
딱맞습니다
기본디자인이고
만듬세 좋아요
가격대비 훌륭",딸아이가 맘에 들어 합니다 초반에 킬로 딱 맞습니다 기본 디자인이고 만듬세 좋아요 가격 대비 훌륭," 킬로,  초반","가격, 기본, 대비, 디자인, 만듬세, 이고, 초반, 킬로, 훌륭"
"생각보다 짧아서 당황했지만
두께감 적당하고 허리 들뜸 없어서 너무 좋아요!",생각보다 짧아서 당황했지만 두께감 적당하고 허리 들뜸 없어서 너무 좋아요," 허리,  짧다","당황, 두께감, 들뜨다, 없다, 적당하다, 짧다, 허리"
허리는 맞는데 골반이 너무 껴요 ㅠㅠ 길이는 딱 좋은데 입고벗기 불편해요,허리는 맞는데 골반이 너무 껴요 길이는 딱 좋은데 입고 벗기 불편해요," 허리,  골반,  길이","골반, 길이, 끼다, 맞다, 벗기다, 불편하다, 허리"
오랜만에 짧은청치마 원하던스타일이에요~날씨가 따뜻해서 외출복으로 픽했어요,오랜만에 짧은 청치마 원하던 스타일이에요 날씨가 따뜻해서 외출복으로 피했어요,,"날씨, 따뜻하다, 스타일, 오랜, 외출복, 원하다, 짧다, 치마, 피"
"제가 원하던 디자인이라 너무 맘에들어요
흑청치마 사고싶어서 웬만한데 다 뒤졌는데 이게 젤 예쁨미다
다만 s인데 허리가 많이커요
그래도 위에 큰 후드나 맨투맨입으면 신경안쓰이는데 크롭이랑 같이 입으려면 줄여야할듯 헐렁해보여요.",제가 원하던 디자인이라 너무 맘에 들어요 흑청치마 사고 싶어서 웬만한데 다 뒤졌는데 이게 젤 예쁨이다 다만 s인데 허리가 많이 커요 그래도 위에 큰 후드나 맨투맨 입으면 신경 안 쓰이는데 크롭이랑 같이 입으려면 줄여야 할 듯 헐렁해 보여요,,"디자인, 원하다, 웬만하다, 크다, 크롭, 헐렁하다"
"키가 좀 커서 짧을까봐 걱정했는데 그렇게 짧진 않았어요!
옷도 이뻐서 잘입고 다닐것 같아요~!",키가 좀 커서 짧을까 봐 걱정했는데 그렇게 짧진 않았어요 옷도 이뻐서 잘 입고 다닐 것 같아요, 짧다,"짧다, 키"
예뻐용 근데 이거 허리 진짜 커서.... 줄여서 입어야할 것 같아여,예뻐요 근데 이거 허리 진짜 커서 줄여서 입어야 할 것 같아요, 허리,"줄, 커서, 허리"
길이도 적당하고 재질이랑 핏도 너무 좋은 것 같아요!!,길이도 적당하고 재질이랑 핏도 너무 좋은 것 같아요,,"길이, 재질, 적당하다, 핏"
무신사 스탠다드 치마 맛집 ㄹㅇ루다가 ㅇㅈ하는 부분입니다,무신사 스탠더드 치마 맛집 루다가 하는 부분입니다,,"루다, 맛집, 물다, 부분, 스탠더드, 치마"
