Review,Processed_Review,common_keywords_all,common_keywords_3_plus
루즈하고 편하게 꾸안꾸 느낌 좋아요! 외투하나만 걸치면 따뜻하기도하네요!,로즈하고 편하게 꿈 안 꾸 느낌 좋아요 외투 하나만 걸치면 따뜻하기도 하네요," 외투,  편하다,  하나","걸치다, 꾸다, 따뜻하다, 로즈, 외투, 편하다, 하나"
어떤옷이든 안에 받쳐입기좋아요 두께도딱적당하구,어떤 옷이든 안에 받쳐 입기 좋아요 두께도 딱 적당하고,,"두께, 받치다, 어떻다, 적당하다"
일단 핏이 너무 좋아요 근데 다른후기들보면 다 크다고 하는데 생각한 것보다 좀 많이 작던데요?,일단 핏이 너무 좋아요 근데 다른 후기들 보면 다 크다고 하는데 생각한 것보다 좀 많이 작던데요, 작다,"작다, 크다, 후기"
생각보다 괜찮아서 마음에 들어요 근데 지퍼가 부드럽지는 않고 좀 걸리는 느낌이 있네요,생각보다 괜찮아서 마음에 들어요 근데 지퍼가 부드럽지는 않고 좀 걸리는 느낌이 있네요,,"걸리다, 부드럽다, 지퍼"
사이즈 완벽 하지만 안에 붙은 기모가 이너티에 붙음,사이즈 완벽하지만 안에 붙은 기모가 이 너 이에 붙음, 사이즈,"기모, 붙다, 사이즈, 완벽하다"
다른 아우터 아래 입기도 좋고 하나만 입어도 좋고 누이좋고 매부좋고 꿩먹고 알먹고,다른 아우터 아래 입기도 좋고 하나만 입어도 좋고 누이 좋고 매부 좋고 꿩먹고 알먹고,,"누, 매부, 아래, 아우터, 하나"
고민 끝에 처음으로 후드 하나 장만했는데 너무 마음에 들어요^^ 사이즈도 적당하고 프로필 보시고 체형 저랑 비슷하면 고민없이 바로 구매하셔도 됩니다~~,고민 끝에 처음으로 후드 하나 장만했는데 너무 마음에 들어요 사이즈도 적당하고 프로필 보시고 체형 저랑 비슷하면 고민 없이 바로 구매하셔도 됩니다,,"보시, 사이즈, 적당하다, 처음, 프로필, 하나"
좋아요 두께감도 ㄱㅊ고 근데 지퍼만 좀 어떻게 했음 좋겠네요 사자마자 지퍼때문에 개화나서 바로 환불할 뻔 했습니다.,좋아요 두께감도 고 근데 지퍼만 좀 어떻게 했으면 좋겠네요 사자마자 지퍼 때문에 개화 나서 바로 환불할 뻔했습니다, 지퍼,"개화, 나서다, 두께감, 때문, 뻔하다, 어떻다, 지퍼, 환불"
이걸 왜 이제 발견했나 싶네요 너무 예쁘고 핏 기장 다 마음에 들어요,이걸 왜 이제 발견했나 싶네요 너무 예쁘고 핏 기장 다 마음에 들어요," 이제,  기장","걸, 기장, 발견, 이제"
아직 단독으로 입기에는 춥네용! 겉 옷이랑 같이 입는 중인데 이뻐요!,아직 단독으로 입기에는 춥네요 겉옷이랑 같이 입는 중인데 이뻐요,,"겉옷, 단독, 추다"
