Review,Processed_Review,common_keywords_all,common_keywords_3_plus
"바지를 올려 입어서 그런지 길이가 애매했어요
골반까지 내려야 원하는 버뮤다핏이 나와서 아쉬웠지만
바지 워싱이나 전체적인 바지는 이뻐서
더운 여름에 자주 입을 거 같아요!",바지를 올려 입어서 그런지 길이가 애매했어요 골반까지 내려야 원하는 버뮤다 피이 나와서 아쉬웠지만 바지 워싱이나 전체적인 바지는 이뻐서 더운 여름에 자주 입을 거 같아요, 덥다,"골반, 그렇다, 길이, 덥다, 바지, 애매하다, 여름, 올리다, 워싱, 전체, 피다"
요새 많이 입길래 세일할때 샀는데 잘산것 같아요 힙해진것 같아요,요새 많이 입길래 세일할 때 샀는데 잘 산 것 같아요 합해진 것 같아요,,"세일, 입길, 합"
여름에 입기 너무 좋고 핏도 너무 좋습니다 다음에 또 구매 의사 있습니다,여름에 입기 너무 좋고 핏도 너무 좋습니다 다음에 또 구매 의사 있습니다,,"여름, 의사, 핏"
"뭔가 꾸안꾸로 멋져보이고 싶을때 입습니다.. 핏이 살짝 A라인이라서 치마같기도 하고.. 근데 예뻐요! 단, 살짝 두껍고 밑위 긴걸 선호하시는 분들한테는 짧다고 느껴질 수 있을 것 같습니다.",뭔가 꾸안꾸로 멋져 보이고 싶을 때 입습니다 핏이 살짝 A 라인이라서 치마 같기도 하고 근데 예뻐요 단 살짝 두껍고 밑위 긴 걸 선호하시는 분들한테는 짧다고 느껴질 수 있을 것 같습니다," 선호,  보이","느껴지다, 라인, 멋지다, 뭔가, 밑위, 보이, 선호, 짧다, 치마"
디자인도 생각했던것처럼 이쁘고 길이감도 무릎까지 딱 좋아요 배송도 빠르게 왔네요,디자인도 생각했던 것처럼 이쁘고 길이감도 무릎까지 딱 좋아요 배송도 빠르게 왔네요," 빠르다,  배송,  무릎","길이감, 디자인, 무릎, 배송, 빠르다, 오다, 처럼"
디자인도 깔끔하고 색감이 이뻐서 옷에 잘어울려요,디자인도 깔끔하고 색감이 이뻐서 옷에 잘 어울려요," 디자인,  색감","깔끔하다, 디자인, 색감, 어울리다"
딱 핏감 좋게 나오는 거 같아요 ! 디자인도 좋고 색감도 화면과 비슷해요 !,딱 핏감 좋게 나오는 거 같아요 디자인도 좋고 색감도 화면과 비슷해요," 색감,  나오다","나오다, 디자인, 색감, 핏감, 화면"
"예약배송이여서 조금 기다리긴했어요.
버뮤다 입문용으로 완전 추천드려요.
워싱도 이쁘구요.",예약배송이어서 조금 기다리긴 했어요 버뮤다 입문용으로 완전 추천드려요 워싱도 이쁘고요, 워싱,"기다리다, 드리다, 배송, 버뮤다, 워싱, 입문, 추천"
완전 굿 핏이 되게 예쁘게 나와서 행복해요 옷 또 사세요,완전 굿 핏이 되게 예쁘게 나와서 행복해요 옷 또 사세요, 나오다,"나오다, 되게, 핏, 행복하다"
완전 이뻐요 good 다른 옷도 구매해야겠어요 최고!!!,정말 이뻐요 good 다른 옷도 구매해야겠어요 최고,,최고
처음으로 버뮤다를 사봤는데 원하던 기장과 길이로 나왔고 두께도 적당해서 편하게 입을수 있었습니다 앞으로도 자주 입고 다닐 예정입니다,처음으로 버뮤다를 사봤는데 원하던 기장과 길이로 나왔고 두께도 적당해서 편하게 입을 수 있었습니다 앞으로도 자주 입고 다닐 예정입니다, 길이,"기장, 길이, 두께, 사보다, 원하다, 으로도, 처음, 편하다"
일부러 크게 입으려고 라지산건 있는데 진짜 너무 커요.. 그래서 치마핏되는게 아쉬운 ..,일부러 크게 입으려고 라지 신건 있는데 진짜 너무 커요 그래서 치마 핏되는 게 아쉬운," 신건,  크게","라지, 신건, 아쉽다, 치마, 크게, 크다, 핏되"
실물이 휠씬 더 예쁜 것 같아요. 여름에 입기 딱 좋아요. 많이 두껍지가 않아서. 상의에 아무거나 입어도 잘어울려요,실물이 휠씬 더 예쁜 것 같아요 여름에 입기 딱 좋아요 많이 두껍지가 않아서 상의에 아무거나 입어도 잘 어울려요,,"거나, 상의, 실물, 어울리다, 여름"
"위에 넉넉한 오버핏 반팔이랑 입으면 더 귀여운거 있죠
그런데 빨래한다고 건조기 돌렸더니 살짝 작아졌어요ㅠ
원래도 사이즈가 딱 맞았었는데... 밥 많이 드시는 분들은 한사이즈 넉넉히 시키셔도 좋을거같아요",위에 넉넉한 오버핏 반팔이랑 입으면 더 귀여운 거 있죠 그런데 빨래한다고 건조기 돌렸더니 살짝 작아졌어요 원래도 사이즈가 딱 맞았었는데 밥 많이 드시는 분들은 한 사이즈 넉넉히 시키셔도 좋을 거 같아요, 건조기,"건조기, 귀엽다, 넉넉하다, 빨래, 사이즈, 오버핏, 원래, 작아지다, 팔이"
"생각했던 것 보다 허리가 좀 작아서 당황했지만 그래도 이뻐요
한사이즈 크게 사시면 허리도 넉넉하고 길이도 충분해서 더 이쁠 것 같아요
대신 한사이즈 업했을때 크롭이 어울릴지는 잘 모르겠어요ㅠ 저는 만족~!",생각했던 것보다 허리가 좀 작아서 당황했지만 그래도 이뻐요 한 사이즈 크게 사시면 허리도 넉넉하고 길이도 충분해서 더 이쁠 것 같아요 대신 한 사이즈 업했을 때 크롭이 어울릴지는 잘 모르겠어요 저는 만족,,"넉넉하다, 만족, 모르다, 사시, 사이즈, 작다, 충분하다, 크롭, 허리"
생각했던것보다 훨 이뻐요!! 맘에 너무너무 듭미다 굳국,생각했던 것보다 훨씬 이뻐요 맘에 너무너무 듭니다 굳국,,굳다
이뻐요!!! 생각보다 옷이 많이 띡딱하게 굳은느낌이긴힌데 나쁘지않이요 굳굳!!,이뻐요 생각보다 옷이 많이 띡딱하게 굳은 느낌이긴 한데 나쁘지 않니요 굳굳, 느끼다,"굳다, 나쁘다, 느끼다, 딱하다"
"디스플레이 된 사진과 색상이 같아서 좋았던 것 같아요!!
디자인도 딱 알맞은 버뮤다라 길지도 짧지도 않았어요.",디스플레이 된 사진과 색상이 같아서 좋았던 것 같아요 디자인도 딱 알맞은 버뮤다라 길지도 짧지도 않았어요," 사진,  짧다","디스플레이, 디자인, 버뮤다, 사진, 색상, 알맞다, 짧다"
