Review,Processed_Review,common_keywords_all,common_keywords_3_plus
"키 184cm 74~78kg 기준. (XL)
허리 : 벨트 필수 (허리 큽니다)
기장 : 딱 이쁜 기장 나옵니다. (사람에따라 달라요)
통 : 부담스럽지 않게 넓습니다. (힙해요)
가성비 : 이가격에 이런 퀄리티면 너무 좋아요 !!",키 cm kg 기준 XL 허리 벨트 필수 허리 큽니다 기장 딱 이쁜 기장 나옵니다 사람에 따라 달라요 통 부담스럽지 않게 넓습니다 힙해요 가성비 이 가격에 이런 퀄리티 면 너무 좋아요,,"cm, kg, 가격, 부담, 스럽지, 퀄리티"
제가 딱 원하는 사이즈에 원하던 색감이에요. 종종 편하게 입고 다닐거 같아요.,제가 딱 원하는 사이즈에 원하던 색감이에요 종종 편하게 입고 다닐 거 같아요,,"사이즈, 색감, 원하다, 종종, 편하다"
남자친구 사줬는데 예쁘네용 핏이 넘 예쁘고 무엇보다 색깔이 예쁜 것 같아서 2종류 다 구매했습니당,남자친구 사줬는데 예쁘네요 핏이 너무 예쁘고 무엇보다 색깔이 예쁜 것 같아서 종류 다 구매했습니다,,"남자친구, 사주다, 색깔, 핏"
"체험단으로 입어보고 후기 남깁니다.
먼저 이 가격대에 이 퀄리티면 너무 좋다는 생각입니다. 사이즈는 정핏으로 가시면 될 것 같습니다.

1. 재질과 색상
부드러운 데님 재질입니다. 색깔은 사진에 나와있는 것보다 조금 더 어두운 편이에요. 그래서 아무래도 상의랑 매치할 때 상의를 조금 어두운 느낌이 있는 색상으로 매치하면 전체적으로 예쁘게 입을 수 있을 거 같습니다.

2. 핏
허리는 조금 타이트하게 나와서 정핏으로 가시면 될 거 같고, 전체적으로 사진과 비슷한 핏으로 와이드한 핏이 나옵니다.

3. 디자인
워싱 들어가고 곳곳에 데미지 들어간 게 있는데 이게 반팔에 무난하게 어울리는 포인트로 너무 좋네요.. 넣입보다는 빼입했을 때 핏이 더 예쁘게 나오는 것 같아요.",체험단으로 입어보고 후기 남깁니다 먼저 이 가격대에 이 퀄리티 면 너무 좋다는 생각입니다 사이즈는 정에 핏으로 가시면 될 것 같습니다 재질과 색상 부드러운 데님 재질입니다 색깔은 사진에 나와있는 것보다 조금 더 어두운 편이에요 그래서 아무래도 상의랑 매치할 때 상의를 조금 어두운 느낌이 있는 색상으로 매치하면 전체적으로 예쁘게 입을 수 있을 거 같습니다 핏 허리는 조금 타이트하게 나와서 정에 핏으로 가시면 될 거 같고 전체적으로 사진과 비슷한 핏으로 와이드 한 핏이 나옵니다 디자인 워싱 들어가고 곳곳에 대미지 들어간 게 있는데 이게 반팔에 무난하게 어울리는 포인트로 너무 좋네요 넣입보다는 빼입고 했을 때 핏이 더 예쁘게 나오는 것 같아요,,"두운, 매치, 사진, 상의, 재질, 전체"
워싱감 맘에들고 바지야 겹쳐도 잘 모르니 맘에들어요 오래 입어도 괜찮으면 다른 바지도 사볼래요,워싱감 맘에 들고 바지야 겹쳐도 잘 모르니 맘에 들어요 오래 입어도 괜찮으면 다른 바지도 사볼래요,,"모르다, 바지, 사보다, 워싱감"
배송도 엄청 빨리오고 옷도 예뻐요 핏도 잘 나오고 사이즈도 딱 맞아서 엄청 만족하고있습니다 앞으로 많이 살거같아요,배송도 엄청 빨리 오고 옷도 예뻐요 핏도 잘 나오고 사이즈도 딱 맞아서 엄청 만족하고 있습니다 앞으로 많이 살 거 같아요,,"나오다, 만족하다, 맞다, 배송, 사이즈, 오다, 핏"
생각보다는 푸른빛 돌아요 그런데 가성비 이건 아니다 싶을 정도로 좋네 어떻게 이 가격에 이 핏에 이 감성이 나오지,생각보다는 푸른빛 돌아요 그런데 가성비 이건 아니다 싶을 정도로 좋네 어떻게 이 가격에 이 핏에 이 감성이 나오지,,"가격, 가성비, 감성, 나오다, 돌다, 어떻다, 이건"
"다소 얇고 흐물흐물한 느낌의 데님입니다.
싼 가격에 색감이 너무 예뻐서 구매했는데 핏감도 힙한 감성 잘 묻어나는 와이드한 핏감에 색감 역시 기대하던 색 그대로여서 잘 구매한 것 같다라는 생각이 드네요:) 워싱과 약간의 데미지 들어간 디테일도 트렌디하게 너무 예쁩니다!
물론 가격이 싸다보다 마감이나 만듬새 부분에서 약간 아쉬운 건 있지만 이 가격에 충분히 예쁜 핏과 디자인까지 챙겼으면 거의 완벽하다라고 봅니다!",다소 얇고 흐물흐물한 느낌의 데님입니다 싼 가격에 색감이 너무 예뻐서 구매했는데 핏 감도 힙한 감성 잘 묻어나는 와이드 한 핏 감에 색감 역시 기대하던 색 그대로여서 잘 구매한 것 같다는 생각이 드네요 워싱과 약간의 대미지 들어간 디테일도 트렌디하게 너무 예쁩니다 물론 가격이 싸다 보다 마감이나 만듦새 부분에서 약간 아쉬운 건 있지만 이 가격에 충분히 예쁜 핏과 디자인까지 챙겼으면 거의 완벽하다고 봅니다,,기대하다
"와이드핏 원해서 구매했습니다
기장은 수선이 필요하지만..
핏은 예뻐요!",와이드 핏 원해서 구매했습니다 기장은 수선이 필요하지만 핏은 예뻐요,,"기장, 수선, 와이드, 원하다, 필요하다, 핏"
이뻐용 좀 얇은편이라 여름에도 입을순 있을듯 짱짱,이뻐요 좀 얇은 편이라 여름에도 입을 순 있을 듯 짱짱,,"얇다, 여름, 짱짱, 편이"
바지의 통이 너무 큰 경향이 있지만 그래도 잘 입고 다닐거같네요,바지의 통이 너무 큰 경향이 있지만 그래도 잘 입고 다닐 거 같네요,,"경향, 바지"
바지 통이 좀 크기는한데 이 맛으로 입는거지요 워싱도 예쁘고 색도 잘 빠졌고 두께도 너무 안두꺼워서 여름에도 입을 수 있을듯,바지 통이 좀 크기는 한데 이 맛으로 입는 거지요 워싱도 예쁘고 색도 잘 빠졌고 두께도 너무 안 두꺼워서 여름에도 입을 수 있을 듯,,"두껍다, 두께, 바지, 색도, 여름, 크기"
생각보다 통이 컸음. 기장은 나쁘지않고 오버핏을 많이입는 사람으로선 좋은제품이였음.,생각보다 통이 컸음 기장은 나쁘지 않고 온 버핏을 많이 입는 사람으로선 좋은 제품이었음, 크다,"나쁘다, 버핏, 사람, 제품, 크다, 통"
