Review,Processed_Review,common_keywords_all,common_keywords_3_plus
이쁘고 저렴해서 좋아요 니트도 촘촘해서 만족감이 높습니다,이쁘고 저렴해서 좋아요 니트도 촘촘해서 만족감이 높습니다, 만족감,"높다, 니트, 만족감, 저렴하다, 촘촘해"
미니멀룩 기본템인데 지금입기엔 좀 덥습니다 가을에 ,미니멀룩 기본 템인데 지금 입기엔 좀 덥습니다 가을에,,"가을, 기본, 덥다"
배송도 빠르고 색감도 이뻐요 부드럽고 코디하기 편해요,배송도 빠르고 색감도 이뻐요 부드럽고 코디하기 편해요," 색감,  부드럽다","배송, 부드럽다, 빠르다, 색감, 코디, 편하다"
배송이 빠르고 가격이 합리적이어서 좋았습니다,배송이 빠르고 가격이 합리적이어서 좋았습니다,,"가격, 배송, 빠르다, 합리"
합리적인 가격이 좋은 품질의 옷입니다편안하게 입기좋아요,합리적인 가격이 좋은 품질의 옷입니다 편안하게 입기 좋아요, 품질,"가격, 편안하다, 품질, 합리"
케이블도 귀엽고 핏도 잘 나와요  2개 사서 아주 잘 입고있습니다,케이블도 귀엽고 핏도 잘 나와요 개 사서 아주 잘 입고 있습니다,,"귀엽다, 나오다, 사서, 케이블, 핏"
2장 가성비로 잘 샀어요 어디에 입어도 이쁘게 입을 수 있어요,장 가성비로 잘 샀어요 어디에 입어도 이쁘게 입을 수 있어요,가성비,가성비
디자인도 예쁘고 가격도 좋아요 여러번 빠니까 보풀이 조금 생기지만 신경 쓰이진 않아서 괜찬항요,디자인도 예쁘고 가격도 좋아요 여러 번 빠니까 보풀이 조금 생기지만 신경 쓰이진 않아서 괜찬하요," 디자인,  보풀","가격, 괜찬하, 디자인, 보풀, 빨다, 생기, 쓰이다, 여러"
디자인 예쁘고 가격 착해요 니트 반팔이라 더운 감이 있지만 얇아서 괜찮아요,디자인 예쁘고 가격 착해요 니트 반팔이라 더운 감이 있지만 얇아서 괜찮아요, 니트,"가격, 니트, 덥다, 디자인, 얇다, 착하다, 팔이"
디자인도 예쁘고 가격도 착해요 니트 반팔이라 그런지 덥지만 얇은 감이 있어서 괜찬하요,디자인도 예쁘고 가격도 착해요 니트 반팔이라 그런지 덥지만 얇은 감이 있어서 괜찬하요, 디자인,"가격, 그렇다, 니트, 덥다, 디자인, 얇다, 착하다, 팔이"
여름니트필요해서 구매했는데 워셔블이고 품질도 맘에들어요,여름 니트 필요해서 구매했는데 워셔블이고 품질도 맘에 들어요, 품질,"니트, 여름, 워셔블, 이고, 품질, 필요하다"
여름니트 필요해서 샀는데 디자인도 좋고 잘맞는게 맘에들어요,여름 니트 필요해서 샀는데 디자인도 좋고 잘 맞는 게 맘에 들어요, 디자인,"니트, 디자인, 맞다, 여름, 필요하다"
저렴한 가격인데도 핏도 예쁘고 잘 입고다녀서 좋았어요,저렴한 가격인데도 핏도 예쁘고 잘 입고 다녀서 좋았어요,,"가격, 저렴하다, 핏"
옷이 얇아서 여름에 자주 입을 것 같아요 옷 너무 이쁘네요,옷이 얇아서 여름에 자주 입을 것 같아요 옷 너무 이쁘네요,,"얇다, 여름"
받아서 보자마자 딱 원하던스타일의 꽈배기니트라 너무좋았어요 입었는데 보들보들하고 넉넉한 사이즈로 덥지도않고 진짜 맘에 들어요 어두운색만 입어서 다른색도 소화할수있다면 주문하고 싶네요,받아서 보자마자 딱 원하던 스타일의 꽈배기 니트라 너무 좋았어요 입었는데 보들보들하고 넉넉한 사이즈로 덥지도 않고 진짜 맘에 들어요 어두운색만 입어서 다른 색도 소화할 수 있다면 주문하고 싶네요,,"넉넉하다, 덥다, 보들보들하다, 사이즈, 색도, 소화, 스타일, 어두운색, 원하다, 주문"
너무나도 예뻐서 두가지 색상 구매했어요 잘 입을게요,너무나도 예뻐서 두 가지 색상 구매했어요 잘 입을게요,,"가지, 색상"
색감 괜찮고 넉넉한 핏으로 이쁘게 떨어짐 얇은데 탄탄한 느낌,색감 괜찮고 넉넉한 핏으로 이쁘게 떨어짐 얇은데 탄탄한 느낌," 색감,  탄탄하다","넉넉하다, 떨어지다, 색감, 얇다, 탄탄하다, 핏"
색도 예쁘고 핏도 깔끔합니다 좋은 상품을 구매했네요,색도 예쁘고 핏도 깔끔합니다 좋은 상품을 구매했네요, 색도,"깔끔하다, 상품, 색도, 핏"
여름에도 입기 좋은 적당한 두깨감으로 너무 두껍지 않고 무겁지 않아서 편하게 입기 좋습니다 감사합니당,여름에도 입기 좋은 적당한 두께감으로 너무 두껍지 않고 무겁지 않아서 편하게 입기 좋습니다 감사합니다, 여름,"두껍다, 두께감, 무겁다, 여름, 적당하다, 편하다"
