Review,Processed_Review,common_keywords_all,common_keywords_3_plus
간절기때 입기 딱 좋아요 ! 남녀공용이라 커플룩으로도 강츄!,간절기 때 입기 딱 좋아요 남녀 공용이라 커플룩으로도 강츄," 간절기,  남녀","간절기, 강츄, 공용, 남녀, 으로도, 커플룩"
가볍게 입기 좋아요 너무예뻐요!! 매장에서 입어보고 샀는데 잘샀어용 ,가볍게 입기 좋아요 너무 예뻐요 매장에서 입어보고 샀는데 잘 샀어요,,"가볍다, 매장, 입어보다"
제품의 품질이 좋아요.이 스타일이 처음 입 봤지만 좋아해요 ,제품의 품질이 좋아요 이 스타일이 처음 입 봤지만 좋아해요," 처음,  제품","스타일, 제품, 좋아하다, 처음, 품질"
너무너무 이뻐요. 꾸안꾸 최고 아이템입니다! 잘 입겠습니다 ㅎㅎ,너무너무 이뻐요 꿈 안 꾸 최고 아이템입니다 잘 입겠습니다, 최고,"아이템, 최고"
제 체격엔 큰 편이라 오히려 좋슴다. 편하게 입기 좋아서 손이 자주 가고 바막이라 가볍구 .. 이쁘구.. 머.. 이쁘구... 이뻐요,제 체격엔 큰 편이라 오히려 좋습니다 편하게 입기 좋아서 손이 자주 가고 바막이라 가볍고 이쁘고 머 이쁘고 이뻐요," 체격,  가볍다","가다, 가볍다, 바막, 체격, 편이, 편하다"
와이프 선물로 사줬는데 맘에 들어하네요 처음에 시큼한 냄새 조금나요 ,와이프 선물로 사줬는데 맘에 들어 하네요 처음에 시큼한 냄새 조금나요," 사주다,  처음,  냄새","냄새, 사주다, 선물, 시큼하다, 와이프, 처음"
엄청 이쁘고 로고도 이쁘고 반짝 바스락 간지 철철 나요 완전 이뻐서 너무 맘에 들고 힙한 느낌 가득,엄청 이쁘고 로고도 이쁘고 반짝 바스락 간지 철철 나요 정말 이뻐서 너무 맘에 들고 힙한 느낌 가득, 로고,"간지, 나요, 로고, 바스락, 반짝, 철철, 힙"
핏은원하는핏이예요. 날씨가따듯해야입을수잇을거가타요.,핏은 원하는 핏이에요 날씨가 따듯해야 입을 수 있을 거가 타요," 거가,  타요","거가, 날씨, 따다, 원하다, 타요, 핏"
"▪️가격대가 좀 있지만 디자인과 핏이 아주 예쁨 ▪️색상,디자인 모두 사진과 동일함 ▪️세탁망에 넣고 세탁하니 변형 없었음 ",가격대가 좀 있지만 디자인과 핏이 아주 예쁨 색상 디자인 모두 사진과 동일함 세탁망에 넣고 세탁하니 변형 없었음," 디자인,  색상","가격, 대가, 동일하다, 디자인, 변형, 사진, 색상, 세탁"
소재가 이쁜거 같아요. 특유의 짙은 블랙감이 깊이있어서 좋구요. 간절기에 가볍게 걸치고 다니면 힙하니 좋을것 같습니다.,소재가 이쁜 거 같아요 특유의 짙은 블랙 감이 깊이 있어서 좋고요 간절기에 가볍게 걸치고 다니면 합하니 좋을 것 같습니다,,"가볍다, 간절기, 걸, 깊이, 블랙, 소재, 치고, 특유, 합"
키때문에 팔이 좀 짧긴 한데 그런대로 또 잘 맞아요,키 때문에 팔이 좀 짧긴 한데 그런대로 또 잘 맞아요, 짧다,"때문, 맞다, 짧다, 팔이"
사이즈 잘 맞고 핏 이뻐요. 길이도 적당하고 잘입고있습니다.,사이즈 잘 맞고 핏 이뻐요 길이도 적당하고 잘 입고 있습니다, 사이즈,"길이, 맞다, 사이즈, 적당하다"
제가 샀던거 중에 가장 맘에 듭니다 살까 말까 고민했는데 사길 잘한거 같습니다,제가 샀던 거 중에 가장 맘에 듭니다 살까 말까 고민했는데 사길 잘한 거 같습니다," 말다,  살다","가장, 고민, 말다, 살다"
예브다ㅜㅡㅜ기엽고 !!휘뚤마뚤 막 입을려고 샀어여 잘 입을게야,예브다기엽고 휘뚤마뚤 막 입으려고 샀어요 잘 입을 게야,,"예브다기엽, 휘뚤마뚤"
너무너무 만족합니다!! 다른 컬러도 구매하고 싶어요❤️ 4계절 모두 착용 가능할 것 같아서 더욱 만족합니다 저렴하게 구매해서 득템한거 같아 기분 좋아요 ㅎㅎ 힙하게 입을께요😁,너무너무 만족합니다 다른 컬러도 구매하고 싶어요 계절 모두 착용 가능할 것 같아서 더욱 만족합니다 저렴하게 구매해서 득템한 거 같아 기분 좋아요 합하게 입을게요," 저렴하다,  가능하다,  착용","가능하다, 계절, 더욱, 득템, 만족하다, 저렴하다, 착용, 컬러"
예뻐요 여름에도 가볍게 입을수있을것 같아서 잘 산것같아요 너무 만족합니다 ㅎㅎ,예뻐요 여름에도 가볍게 입을 수 있을 것 같아서 잘 산 것 같아요 너무 만족합니다,,"가볍다, 만족하다, 여름"
"1. 사이즈 남자 기준 사이즈 105까지 가능 스트링으로 품 조절하면 크롭도 가능 2. 두께 봄, 가을용 아우터 정도 여름에 에어컨 때문에 추울 때 입기 딱 괜찮음 3. 재질 땀복 재질. 통풍 잘 안될 거 같음 비 올 때 입으면 옷 다 달라붙는 느낌 먼지 아시죠? 장마 때 입으면 그럴 거 같아요 다른 마뗑킴 제품은 재질만 보면 진짜 싼마이인데 이건 싼마이느낌 안나네요 4. 배송 5일 걸린 듯.. 여기서 팍 식음 5. 디자인, 핏 사실상 핏, 디자인이 굉장히 좋아요. 나그랑에 오버핏이라 여자는 여리여리하게 입기 좋고, 남자는 스트링 조여서 세미크롭으로 다리 길어보이게 입기 가능",사이즈 남자 기준 사이즈까지 가능 스트링으로 품 조절하면 크롭도 가능 두께 봄 가을용 아우터 정도 여름에 에어컨 때문에 추울 때 입기 딱 괜찮음 재질 땀복 재질 통풍 잘 안될 거 같음 비 올 때 입으면 옷 다 달라붙는 느낌 먼지 아시죠 장마 때 입으면 그럴 거 같아요 다른 마뗑킴 제품은 재질만 보면 진짜 싼 마이인데 이건 싼 마이 느낌 안 나네요 배송 일 걸린 듯 여기서 팍 식음 디자인 핏 사실상 핏 디자인이 굉장히 좋아요 래글런에 온 버핏이라 여자는 야리야리하게 입기 좋고 남자는 스트링 조여서 세미 크롭으로 다리 길어 보이게 입기 가능,,"남자, 디자인, 사실, 사이즈, 스트링, 에어컨, 재질, 조절, 추다, 크롭"
"마뗑킴은 택배 받는 맛이 있게 배송해 주는 것 같아요. 고급진 느낌 나게 옷걸이도 같이 동봉해 주었더라고요! 면 소재여도 기존에는 진짜 비닐봉투 재질처럼 매끈매끈한 재질일 줄 알았는데 조금 빳빳한 얇은 면 소재에 코팅이 되어 있는 거라 스크래치에 꽤 괜찮을 것 같아요. 긁혀도 조금 더 빈티지스러울 것 같은 느낌? 엄청 부담스럽게 반짝일 줄 알았는데 전혀 안 부담스럽습니다! 그리고 막상 받아 보니 불빛에 비추면 조금 비치는 것만큼 생각보다 얇았어요! 한겹 트렌치코트 정도 얇기인 것 같아요! 그래서 요즘 같은 일교차가 큰 날 입으면 좋을 거 같은데 비오는 날에는 조심하라네요... 제가 여자 치고는 키도 좀 크고 어깨도 있는 편인데도 핏이 너무 부하지도 않고 애매하지 않게 맞아 떨어지는 게 좋았어요. 다만 사이즈 체크하실 때 엄청난 오버핏으로 입을 분들 아니면 신장이 많이 작으신 분들은 매우 크게 느낄 것 같고, 키가 한 180cm이상 되시는 분들은 조금 작다고 느낄 수도 있어서 다른 상의랑 레이어드 추천 드립니다! 한 가지 걱정되는 것은 이 옷의 포인트인 후면의 로고... 빨래 잘못하거나 부주의할 경우에 좀 잘 떨어질 것 같아요ㅠㅠ",,,
"마뗑킴은 택배 받는 맛이 있게 배송해 주는 것 같아요. 고급진 느낌 나게 옷걸이도 같이 동봉해 주었더라고요! 면 소재여도 기존에는 진짜 비닐봉투 재질처럼 매끈매끈한 재질일 줄 알았는데 조금 빳빳한 얇은 면 소재에 코팅이 되어 있는 거라 스크래치에 꽤 괜찮을 것 같아요. 긁혀도 조금 더 빈티지스러울 것 같은 느낌? 엄청 부담스럽게 반짝일 줄 알았는데 전혀 안 부담스럽습니다! 그리고 막상 받아 보니 불빛에 비추면 조금 비치는 것만큼 생각보다 얇았어요! 한겹 트렌치코트 정도 얇기인 것 같아요!  그래서 요즘 같은 일교차가 큰 날 입으면 좋을 거 같은데 비오는 날에는 조심하라네요... 제가 여자 치고는 키도 좀 크고 어깨도 있는 편인데도 핏이 너무 부하지도 않고 애매하지 않게 맞아 떨어지는 게 좋았어요. 다만 사이즈 체크하실 때 엄청난 오버핏으로 입을 분들 아니면 신장이 많이 작으신 분들은 매우 크게 느낄 것 같고, 키가 한 180cm이상 되시는 분들은 조금 작다고 느낄 수도 있어서 다른 상의랑 레이어드 추천 드립니다! 한 가지 걱정되는 것은 이 옷의 포인트인 후면의 로고... 빨래 잘못하거나 부주의할 경우에 좀 잘 떨어질 것 같아요ㅠㅠ",,,
윗부분의 길이를 조절할 수 있기 때문에 키가 작으면 생각할 필요가 없어요 😝😝😝,윗부분의 길이를 조절할 수 있기 때문에 키가 작으면 생각할 필요가 없어요," 작다,  길이","길이, 때문, 부분, 없다, 작다, 조절, 키, 필요"
짱 예뻐요! 이거 하나만 걸쳐도 쓰타일리쉬해서 꾸안꾸 가능해서 너무 좋아요 ㅠㅠ 키가 작아서 좀 많이 오버핏이지만 그것 저차 멋 ㅋㅋ ,짱 예뻐요 이거 하나만 걸쳐도 쓰타 일리 쉬해서 꿈 안 꾸 가능해서 너무 좋아요 키가 작아서 좀 많이 온 버핏이지만 그것 저차 멋," 걸치다,  하나","가능하다, 걸치다, 그것, 꾸다, 버핏, 쉬, 일리, 작다, 차, 키, 하나"
남자가 입기에는 작이서 레이어드해서 입어야돼요 근데 코디만 잘 하면 너무너무 이뻐요 비닐같으면서도 싸구려 바스락거리는 비닐도 아닌게 묘하게 매력있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑킴 로고 감성과 핏이 트랜드를 잘 아는거같아요... 지퍼가 잘 안되는데 잘 푸는 요령만 터득하면 잘되요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족!!,남자가 입기에는 작이 나서 레이어드해서 입어야 돼요 근데 코디만 잘 하면 너무너무 이뻐요 비닐 같으면서도 싸구려 바스락거리는 비닐도 아닌 게 묘하게 매력 있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑킴 로고 감성과 핏이 트렌드를 잘 아는 거 같아요 지퍼가 잘 안되는데 잘 푸는 요령만 터득하면 잘 돼요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족,,"레이어드, 만큼의, 매력, 묘, 비닐, 아니다, 터득"
오버핏 정석 힙하게 코디가능 간절기때 유용하게 데일리템으로 입고 다녀용 흰색 줄에 반한.. 너무글로시 하지 않고 딱 좋아요! 제품썸네일샷이랑 동일함,오버핏 정석 합하게 코디 가능 간절기 때 유용하게 데일리 템으로 입고 다녀요 흰색 줄에 반한 너무 글로 시 하지 않고 딱 좋아요 제품 섬네일 샷이랑 동일함,,"가능, 간절기, 데일리, 동일하다, 반한, 샷, 섬네일, 오버핏, 유용하다, 정석, 줄, 코디, 합, 흰색"
예쁘고 얇아서 봄 내내 잘 입을 수 있을거같아요 사이즈도 넉넉하고 좋네요 ㅎㅎ 처음엔 좀 약품 냄새가 나서 환기 잘 되는 곳에 말려놨어요ㅠ 그리고 엄청 바스락 거려요,예쁘고 얇아서 봄 내내 잘 입을 수 있을 거 같아요 사이즈도 넉넉하고 좋네요 처음엔 좀 약품 냄새가 나서 환기 잘 되는 곳에 말려놨어요 그리고 엄청 바스락 걸려요, 걸리다,"걸리다, 나서다, 내내, 냄새, 넉넉하다, 말리다, 바스락, 사이즈, 약품, 얇다, 처음, 환기"
봄 교복으로 구매했어요~핏감도좋고 이뻐요정말.,봄 교복으로 구매했어요 핏 감도 좋고 이뻐요 정말,,"감다, 교복"
사이즈는 좀 오버핏 느낌입니다. 살짝 유광 느낌 이뻐요. 가을에 잘 입고 다니겟습니다,사이즈는 좀 오버핏 느낌입니다 살짝 유광 느낌 이뻐요 가을에 잘 입고 다니겠습니다,,"가을, 사이즈, 오버핏, 유광"
날씨가 점점 선선해져서 걸치기 좋습니다 예뻐요 추천해요,날씨가 점점 선선해져서 걸치기 좋습니다 예뻐요 추천해요," 걸치다,  날씨","걸치다, 날씨, 선선해지다, 점점, 추천"
배송이 살짝 느리긴 한데 넘너무 예쁨 가을에 잘 입을듯,배송이 살짝 느리긴 한데 너무너무 예쁨 가을에 잘 입을 듯, 가을,"가을, 느리다, 배송"
정말 직장에 있을 때 추우면 입고 다니고 좋음 살짝 물 튕기는 재질인데 그게 매력,정말 직장에 있을 때 추우면 입고 다니고 좋음 살짝 물 튕기는 재질인데 그게 매력,,"그게, 매력, 재질, 직장, 추다, 튕기"
블프 기획 전 때 구매해서 한 여름 동안 손에 꼽게 입었던 것 같아요 그래도 입었을 때 느낀 점 좀 설명드릴게요 ❣️재질 - 처음 구매 전에 봤을 때 비닐 같아서 뭔가 내구성이 약하려나 생각했었는데 실제로 만져보면 비닐 보단 뭐랄까 반짝거리는 바람막이 옷감을 만지는 느낌이에요 - 의외로 튼튼하고 통풍도 잘되서 간절기에 이만한 포인트 템이 있을까 싶어요 ❣️사이즈 - 167/66 남자 기준으로도 프리 사이즈가 오버핏 느낌 충분히 나더라구요 ❣️스타일링 - 뒤에 로고플레이도 좋고 반짝이는 겉 표면이 힙한 느낌 살리기 좋을 것 같아요 가을 오면 바로 츄라이 해보려합니다,불프 기획 전 때 구매해서 한 여름 동안 손에 꼽게 입었던 것 같아요 그래도 입었을 때 느낀 점 좀 설명드릴게요 재질 처음 구매 전에 봤을 때 비닐 같아서 뭔가 내구성이 약하려나 생각했었는데 실제로 만져보면 비닐보단 뭐랄까 반짝거리는 바람막이 옷감을 만지는 느낌이에요 의외로 튼튼하고 통풍도 잘 돼서 간절기에 이만한 포인트 템이 있을까 싶어요 사이즈 남자 기준으로도 프리 사이즈가 오버핏 느낌 충분히 나더라고요 스타일링 뒤에 로고 플레이도 좋고 반짝이는 겉면이 힙한 느낌 살리기 좋을 것 같아요 가을 오면 바로 트라이 해보려 합니다,,"구성, 기획, 만지다, 비닐, 튼튼하다"
냄새가 좀 나긴한데 이뻐서 용서됩니다 여자친구랑 커플로 입을건데 좋아용,냄새가 좀 나긴 한데 이뻐서 용서됩니다 여자친구랑 커플로 입을 건데 좋아요, 커플,"건데, 나다, 냄새, 여자친구, 용서, 커플"
소재 자체가 약간 비닐 느낌이라 지금 입기에는 덥긴 하지만 핏이나 뒤에가 너무 예뻐서 맘에들게 입고 있어요!,소재 자체가 약간 비닐 느낌이라 지금 입기에는 덥긴 하지만 핏이나 뒤에 가 너무 예뻐서 맘에 들게 입고 있어요,,"덥다, 비닐, 소재, 핏"
사이즈 넉넉하니 좋네요. 비닐소제인듯한데 소리안나고 고급져요. 가을에 더 신나게 입을려구요. 잘입을게요.,사이즈 넉넉하니 좋네요 비닐 소제인듯한데 소리 안 나고 고급 져요 가을에 더 신나게 입을려구요 잘 입을게요," 고급,  신나다,  넉넉하다","가을, 고급, 나다, 넉넉하다, 비닐, 사이즈, 소리, 신나다, 지다"
배송도 빠르고 상품도 이쁘고 괜찮습니다 추천 합니다,배송도 빠르고 상품도 이쁘고 괜찮습니다 추천합니다,"추천,  빠르다,  배송,  상품","배송, 빠르다, 상품, 추천"
옷 너무 이뻐요 자주 입을 거 같아요 친구들에게 추천합니다!!,옷 너무 이뻐요 자주 입을 거 같아요 친구들에게 추천합니다,,"추천, 친구"
배송 빠르네요 옷걸이까지 포함되어있어서 죠습니다,배송 빠르네요 옷걸이까지 포함되어 있어서 죠습니다, 배송,"걸이, 되어다, 배송, 빠르다, 습니, 포함"
마뗑킴 올가을에 입을려고 빨리 구입함 ! 비니모자랑 찰똑일듯,마뗑킴 올가을에 입으려고 빨리 구입함 비니 모자랑 찰똑일듯, 찰똑,"마뗑킴, 모자, 비니, 빨리, 올가을, 찰똑, 함"
빠른 배송에 빠른 교환처리! 맘에 들어요 세일중에 구매 해서 가격도 맘에들고 ㅋㅋ 그런데 세일이 이제 끝났네요ㅠㅠ,빠른 배송에 빠른 교환처리 맘에 들어요 세일 중에 구매해서 가격도 맘에 들고 그런데 세일이 이제 끝났네요, 배송,"가격, 교환, 끝나다, 배송, 빠르다, 세일, 이제"
세일해서 잘 구매했는데 자크가 불량으로 와서 다시 교환 ㅠㅠ 그래도 빨리 처리 해주셔서 괜찮아요 세일이 끝났네요ㅠㅠ ,세일해서 잘 구매했는데 자크가 불량으로 와서 다시 교환 그래도 빨리 처리해 주셔서 괜찮아요 세일이 끝났네요,,"교환, 끝나다, 다시, 불량, 빨리, 세일, 오다, 자크, 주다, 처리"
가을 준비힐겸 구매했어요 저렴하게 잘 샀어용!! 감사합니당,가을 준비일 겸 구매했어요 저렴하게 잘 샀어요 감사합니다, 가을,"가을, 저렴하다, 준비"
배송도 삐르고 인터넷 최저리고 저렴하게 잘 샀어용^^,배송도 삐어고 인터넷 최저리고 저렴하게 잘 샀어요, 배송,"배송, 삐, 인터넷, 저렴하다, 최저"
"정말 예쁩니다! 사이즈도 딱 맞고, 가을이 오면 입으려고 해요!",정말 예쁩니다 사이즈도 딱 맞고 가을이 오면 입으려고 해요,,"가을, 맞다, 사이즈, 오다"
마뗑킴 윈드브레이커 유명하고 많이 입는만큼 이쁩니다 ,마뗑킴 윈드브레이커 유명하고 많이 입는 만큼 이쁩니다," 윈드브레이커,  마뗑킴","마뗑킴, 윈드브레이커, 유명하다"
좋은가격에 이쁜아이템 구매해서 기분좋아요ㅎ 환절기에 입으려고 구매한건데 얼른 시원해지면 좋겠네요ㅎ,좋은 가격에 이쁜 아이템 구매해서 기분 좋아요 환절기에 입으려고 구매한 건데 얼른 시원해지면 좋겠네요, 환절기,"가격, 건데, 기분, 시원하다, 아이템, 얼른, 환절기"
디자인은 너무 이뻐서 크게 고민없이 구매했습니다! 정상가격보다 저렴하게 할인해서 팔아서 좋은 가격에 구매한거같아요! 이제 조금 지나면 환절기라 감기안걸릴려면 필수템인거 같습니다 ㅎㅎ ,디자인은 너무 이뻐서 크게 고민 없이 구매했습니다 정상가격보다 저렴하게 할인해서 팔아서 좋은 가격에 구매한 거 같아요 이제 조금 지나면 환절기라 감기 안 걸리려면 필수 템인 거 같습니다,,"가격, 감기, 걸리다, 디자인, 이제, 저렴하다, 지나다, 크게, 파다, 할인, 환절기"
너무 맘에들아요 세일할때사서 저렴하게 구매팻습니다 구매하고 나니 가걱 올랏네요 다행 잘입겠습니다 전 냄새도 마니안나요 ㅋ ㅋ ㅎ,너무 맘에 들어요 세일할 때 사서 저렴하게 구매 팼습니다 구매하고 나니 가 걱 올랐네요 다행 잘 입겠습니다 전 냄새도 마니 안 나요,,"나니, 냄새, 사서, 세일, 저렴하다, 팼습니"
핏도 이쁘고 재질도 마음에 들고 싸게 잘샀습니다. ,핏도 이쁘고 재질도 마음에 들고 싸게 잘 샀습니다,,"싸다, 재질, 핏"
눈팅만하다가 여행계획있어서 질렀어요 왜 고민했나 싶어요 너무맘에들어요,눈팅만하다가 여행 계획 있어서 질렀어요 왜 고민했나 싶어요 너무 맘에 들어요," 지르다,  여행,  고민","계획, 고민, 다가, 만하, 여행, 지르다"
잘 먹고 있습니다 신선해서 먹기도 편하네 정말 괜찮은,잘 먹고 있습니다 신선해서 먹기도 편하네 정말 괜찮은,,"먹기, 먹다, 신선하다, 편하다"
작지 않을까 걱정했는데 딱 맞고 생각보다 따뜻해요,작지 않을까 걱정했는데 딱 맞고 생각보다 따뜻해요,,"걱정, 따뜻하다, 맞다, 작다"
"고민 할 시간이 아까울 정도로 넘 맘에 들어요ㅠ 얇은 비닐같은 싸구려 느낌 날까봐 걱정했는데 진짜 싼티 1도 안나요. 적절한 광택에 생각했던 거보다 엄청 얇지도 않더라구요. 어깨라인, 팔라인에 흰색 스티치가 포인트임.  이 옷은 화면보단 실물이 훨씬 더 이쁨",고민할 시간이 아까울 정도로 너무 맘에 들어요 얇은 비닐 같은 싸구려 느낌 날까 봐 걱정했는데 진짜 싼 티 도 안 나요 적절한 광택에 생각했던 거보다 엄청 얇지도 않더라고요 어깨라인 팔 라인에 흰색 스티치가 포인트임 이 옷은 화면보단 실물이 훨씬 더 이쁨,,"고민, 광택, 보단, 비닐, 스티치, 실물, 싸다, 얇다, 적절하다, 화면, 흰색"
진짜 너무 예쁩니다!! 오버핏으로 입기 너무 좋아요! 색도 이쁘고 핏도 잘 나와서 만족해요,진짜 너무 예쁩니다 온 버핏으로 입기 너무 좋아요 색도 이쁘고 핏도 잘 나와서 만족해요,,"나오다, 만족하다, 버핏, 색도, 핏"
