Review,Processed_Review,common_keywords_all,common_keywords_3_plus
이쁘네용 휘뚜루마뚜루 잘 입을 듯! 봄여름가을 잘 입을게용<,이쁘네요 휘뚜루마뚜루 잘 입을 듯 봄여름 가을 잘 입을게요,,"가을, 여름"
예쁘고 사이즈는 조금 크지만 국밥이에요 꼭 사세요,예쁘고 사이즈는 조금 크지만 국밥이에요 꼭 사세요,,"국밥, 사이즈, 크다"
색깔이 잘 빠졌고 이뻐용 길이감도 적당해서 코디 굿,색깔이 잘 빠졌고 이뻐요 길이감도 적당해서 코디 굿,,"길이감, 빠지다, 색깔, 적당하다, 코디"
예쁘고 진짜 편해요 꼭 사세요 추천이요 배송도 빨라요!,예쁘고 진짜 편해요 꼭 사세요 추천이요 배송도 빨라요,,"배송, 빠르다, 추천, 편하다"
정말 예쁘고 고민 없이 꼭 사세요 무조건! 배송도 빨라여,정말 예쁘고 고민 없이 꼭 사세요 무조건 배송도 빨라요,,"고민, 무조건, 배송, 빠르다"
어렸을 때 입은 그 damage 브렌드 청반바지랑 거의 똑같네요. 추억의 옷 잘 입을게요. 이리 저리 편하게 입기 너무 좋습니다. 가격도 괜찮은 것 같아요. 빠른 배송 감사합니다. 잘 입을게요. 강추,어렸을 때 입은 그 damage 브랜드 청 반바지랑 거의 똑같네요 추억의 옷 잘 입을게요 이리저리 편하게 입기 너무 좋습니다 가격도 괜찮은 것 같아요 빠른 배송 감사합니다 잘 입을게요 강추, 반바지,"똑같다, 반바지, 배송, 어리다"
기본 앞뒤 주머니 뿐 아니라 왼쪽 오른쪽 추가된 주머니 끈 등이 예뻐요,기본 앞뒤 주머니뿐 아니라 왼쪽 오른쪽 추가된 주머니 끈 등이 예뻐요,,"기본, 아니다, 앞뒤, 오른쪽, 왼쪽, 주머니, 추가"
실물이 더 예쁘네요 기장도 괜찮고 디테일이 예뻐요,실물이 더 예쁘네요 기장도 괜찮고 디테일이 예뻐요, 기장,"기장, 실물, 일이"
"174 / 70  허리 30인치 딱맞습니다
한치수 업하는게 여유있게 좋을것 같습니다.",허리 인치 딱 맞습니다 한 치수 업하는 게 여유 있게 좋을 것 같습니다,,"맞다, 업, 여유, 인치, 치수, 허리"
버뮤다 핏 청바지 입문용으로 좋습니다. 가성비는 물론이고 어디에든 잘어울려요,버뮤다 핏 청바지 입문용으로 좋습니다 가성비는 물론이고 어디에든 잘 어울려요,,"가성비, 버뮤다, 어울리다, 이고, 입문, 청바지"
생각보다 더 마음에 든다고 합니다 핏도 좋고 워싱도 예쁘네요,생각보다 더 마음에 든다고 합니다 핏도 좋고 워싱도 예쁘네요,,워싱
"바지가 진짜 너무 이뻐요 정말 잘입는중이요
다른색상도 사려고합니다",바지가 진짜 너무 이뻐요 정말 잘 입는 중이요 다른 색상도 사려고 합니다,,"바지, 사려, 색상, 중이"
무난하게 핏도 나오고 여름에 두고두고 잘 입을것같습니다,무난하게 핏도 나오고 여름에 두고두고 잘 입을 것 같습니다,,"나오다, 두고두고, 무난, 여름, 핏"
예 그냥 가성비고 뭐고 예쁘고 싸요 무조건 사세요,예 그냥 가성 비고 뭐고 예쁘고 싸요 무조건 사세요,,"가성, 그냥, 무조건, 뭐, 비고, 싸다"
"행사해서저렴하게구매했어요 
색감도 핏도 예쁜데 허리가 너무커요
배송은 느린편입니다",행사해서 저렴하게 구매했어요 색감도 핏도 예쁜데 허리가 너무 커요 배송은 느린 편입니다,,"느리다, 배송, 색감, 저렴하다, 크다, 편입, 핏, 행사, 허리"
"사이즈 한 번 교환했는데 바꾸니까 넉넉하고 좋아엽
귀여워서 잘입을듯요",사이즈 한 번 교환했는데 바꾸니까 넉넉하고 좋아 업 귀여워서 잘 입을 듯요,,"교환, 귀엽다, 넉넉하다, 바꾸다, 사이즈"
평소에 30으로 입어서 30으로 갈지 아니면 기장 생각해서32로 갈지 고민했는데 32로 살걸 그랬네요 기장이 2cm만 길었으면 싶네요 그리고 뽑기운이 없는건지 안좋은 냄새가 많이 납니다ㅠㅠ 저랑 스펙 비슷하시면 무조건 32ㄱㄱ,평소에 으레 입어 서로 갈지 아니면 기장 생각해 서로 갈지 고민했는데로 살 걸 그랬네요 기장이 cm만 길었으면 싶네요 그리고 뽑기 운이 없는 건지 안 좋은 냄새가 많이 납니다 저랑 스펙 비슷하시면 무조건,,"갈다, 건지다, 기장, 무조건"
평소에 30으로 입어서 30으로 갈지 아니면 기장 생각해서32로 갈지 고민했는데 32로 살걸 그랬네요 기장이 2cm만 길었으면 싶네요 그리고 뽑기운이 없는건지 안좋은 냄새가 많이 납니다ㅠㅠ,평소에 으레 입어 서로 갈지 아니면 기장 생각해 서로 갈지 고민했는데로 살 걸 그랬네요 기장이 cm만 길었으면 싶네요 그리고 뽑기 운이 없는 건지 안 좋은 냄새가 많이 납니다, 기장,"갈다, 건지다, 기장, 나다, 냄새, 평소"
"기장도 딱 무릎에 떨어지고 이뻤어요
약간 두꺼워서 여름,초가을까지는 입을 수 있을거같아요!",기장도 딱 무릎에 떨어지고 이뻤어요 약간 두꺼워서 여름 초가을까지는 입을 수 있을 거 같아요,,"기장, 까지는, 두껍다, 떨어지다, 무릎, 여름"
바지 품을 넉넉하게 입고 싶어  36인치 샀는데 허리는 커도 입기에 딱 좋아요,바지 품을 넉넉하게 입고 싶어 인치 샀는데 허리는 커도 입기에 딱 좋아요,,"넉넉하다, 바지, 크다, 허리"
"가격대비 정말 좋은거같아요
배송도 엄청 빨라서 좋아요 감사합니당",가격 대비 정말 좋은 거 같아요 배송도 엄청 빨라서 좋아요 감사합니다,,"가격, 대비, 배송"
한 사이즈 더 크게해서 헐렁하게 입을걸 싶었지만 지금 사이즈도 맘에 들어요 워싱이랑 색감 넘 이쁨,한 사이즈 더 크게 해서 헐렁하게 입을 걸 싶었지만 지금 사이즈도 맘에 들어요 워싱이랑 색감 너무 이쁨,,"사이즈, 색감, 워싱, 크게, 헐렁하다"
사이즈도 제가 원하는 사이즈고 색감도 이뻐서 좋네요 ㅎㅎ,사이즈도 제가 원하는 사이즈고 색감도 이뻐서 좋네요,,"사이즈, 색감, 원하다"
이 청바지 정말 예쁘네요 가을까지 잘 입을 수 있겠어요 ㅎㅎ,이 청바지 정말 예쁘네요 가을까지 잘 입을 수 있겠어요,,"가을, 청바지"
