Review,Processed_Review,common_keywords_all,common_keywords_3_plus
릴렉스 핏이라서 그런지 품이 조금 크네요 하지만 기장감은 딱이에요 상체가 조금 아쉬운분들은 M이 어울릴것 같아요,릴랙스 핏이라서 그런지 품이 조금 크네요 하지만 기장감은 딱이에요 상체가 조금 아쉬운 분들은 M이 어울릴 것 같아요,,"그렇다, 기장감, 딱이다, 릴랙스, 분, 상체, 아쉽다, 어울리다, 품, 핏"
무난하고 베이직한 블레이저입니다! 초가을까지 입을 수 있을 것 같아요!,무난하고 베이직한 블레이저입니다 초가을까지 입을 수 있을 것 같아요," 무난,  베이직","무난, 베이직, 블레이저, 초가을"
10퍼세일때 샀는디...사자마자 하루뒤에 15퍼세일하네 흙흙...누락한 무신사매거진148만 보내주세요 그거 하나라도 나는 만족해☆ 요즘같은 더운날에는 쿨탠다드 블레이져~☆,포 세일 때 샀는데 사자마자 하루 뒤에 포 세일하네 흙 흙 누란 한 무신 사매 거진 만 보내주세요 그거 하나라도 나는 만족해 요즘 같은 더운 날에는 쿨탠다드 블레이저,,"거진, 그거, 누란, 덥다, 라도, 만족하다, 무신, 보내다, 블레이저, 사, 세일, 하나, 하루"
혹시 모를 일을 위해 검은색 정장 준비하면서 구매했는데 봄여름가을 계절을 위해 쿨맥스 원단 구매했습니다. 핏 재질 만족스럽네요.,혹시 모를 일을 위해 검은색 정장 준비하면서 구매했는데 봄여름 가을 계절을 위해 쿨맥스 원단 구매했습니다 핏 재질 만족스럽네요,,"검은색, 만족스럽다, 맥스, 모르다, 원단, 재질, 정장, 준비"
결혼식에 입고갔어요 . 상품의 질이 너무 좋아서 다음에도 또 구매할게요.,결혼식에 입고 갔어요 상품의 질이 너무 좋아서 다음에도 또 구매할게요,,"가다, 결혼식, 상품, 질"
블레이저 의류를 좋아해서 요즘 날씨에 입을만한 블레이저를 구입하려 했는데 두께도 괜찮고 핏도 좋네요 만족합니다.,블레이저 의류를 좋아해서 요즘 날씨에 입을만한 블레이저를 구입하려 했는데 두께도 괜찮고 핏도 좋네요 만족합니다,,"날씨, 두께, 만족하다, 블레이저, 의류, 좋아하다, 핏"
편하고 좋아요 조금 크게 나와서 한사이즈 다운했어요,편하고 좋아요 조금 크게 나와서 한 사이즈 다운로드했어요," 사이즈,  나오다,  크게","나오다, 다운로드, 사이즈, 크게, 편하다"
좋네요~딱원하던스타일입니다 많이파세요감사합니다ㅎ,좋네요 딱 원하던 스타일입니다 많이 파세요 감사합니다,,"스타일, 원하다, 파다"
쿨탠다드라서 가볍구 시원하네요 핏은 넉넉해서 착용감이 편해요!,쿨탠다드라서 가볍고 시원하네요 핏은 넉넉해서 착용감이 편해요," 시원하다,  가볍다","가볍다, 넉넉하다, 라서, 시원하다, 착용, 편하다, 핏"
생각보다 이쁘고 굉장히 편해용 여름에 입기도 좋네요,생각보다 이쁘고 굉장히 편해요 여름에 입기도 좋네요,,"굉장하다, 여름, 편하다"
딱 재질이 시원하고 땀이 잘 말라서 운동할 때 꼭 착용중입니다. 너무 좋네요 ㅎㅎ 이벤트해서 더 싸게 구한거 같아 너무 좋습니다 ㅎㅎ,딱 재질이 시원하고 땀이 잘 말라서 운동할 때 꼭 착용 중입니다 너무 좋네요 이벤트 해서 더 싸게 구한 거 같아 너무 좋습니다," 재질,  착용","구한, 땀, 시원하다, 싸다, 운동, 이벤트, 재질, 착용"
덩치가 있는 편인데 팔이 들어가는게 있어서 다행입니다. 전체적으로 품이 있는 편이고 신축성도 좋아서 편합니다. 안감이 없기 때문에 시원한 재질입니다. 엄청 고급 느낌은 아니지만 가격대비 생각하면 데일리로 입기 좋습니다.,덩치가 있는 편인데 팔이 들어가는 게 있어서 다행입니다 전체적으로 품이 있는 편이고 신축성도 좋아서 편합니다 안감이 없기 때문에 시원한 재질입니다 엄청 고급 느낌은 아니지만 가격 대비 생각하면 데일리로 입기 좋습니다,,"고급, 다행, 들어가다, 안감, 재질, 전체, 편하다"
