Processed_Review,keyword
바느질 마감이 너무 안 좋아서 한번 교환했지만 이것도 그다지 마음엔 들진 않네요 다른 라지 옷들에 비해서 바느질 마감 상당히 안 좋습니다 보세옷 퀄리티보다 아주 살짝 좋은 정도네요 디자인 디테일 핏 감 모두 마음에 들지만 마감이 다 말아먹는 느낌의 옷입니다,"말아먹다, 마감, 디자인, 바느질, 마감, 라지"
사진으로 볼 땐 이뻤는데 직접 받아보니 이게 무슨 옷인지 사실 좀 갸우뚱하게 됩니다 디자인도 그렇지만 핏 때문에 더 그런 것 같아요 많이 커서 바로 세탁 건조기 코스로 좀 줄였는데 여전히 좀 부한 감이 있습니다 구매한 가격 대비 퀄리티는 괜찮아서 그 점은 만족합니다 더위가 일찍 찾아와서 요즘 입기는 힘들겠네요,"만족하다, 여전하다, 디자인, 건조기, 사진, 직접, 퀄리티, 대비, 커서"
남자친구 선물로 구매했어요 옷 너무 예뻐요 잘 구매한 거 같아요,"선물, 남자친구"
딱 요즘 걸치기 좋네요 길이감이 좀 있고요 주머니 다섯 개 귀여워요 청바지랑 입어도 잘 어울리네요,"걸치다, 어울리다, 청바지, 길이감, 주머니, 다섯, 귀엽다"
제품 무난해서 여러 스타일의 코디에도 잘 매치될 거 같아서 좋아요,"코디, 무난, 스타일, 여러, 매치, 제품"
사이즈가 꽤 크게 나왔네요 소매가 조금 길고 기장은 많이 깁니다,"사이즈, 기장, 소매, 길다, 크게, 나오다"
합리적인 가격에 디자인 좋은 옷을 구매해서 좋아요,"합리, 가격, 디자인"
사이즈 상당히 넉넉해요 사이즈 하나 내려서 구매하시는 걸 추천드려요,"추천 드리다, 넉넉하다, 상당하다, 내다, 사이즈, 하나"
너무 좋아요 여자가 입어도 잘 어울리는 옷이에요 가을 준비해 놓으려고요 그런데 왜 한쪽 주머니는 밑에 뜯어져 있죠,"어울리다, 주머니, 준비, 여자, 가을, 한쪽"
가볍게 입기 좋은 아우터입니다 사이즈는 크게 나왔어요,"아우터, 가볍다, 사이즈, 크게, 나오다"
인데도 불구하고 오버하게 잘 맞습니다 참고하면 좋을듯합니다,"오버, 참고, 불구, 맞다"
