Review,Processed_Review,keyword
"역시 가성비가 좋은 무탠다드입니다. 다시
한번 잘입겠습니다",역시 가성비가 좋은 무탠다드입니다 다시 한번 잘 입겠습니다,"한번, 가성비, 다시"
이번에 상견례가느라 깔끔한 바지를 찾고있었는데 이만한게 없는거같네요ㅎㅎ 잘산거같습니다~,이번에 상견례 가느라 깔끔한 바지를 찾고 있었는데 이만한 게 없는 거 같네요 잘 산 거 같습니다,"가다, 찾다, 깔끔하다, 바지, 상견례, 이만"
"이미 산줄도 까먹고 하나 더 샀는데
워낙 스테디하고 괜찮아서 그냥 입어야겠어요ㅋㅋ",이미 산줄도 까먹고 하나 더 샀는데 워낙 스테디하고 괜찮아서 그냥 입어야겠어요,"스테디, 그냥, 까먹다, 워낙, 이미, 하나"
약간 넉넉한 사이즈로 시켜서 입는 게 핏이 더 이쁜 것 같네요. 얇아서 통풍도 잘 되고 시원한 소재입니다. 출근룩이나 데이트룩 등 의 착장을 연출하기 좋아용,약간 넉넉한 사이즈로 시켜서 입는 게 핏이 더 이쁜 것 같네요 얇아서 통풍도 잘 되고 시원한 소재입니다 출근 룩이나 데이트룩 등의 착장을 연출하기 좋아요,"소재, 얇다, 룩, 착, 통풍, 사이즈, 넉넉하다"
가성비 좋게 샀습니다. 사이즈는 무탠다드 다른 제품들보다 작게 나와서 크게 샀어요,가성비 좋게 샀습니다 사이즈는 무탠다드 다른 제품들보다 작게 나와서 크게 샀어요,"사이즈, 제품, 작다, 가성비, 나오다"
무신사스탠다드 세일할 때 사서 가성비로 너무 좋네요,무신사 스탠더드 세일할 때 사서 가성비로 너무 좋네요,"가성비, 스탠더드, 물다, 세일, 사서"
"30살짝 넘는데 이건 31이 30같은
통 안넓음",살짝 넘는데 이건 이 같은 통 안 넓음,"넘다, 이건, 넓다"
얇은데도 내구성 좋아보입니다 꽤 탄탄해요 핏도 이쁩니다 개추,얇은데도 내구성 좋아 보입니다 꽤 탄탄해요 핏도 이쁩니다 개추,"탄탄하다, 얇다, 보이다, 핏, 개추, 내, 구성"
라이트웨이트보다 같은 치수인데 좀 더 타이트한 느낌이네요. 한 사이즈 업하셔도 될듯합니다,라이트 웨이트보다 같은 치수인데 좀 더 타이트한 느낌이네요 한 사이즈 업하셔도 될듯합니다,"업, 치수, 느끼다, 타이트, 사이즈, 라이트, 웨이트"
"여름바지 치고 엄청 얇거나 시원하지는 않습니다
약간 기능성 소재같은데 잘 마르긴 하네요
왼쪽 바지단이 절반정도 터져서 왔습니다
당장 입어야될 옷이라
 손바느질 했습니다",여름 바지 치고 엄청 얇거나 시원하지는 않습니다 약간 기능성 소재 같은데 잘 모르긴 하네요 왼쪽 바지단이 절반 정도 터져서 왔습니다 당장 입어야 될 옷이라 손바느질했습니다,"바지, 얇다, 단, 왼쪽, 소재, 터지다, 시원하다, 손바느질"
