Processed_Review,keyword
가격대가 좀 있지만 디자인과 핏이 아주 예쁨 색상 디자인 모두 사진과 동일함 세탁망에 넣고 세탁하니 변형 없었음,"디자인, 사진, 디자인, 색상, 동일하다, 가격 대가, 세탁 망, 변형"
소재가 이쁜 거 같아요 특유의 짙은 블랙 감이 깊이 있어서 좋고요 간절기에 가볍게 걸치고 다니면 합하니 좋을 것 같습니다,"간절기, 걸, 가볍다, 소재, 합, 특유, 블랙"
키 때문에 팔이 좀 짧긴 한데 그런대로 또 잘 맞아요,"팔이, 짧다, 맞다, 때문"
사이즈 잘 맞고 핏 이뻐요 길이도 적당하고 잘 입고 있습니다,"적당하다, 사이즈, 길이, 맞다"
제가 샀던 거 중에 가장 맘에 듭니다 살까 말까 고민했는데 사길 잘한 거 같습니다,"가장, 자다, 중, 살다, 말다"
예브다기엽고 휘뚤마뚤 막 입으려고 샀어요 잘 입을 게야,"휘뚤마뚤, 예브다기엽"
너무너무 만족합니다 다른 컬러도 구매하고 싶어요 계절 모두 착용 가능할 것 같아서 더욱 만족합니다 저렴하게 구매해서 득템한 거 같아 기분 좋아요 합하게 입을게요,"만족하다, 가능하다, 저렴하다, 착용, 컬러"
예뻐요 여름에도 가볍게 입을 수 있을 것 같아서 잘 산 것 같아요 너무 만족합니다,"만족하다, 가볍다, 여름"
사이즈 남자 기준 사이즈까지 가능 스트링으로 품 조절하면 크롭도 가능 두께 봄 가을용 아우터 정도 여름에 에어컨 때문에 추울 때 입기 딱 괜찮음 재질 땀복 재질 통풍 잘 안될 거 같음 비 올 때 입으면 옷 다 달라붙는 느낌 먼지 아시죠 장마 때 입으면 그럴 거 같아요 다른 마뗑킴 제품은 재질만 보면 진짜 싼 마이인데 이건 싼 마이 느낌 안 나네요 배송 일 걸린 듯 여기서 팍 식음 디자인 핏 사실상 핏 디자인이 굉장히 좋아요 래글런에 온 버핏이라 여자는 야리야리하게 입기 좋고 남자는 스트링 조여서 세미 크롭으로 다리 길어 보이게 입기 가능,"먼지, 조절, 재질, 스트링, 사실, 사이즈, 아시, 디자인"
,
,
윗부분의 길이를 조절할 수 있기 때문에 키가 작으면 생각할 필요가 없어요,"조절, 길이, 필요, 작다, 키, 부분, 없다, 때문"
짱 예뻐요 이거 하나만 걸쳐도 쓰타 일리 쉬해서 꿈 안 꾸 가능해서 너무 좋아요 키가 작아서 좀 많이 온 버핏이지만 그것 저차 멋,"가능하다, 걸치다, 차, 작다, 키, 일리, 하나"
남자가 입기에는 작이 나서 레이어드해서 입어야 돼요 근데 코디만 잘 하면 너무너무 이뻐요 비닐 같으면서도 싸구려 바스락거리는 비닐도 아닌 게 묘하게 매력 있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑킴 로고 감성과 핏이 트렌드를 잘 아는 거 같아요 지퍼가 잘 안되는데 잘 푸는 요령만 터득하면 잘 돼요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족,"바스락 거리, 비닐, 터득, 감성, 아니다, 레이어드, 아니다, 비닐"
오버핏 정석 합하게 코디 가능 간절기 때 유용하게 데일리 템으로 입고 다녀요 흰색 줄에 반한 너무 글로 시 하지 않고 딱 좋아요 제품 섬네일 샷이랑 동일함,"유용하다, 간절기, 동일하다, 정석, 섬네일, 흰색, 합, 데일리"
예쁘고 얇아서 봄 내내 잘 입을 수 있을 거 같아요 사이즈도 넉넉하고 좋네요 처음엔 좀 약품 냄새가 나서 환기 잘 되는 곳에 말려놨어요 그리고 엄청 바스락 걸려요,"넉넉하다, 사이즈, 냄새, 나서다, 처음, 걸리다, 내내"
봄 교복으로 구매했어요 핏 감도 좋고 이뻐요 정말,"교복, 감다"
사이즈는 좀 오버핏 느낌입니다 살짝 유광 느낌 이뻐요 가을에 잘 입고 다니겠습니다,"유광, 사이즈, 가을, 오버핏"
날씨가 점점 선선해져서 걸치기 좋습니다 예뻐요 추천해요,"추천, 걸치다, 선선해지다, 날씨, 점점"
배송이 살짝 느리긴 한데 너무너무 예쁨 가을에 잘 입을 듯,"배송, 가을, 느리다"
정말 직장에 있을 때 추우면 입고 다니고 좋음 살짝 물 튕기는 재질인데 그게 매력,"직장, 재질, 매력, 추다, 튕기"
불프 기획 전 때 구매해서 한 여름 동안 손에 꼽게 입었던 것 같아요 그래도 입었을 때 느낀 점 좀 설명드릴게요 재질 처음 구매 전에 봤을 때 비닐 같아서 뭔가 내구성이 약하려나 생각했었는데 실제로 만져보면 비닐보단 뭐랄까 반짝거리는 바람막이 옷감을 만지는 느낌이에요 의외로 튼튼하고 통풍도 잘 돼서 간절기에 이만한 포인트 템이 있을까 싶어요 사이즈 남자 기준으로도 프리 사이즈가 오버핏 느낌 충분히 나더라고요 스타일링 뒤에 로고 플레이도 좋고 반짝이는 겉면이 힙한 느낌 살리기 좋을 것 같아요 가을 오면 바로 트라이 해보려 합니다,"설명 드리다, 만지다, 구성, 스타 일링, 기준, 만지다, 통풍, 사이즈, 사이즈"
냄새가 좀 나긴 한데 이뻐서 용서됩니다 여자친구랑 커플로 입을 건데 좋아요,"여자친구, 커플, 냄새, 나다, 용서"
소재 자체가 약간 비닐 느낌이라 지금 입기에는 덥긴 하지만 핏이나 뒤에 가 너무 예뻐서 맘에 들게 입고 있어요,"덥다, 소재, 자체, 비닐"
사이즈 넉넉하니 좋네요 비닐 소제인듯한데 소리 안 나고 고급 져요 가을에 더 신나게 입을려구요 잘 입을게요,"구, 신나다, 넉넉하다, 사이즈, 가을, 지다, 고급, 나다, 비닐"
배송도 빠르고 상품도 이쁘고 괜찮습니다 추천합니다,"추천, 상품, 배송, 빠르다"
옷 너무 이뻐요 자주 입을 거 같아요 친구들에게 추천합니다,"추천, 친구"
