Review,Processed_Review,keyword
일반 사계절 면티가 더워서 구매~~ 더 저렴한 상품도 많앗으나 브랜드 보고 선택 했습니다 아들이 하루 이너테로 입고 갓다 오더니 훨 시원하다 하네요 만족합니다,일반 사계절 면 티가 더워서 구매 더 저렴한 상품도 많았으나 브랜드 보고 선택했습니다 아들이 하루 이너 테로 입고 갔다 오더니 훨씬 시원하다 하네요 만족합니다,"테로, 하루, 사계절, 선택, 일반, 보고, 많다, 브랜드, 상품, 덥다"
선물햇는데 좋아하네요 선물하기 좋은듯 합니다,선물했는데 좋아하네요 선물하기 좋은듯합니다,"선물, 좋아하다"
색상 두께감 모두 만족합니다 편하게 자주 입기 좋아요,색상 두께감 모두 만족합니다 편하게 자주 입기 좋아요,"두께감, 색상, 만족하다, 편하다"
잠옷으류 입고다니기 편해요 헬스장갈때도 대충입음,잠옷으류 입고 다니기 편해요 헬스장 갈 때도 대충 입음,"헬스장, 잠옷, 대충, 갈다, 편하다"
입기 편해서 재구매 했어요 좋은가격으로 잘 구입했어요,입기 편해서 재구매 했어요 좋은 가격으로 잘 구입했어요,"재다, 가격, 편하다"
적당한 두께에 가격대비 퀄리티도 좋아 만족합니다.,적당한 두께에 가격 대비 퀄리티도 좋아 만족합니다,"퀄리티, 대비, 두께, 만족하다, 적당하다, 가격"
몇번 입으면 늘어나는 그런 재질이 아니라서 여름엔 단벌로 입고 추울땐 이너로 사계절 끄적할수 있는 아주 고밸류의 옷이라고 할수있겠네요,몇 번 입으면 늘어나는 그런 재질이 아니라서 여름엔 단벌로 입고 추울 땐 이너로 사계절 끄적 할 수 있는 아주 고 밸류의 옷이라고 할 수 있겠네요,"밸류, 끄적, 추다, 단벌, 사계절, 이라고, 그렇다, 이너, 아니다, 늘어나다"
매년 구매하는 제품입니다 재질좋고 목 안늘어나고 이너로 단독으로 다 좋아요,매년 구매하는 제품입니다 재질 좋고 목 안 늘어나고 이너로 단독으로 다 좋아요,"매년, 단독, 제품, 이너, 늘어나다, 재질"
전 흰티로 2개 구입했는데 레이어드 할때정말 예뻐서 검정색도 구입 할려고요 정말 예뻐요,전 흰 티로 개 구입했는데 레이어드할 때 정말 예뻐서 검은색도 구입하려고요 정말 예뻐요,"레이어드, 희다, 검은색"
커버낫 기능성원단인줄 알고 구매 했는데 면티였습니다 반품하기 귀찮아 그냥 입기로 했어요 까슬까슬한 느낌의 원단으로 깔끔하게 입기엔 괜찮을 것같아요 너무 두꺼운 면티는 아닙니다 여름에 간편하게 하나 입고나면 될것 같고 가을 겨울엔 속지로,커버나 기능성 원단인 줄 알고 구매했는데 면 티였습니다 반품하기 귀찮아 그냥 입기로 했어요 까슬까슬한 느낌의 원단으로 깔끔하게 입기엔 괜찮을 것 같아요 너무 두꺼운 면 티는 아닙니다 여름에 간편하게 하나 입고 나면 될 것 같고 가을 겨울엔 속지로,"원단, 속지, 귀찮다, 까슬까슬, 반품, 겨울, 간편하다, 기능, 가을, 나다"
"휘뚜루 마뚜루 입기 정말 좋습니다, 기장감도 넉넉하고 제질도 좋습니다",휘뚜루마뚜루 입기 정말 좋습니다 기장감도 넉넉하고 재질도 좋습니다,"기장감, 휘뚜루마뚜루, 넉넉하다, 재질"
가격도 합리적이고 제품도 질이 좋은거 같습니다,가격도 합리적이고 제품도 질이 좋은 거 같습니다,"이고, 합리, 제품, 가격"
"사이즈가 많아서 어떤 사이즈 구입해야 할 지 걱정했는데, 남자 178 기준, L 괜찮아요. 근데 좀 길게 내려오는 걸 원하시면 XL 까지도 괜찮을 것 같습니다. 디자인도 깔끔하고, 재질도 여름에 입기 딱 좋을 것 같아요. 2 팩에 2만원 중반대로 구입했고, 배송도 빠르고, 포장도 꼼꼼해서 만족합니다.",사이즈가 많아서 어떤 사이즈 구입해야 할지 걱정했는데 남자 기준 L 괜찮아요 근데 좀 길게 내려오는 걸 원하시면 XL까지도 괜찮을 것 같습니다 디자인도 깔끔하고 재질도 여름에 입기 딱 좋을 것 같아요 팩에 만원 중반대로 구입했고 배송도 빠르고 포장도 꼼꼼해서 만족합니다,"중반, 만원, 내려오다, 남자, 어떻다, 기준, 걱정, 길다, xl, 많다"
"사이즈가 많아서 어떤 사이즈 구입해야 할 지 걱정했는데, 남자 178 기준, L 괜찮아요. 근데 좀 길게 내려오는 걸 원하시면 XL 까지도 괜찮을 것 같습니다.  2 팩에 2만원 중반대로 구입했고, 배송도 빠르고, 포장도 꼼꼼해서 만족합니다.",사이즈가 많아서 어떤 사이즈 구입해야 할지 걱정했는데 남자 기준 L 괜찮아요 근데 좀 길게 내려오는 걸 원하시면 XL까지도 괜찮을 것 같습니다 팩에 만원 중반대로 구입했고 배송도 빠르고 포장도 꼼꼼해서 만족합니다,"중반, 만원, 내려오다, 남자, 어떻다, 걱정, 기준, 길다, xl, 많다"
여름에 가볍게 입기 좋은거 같아요~또 구매할꺼에요~,여름에 가볍게 입기 좋은 거 같아요 또 구매할 거예요,"가볍다, 여름"
운동할때나 가볍게 입기 너무나도 좋은 옷입니다,운동할 때나 가볍게 입기 너무나도 좋은 옷입니다,"너무나도, 운동, 가볍다"
라지사이즈는 긴바지 입을때 입고 엑스라지는 운동갈때나 반바지 입을때 입으니 잘 어울립니다 ,라지 사이즈는 긴 바지 입을 때 입고 엑스라지는 운동 갈 때나 반바지 입을 때 입으니 잘 어울립니다,"라지, 엑스, 바지, 반바지, 갈다, 어울리다, 운동, 사이즈"
라지사이즈는 긴바지 입을때 입고 엑스라지는 운동갈때나 반바지 입을때 입으니 잘 어울립니다!,라지 사이즈는 긴 바지 입을 때 입고 엑스라지는 운동 갈 때나 반바지 입을 때 입으니 잘 어울립니다,"라지, 엑스, 바지, 반바지, 갈다, 어울리다, 운동, 사이즈"
배송 빠르고 가격 저렴해서 너무 좋아요 추천해요,배송 빠르고 가격 저렴해서 너무 좋아요 추천해요,"추천, 저렴하다, 빠르다, 배송, 가격"
매 여름마다 꾸준히 사는 것 같아요. 옷감이 좋아서 잘 늘어나지도 않고 시원해요.,매 여름마다 꾸준히 사는 것 같아요 옷감이 좋아서 잘 늘어나지도 않고 시원해요,"꾸준하다, 마다, 옷감, 살다, 늘어나다, 시원하다, 여름"
사이즈가 조금 큽니다. 이너로 입거나 집에서 입으면 시원하고 좋네요,사이즈가 조금 큽니다 이너로 입거나 집에서 입으면 시원하고 좋네요,"이너, 크다, 시원하다, 사이즈"
생각보다 오버핏이에요 그래도 출근룩으로 잘 입어요,생각보다 온 버핏이에요 그래도 출근 룩으로 잘 입어요,"출근, 버핏, 이에요"
깔끔하고 재질도 괜찮은거 같아요! 편하게 입기 너무 좋고 1년 뒤 블프때 재구매해야겠네요!,깔끔하고 재질도 괜찮은 거 같아요 편하게 입기 너무 좋고 년 뒤 불프 때 재구매해야겠네요,"불프, 재다, 깔끔하다, 재질, 편하다"
재질 너무좋아요 깔끔해요 세탁해도 변형 없어요 아무옷에이뿌네요 포장도좋고 총알배송~,재질 너무 좋아요 깔끔해요 세탁해도 변형 없어요 아무 옷에 이쁘네요 포장도 좋고 총알 배송,"총알, 포장, 변형, 세탁, 깔끔하다, 없다, 배송, 재질"
포장도 꼼꼼하게 되어있어서 깨끗하게 받을 수 있었어요! 색도 화면이랑 똑같아요!,포장도 꼼꼼하게 되어있어서 깨끗하게 받을 수 있었어요 색도 화면이랑 똑같아요,"깨끗하다, 화면, 색도, 똑같다, 되어다, 꼼꼼하다, 받다, 포장"
