Processed_Review,keyword
정말 타이트한 핏의 원피스에요 팔 부각 적 나래서 아직 밖에 못 입구 나감 듬직해 보여요 살을 빼야죠,"원피스, 타이트, 듬직하다, 보이다, 입구, 살, 나래, 부각"
친구 선물해 줬는데 잘 어울렸어요 친구도 맘에 들어 했습니다,"선물, 친구, 친구, 주다, 어울리다"
핏이 정말 예쁩니다 마음에 들어서 검은색도 샀는데 저한텐 M사이즈가 더 예뻤어요,"사이즈, 검은색, 들어서다, 핏"
핏이 진짜 예쁘고 재질이 두 겹이라 비침도 없고 탄탄해서 좋아요 엄청 덥거나 그런 재질도 아니고 가격이 비싼 게 유일한 단점인데 세일할 때 구매해 허 만족합나다,"만족하다, 유일하다, 단점, 탄탄하다, 재질, 덥다, 세일, 아니다, 재질"
짧다는 후기 보고 산 건데도 단독으로 입기에는 짧네요 다른 색상하고 싶었는데 품절이어서 흰색 샀는데 흰색도 품절됐더라고요 흰색이라도 얻어서 다행입니다,"흰색, 흰색, 다행, 흰색, 단독, 색상, 품절, 건데"
여름휴가 가서 잘 입었어요 비침 없는데 시원하고 신축성이 좋아서 활동하기도 편하네요,"신축, 활동, 여름 휴가, 시원하다, 편하다, 가다, 비침, 없다"
여행 일전에 급하게 주문했는데 출발 시간 전에 택배 받고 여행에 잘 챙겨갔어요 빠른 배송 부탁드린다고 문의드렸었는데 친절히 답변해 주시고 빠른 배송해 주셔서 감사합니다 키 작고 마른 체형인 분들 너무 예쁘게 입을 수 있는 원피스에요 흰색인데도 탄탄한 소재 때문에 비침 없었습니다 그래도 혹시 모르니 어두운색 속옷은 피해주세요 그리고 노출이 많은 디자인임에도 소재와 핏 감 때문에 부담스럽지 않게 예쁘게 입을 수 있는 원피스에요 이제 올에는 카디건이랑 같이 코디해 줘도 예쁠 원피스입니다 여행 갈 때 꼭 챙겨가세요 기장이 짧아서 다리도 길어 보이게 잘 나오고 흰색이라 얼굴도 화사하게 잘 나와요 인생 샷 무조건 건집니댜 여행에 가장 잘 챙겨갔단 생각이 드는 옷이에요,"흰색, 두운 색, 흰색, 소재, 부담, 무조건, 친절하다, 부탁드리다, 챙기다"
진짜 이 원피스 첫 품절 뜨고 뜬눈으로 지내다가 알림 뜨길래 바로 질러버린 원피스 너무 짧은 원피스 안 좋아해서 엠으로 구매했습니다 기준 엠은 허벅지 중간쯤이네요 딱 좋은 기장감 스판 짱짱이라 밥 먹고도 숨쉬기 가능,"원피스, 지르다 버리다, 허벅지, 기장감, 기준, 먹고다, 스판, 품절, 가능, 지내다"
돈 없어서 살까 말까 고민했는데 사길 잘했어요 글로리 최고,"글로리, 최고, 없다, 살다, 말다, 고민"
소재도 부드럽고 시원해서 좋아요 비침 없는 탄탄한 면인데도 시원한 게 신기하네요 조금 짧은 느낌은 있지만 키인 제가 단독으로 입기에 무리 없는 길이였습니다,"시원하다, 신기하다, 시원하다, 부드럽다, 무리, 소재, 단독, 키"
제가 살쪄서 좀 딱 맞긴 하긴 하지만 핏 진짜 맘에 들어서 블랙도 구매하려고요,"들어서다, 블랙, 살찌다, 맞다"
짧다는 후기 보고 산 건데도 단독으로 입기에는 짧네요 다른 색상하고 싶었는데 품절이어서 흰색 샀는데 흰색도 품절됐더라고요 흰색이라도 얻어서 다행입니다 예뻐서 마음에 들어요,"흰색, 흰색, 다행, 흰색, 단독, 색상, 품절"
진짜 딱 붙어요 그래서 만족입니다 허리라인 잡아줘서 좋고 밑단 이쁘게 퍼져요 길이는 많이 짧습니다 도톰해서 비침 거의 없어요 요즘 글로리 질 다운되고 있는데 이 원피스는 추천합니다,"만족, 원피스, 추천, 잡다, 길이, 허리 라인, 퍼지다, 글로리, 도톰하다"
글로 너답게 재질도 튼튼하고 쫀득해요 신축성도 좋고 길이감은 조금 짧지 먼 레이어드해서 입으면 너무 이뻐요,"신축 성도, 레이어드, 튼튼하다, 재질, 답, 길이감"
길이가 생각보다 조금 더 짧고 사이즈는 정말 딱 맞는 거 같아요,"길이, 사이즈, 짧다, 맞다"
소재가 엄청 탄탄해서 몸에 딱 달라붙어요 길이는 생각보다 짧지만 안에 속바지 잘 입고 입으면 될 것 같아요,"탄탄하다, 속바지, 소재, 길이, 몸"
길이가 좀 짧긴 해요 조금 아슬아슬 한데 안에 속바지 잘 입고 입으면 너무 이쁠 것 같아요 비침은 원단 자체가 탄탄하게 나와서 화이트인 거 치고 그렇게 안 비쳐요,"비치다, 비침, 화이트, 자체, 탄탄하다, 나오다, 길이, 아슬아슬"
처음에는 허리와 배 부분이 약간 떠서 핏이 애매하다 생각했는데 오히려 편하게 입을 수 있는 것 같고 무엇보다 상체 부분은 잡아주고 a 라인으로 떨어지는 핏이 너무 예쁘고 마음에 들어요,"라인, 허리, 잡다, 처음, 상체, 편하다"
허리가 인치 정도여서 그런지 허리와 배 부분이 좀 떠서 주름이 지는 게 아쉽긴 하지만 다른 부분은 다 잘 맞아요 길이도 제 키에 적당해요 핏도 a 라인으로 예쁘게 잡히고 재질도 주름이 쉽게 잡히거나 비치지 않는 소재라 마음에 들어요 깔끔하고 고급스러운 느낌의 옷이에요,"적당하다, 허리, 고급스럽다, 비치, 인치, 그렇다, 라인, 잡히다"
약간 웨딩촬영할 때 입으면 이쁠 것 같다는 생각이 들었어요 쫀쫀한 느낌에 질이 좋고 엄청 슬림 해 보여서 체형 보완을 원하시면 만족할 만한 옷이에요,"원하다, 만족하다, 보, 체형, 질, 보완"
핏이 진짜 도라 버렸습니다 허리를 탁 잡아주는 그 느낌 다만 제가 키가 작아서 그런지 길이가 살짝 긴 느낌이었고 허리가 긴 체형인데 좀 더 길어 보이게 만들더라고 오 그렇지만 너무 예뻐버려요 최고야,"만들다, 그렇다, 허리, 허리, 길다, 길이, 도르다, 작다, 키"
색상은 이쁜 흰색이고 역시나 재질은 탄탄해요 후기대로 좀 짧아요 안에 속바지를 바이커 팬츠를 입어야 하나 고민 중 대신 몸매랑 핏이 진짜 이쁘게 잡아줘요 이거 입고 밥은 못 먹는 걸로,"흰색, 색상, 속바지, 탄탄하다, 바이 크다, 몸매, 재질, 먹다"
거진 달 걸려서 받은 원피스 나의 인내심 테스트였어요 구랴도 진짜 너무 생각한 그대로의 옷이라 만족도 진짜 너무 편하고 입고 벗을 때도 편해요 하지만 엄청 핏되서 배에 힘주고 다녀야 합니다 하지만 그 맛에 입는고 아니겠어요 완전 맘에 들어요 잘 입겠습니다,"만족도, 인내심, 그대로"
예뻐요 뭐 살짝만 묻어도 티 나긴 합니다 조심해서 입어야 해용,"조심하다, 나다, 묻다"
예뻐요 짧아도 쪼금 쪼여도 다 감수하고 입을만합니다,"감수, 짧다, 쪼이다, 쪼금"
맘에 들어요 생각보다도 훨씬 옷이 폼이 더 작더라도요 쪼여요 그리고 키 기준으로도 엄청 엄청 짧습니다,"기준, 폼, 쪼이다"
원피스로 입기엔 짧은데 원래 레이어드 욕으로 산 거라 만족해요,"원피스, 만족하다, 레이어드, 욕, 원래, 짧다"
너무 예뻐요 재질도 맘에 드는데 조금 도톰해서 여름엔 못 입겠어요,"도톰하다, 재질, 여름"
휘뚜루마뚜루 입기 너무 좋아요 다른 색상도 구매하고 싶어요,"색상, 싶다"
쫀쫀하니 핏되어서 너무 이쁩니다 믿고 사는 글로리,"글로리, 살다, 핏 되어다, 쫀쫀하, 믿다"
