Review,Processed_Review,keyword
할인할때 싸게 사서 좋습니다. 넌블랭크 셋업 두개째인데 역시 좋아요.,할인할 때 싸게 사서 좋습니다 넌 블랭크 셋업 두 개째인데 역시 좋아요,"싸다, 개, 째, 셋업, 할인, 블랭크, 사서"
배송도 빠르고 포장도 꼼꼼합니다. 잘 구매했어요.,배송도 빠르고 포장도 꼼꼼합니다 잘 구매했어요,"꼼꼼하다, 배송, 빠르다, 포장"
허벅지는 딱 맞아서 살 더 찌면 위험할거같고 사이즈나 핏 가격대생각하면 훌륭합니다,허벅지는 딱 맞아서 살 더 찌면 위험할 거 같고 사이즈나 핏 가격대 생각하면 훌륭합니다,"사이즈, 찌, 맞다, 훌륭하다, 허벅지, 위험하다, 가격, 대"
제품 받았을 때 매우 만족스러웠어요. 근데 생각보다 두께가 얇아서 구매하실 때 고려하는게 좋아요.,제품 받았을 때 매우 만족스러웠어요 근데 생각보다 두께가 얇아서 구매하실 때 고려하는 게 좋아요,"만족스럽다, 얇다, 받다, 고려, 두께, 제품"
처음도전해보는 그레이 색싱이지만 일찍도전해볼껄 그랬습니다ㅎㅎ운동하는 사람기준 바지는 힙이랑 허벅지쪽이 좀 타이트하네요!,처음 도전해 보는 그레이 색상이지만 일찍 도전해 볼걸 그랬습니다 운동하는 사람 기준 바지는 히프랑 허벅지 쪽이 좀 타이트하네요,"운동, 그레이, 색상, 허벅지, 타이트, 바지, 도전, 처음, 일찍, 볼걸"
겨울에는 얇다고 생각될 수 있습니다 그래도 색이랑 핏 다 맘에 드네요,겨울에는 얇다고 생각될 수 있습니다 그래도 색이랑 핏 다 맘에 드네요,"색, 얇다, 겨울, 에는"
생각했던 것 보다 너무 괜찮네요 ㅎㅎ만족스럽습니당,생각했던 것보다 너무 괜찮네요 만족스럽습니다,만족스럽다
결혼식갈때 입으려고샀어요 바지는 좀 더 와이드핏으로 입으면 예쁠것같아요,결혼식 갈 때 입으려고 샀어요 바지는 좀 더 와이드 핏으로 입으면 예쁠 것 같아요,"핏, 바지, 와이드, 결혼식"
"가격 , 옷 질감 모든게 완벽한 옷 입니다 지금 사기 너무 좋네요..",가격 옷 질감 모든 게 완벽한 옷입니다 지금 사기 너무 좋네요,"모든, 질감, 완벽하다, 사기, 가격"
"바지가 살짝 얇은 느낌이 들지만, 색감이 생각보다 괜찮습니다.",바지가 살짝 얇은 느낌이 들지만 색감이 생각보다 괜찮습니다,"색감, 얇다, 바지"
바지가 살짝 타이트한데 핏감이나 이런건 최고입니다,바지가 살짝 타이트한데 핏 감이나 이런 건 최고입니다,"타이트, 이렇다, 최고, 바지"
면접이 있어 급하게 구매했지만 정말 만족하고 예쁘게 입고 면접 잘 마무리 했습니다. 저렴한 가격대비 정말 만족스러워요. ,면접이 있어 급하게 구매했지만 정말 만족하고 예쁘게 입고 면접 잘 마무리했습니다 저렴한 가격 대비 정말 만족스러워요,"만족하다, 만족스럽다, 면접, 급하다, 저렴하다, 마무리"
믿고 구매 하는 브랜드 퀄리티도 좋고 배송도 빠르고 포장도 꼼꼼했어요 !,믿고 구매하는 브랜드 퀄리티도 좋고 배송도 빠르고 포장도 꼼꼼했어요,"꼼꼼하다, 믿다, 배송, 브랜드, 포장, 빠르다, 퀄리티"
아오아오아오나오아오나오나노너노나오어노,아오 아오 나오나 모아오나 오나도 너 노나 오어 노,"오어, 모으다, 나오다, 오다, 아오, 노"
가격이 믿기지 않는 좋은 셋업입니다. 색도 너무 이쁘네요,가격이 믿기지 않는 좋은 셋업입니다 색도 너무 이쁘네요,"셋업, 믿다, 색도, 가격"
가격이 믿기지 않는 퀄리티와 디자인입니다 너무 깔끔해요,가격이 믿기지 않는 퀄리티와 디자인입니다 너무 깔끔해요,"퀄리티, 가격, 디자인, 깔끔하다, 믿다"
사이즈 딱 맞고 자주 입게되는 옷이에요 추천합니다!,사이즈 딱 맞고 자주 입게 되는 옷이에요 추천합니다,"맞다, 추천, 사이즈"
