Review,Processed_Review,keyword
빠른배송 감사합니다 예쁜 무지티라 자주자주 입을거같습니다 굿굿 많이파세요,빠른 배송 감사합니다 예쁜 무지 티라 자주자주 입을 거 같습니다 굿굿 많이 파세요,"자주자주, 파다, 굿굿, 무지, 빠르다, 배송"
괜찮은것같습니다. 적당한 사이즈로 잘맞습니다. 길이도 적당합니다.,괜찮은 것 같습니다 적당한 사이즈로 잘 맞습니다 길이도 적당합니다,"적당하다, 길이, 맞다, 사이즈"
예쁘고 가격 좋고 사이즈 잘 맞고 전부 다 좋습니다,예쁘고 가격 좋고 사이즈 잘 맞고 전부 다 좋습니다,"가격, 맞다, 사이즈"
재질 색감 다 맘에 듭니다  오버핏으로 편하게 입을듯합니다,재질 색감 다 맘에 듭니다 온 버핏으로 편하게 입을듯합니다,"버핏, 편하다, 재질, 색감"
생각보다 무겁긴 했지만 색이나 느낌이 딱 원하던 그대로에요 특별한 무늬 없어도 과하지 않게 포인트가 되주는 그런 티 같습니다. 다른 색도 사볼까 싶습니다.,생각보다 무겁긴 했지만 색이나 느낌이 딱 원하던 그대로에요 특별한 무늬 없어도 과하지 않게 포인트가 돼주는 그런 티 같습니다 다른 색도 사볼까 싶습니다,"무늬, 특별하다, 무겁다, 돼다, 그렇다, 사보다, 그대로, 포인트, 이나, 색도"
정말 좋아요 디자인도 제가 생각하던대로였고 맘에들어요! 배송도 정말 빨랐습니다,정말 좋아요 디자인도 제가 생각하던 대로였고 맘에 들어요 배송도 정말 빨랐습니다,"대로, 빠르다, 디자인, 배송"
음 소버먼트 피그먼트 색감도 아주 좋고 착용감도 아주 조와요 !!,음 소버 먼트 피그먼트 색감도 아주 좋고 착용감도 아주 조와요,"감다, 착용, 먼트, 소버, 피그먼트, 색감"
정말 맘에 듭니다 색감이랑 핏이랑 정말 마음에 들어요 다른 상품도 살 예정입니다,정말 맘에 듭니다 색감이랑 핏이랑 정말 마음에 들어요 다른 상품도 살 예정입니다,"예정, 상품, 색감"
사이즈도 좋고 생각했던 것보다 이뻐서 평소에 입기 좋을 거 같아요,사이즈도 좋고 생각했던 것보다 이뻐서 평소에 입기 좋을 거 같아요,"평소, 사이즈"
색감도 너무좋고 깔끔하게 입기 좋아여 체형보완도 잘돼서 더 만족스럽습니다,색감도 너무 좋고 깔끔하게 입기 좋아요 체형 보완도 잘 돼서 더 만족스럽습니다,"보완, 깔끔하다, 돼다, 체형, 만족스럽다, 색감"
