Review,Processed_Review,keyword
고딩아들이 요즘에 아침.저녁으로 쌀쌀한데 봄자켓이 마땅히 없어서 자크가2개인 그레이색 후드집업을 사달라고 해서 주문했어요~~가격도 착하고 집업도 너무 슬림하지않아 맘에 들었어요~~ 배송은 주문후 이틀후에 왔고 자크가 2개여서 스타일 자기 취향대로 입으시면 좋을것 같아요~~저희아들은 자크를 가운데를 잠구고 아래쪽을 열어노니 멋지더라구요~~청바지나 면바지나 슬랙스 바지등에 잘어울릴것 같아요.재질도 좋고 L사이즈인데 집업이 팔이 길어서 좋아요~~아들이 입어보더니 맘에 든다고 학교갈때 후드집업만 입고가네요~~잘입힐께욛~~,고등학생 아들이 요즘에 아침저녁으로 쌀쌀한데 봄 재킷이 마땅히 없어서 자크가 개인 그레이 색 후드집업을 사달라고 해서 주문했어요 가격도 착하고 집업도 너무 슬림 하지 않아 맘에 들었어요 배송은 주문 후 이틀 후에 왔고 자크가 개여서 스타일 자기 취향대로 입으시면 좋을 것 같아요 저희 아들은 자크를 가운데를 잠그고 아래쪽을 열어노니 멋지더라고 요 청바지나 면바지나 슬랙스 바지 등에 잘 어울릴 것 같아요 재질도 좋고 L 사이즈인데 집업이 팔이 길어서 좋아요 아들이 입어보더니 맘에 든다고 학교 갈 때 후드집업만 입고가네요잘입힐께욛,"아들, 자크, 바지, 주문, 집업, 아래쪽, 고등학생, 취향, 청바지, 슬림"
어느곳에나 코디해도 너무 잘어울리고 지금 날씨에 입기 딱 좋아요!,어느 곳에나 코디해도 너무 잘 어울리고 지금 날씨에 입기 딱 좋아요,"에나, 해도, 코디, 날씨, 어울리다"
기본 후드집업 필요 했었는데 저렴해서 가성비 좋아요,기본 후드집업 필요했었는데 저렴해서 가성비 좋아요,"저렴하다, 필요하다, 가성비, 기본, 집업, 후드"
좋아용 근뎅.. 예전에 삿다가 하나 사이즈 내려서 아시산건데 소재가 좀 얇아진거같아용 그대신 가벼워짐용 그래도 뭐 휘뚜루 마뚜루 입깅 아주 조음,좋아요 근데 예전에 샀다가 하나 사이즈 내려서 아시신 건데 소재가 좀 얇아진 거 같아요 그 대신 가벼워짐용 그래도 뭐 휘뚜루마뚜루 입기 아주 조음,"가벼워지다, 예전, 내다, 대신, 조음, 건데, 소재, 휘뚜루마뚜루, 알다, 하나"
겨울에도 입을수있을것 처럼 조금 묵직하고 생각보단 두꺼워요! ,겨울에도 입을 수 있을 것처럼 조금 묵직하고 생각보단 두꺼워요,"묵직하다, 보단, 겨울, 처럼, 두껍다"
사이즈 미스 날까 걱정을 많이 했는데 크지도 않고 작지도 않고 딱 알맞게 잘 왔어요. 디자인이나 입었을때 느낌도 진짜 마음에 들고 꾸안꾸로 입거나 산책나갈때 입기 짱 좋아요 셋업은 아니지만 회색 와이드팬츠랑 입었을때 잘 어울리는거 같아요 매우 만족합니다!,사이즈 미스 날까 걱정을 많이 했는데 크지도 않고 작지도 않고 딱 알맞게 잘 왔어요 디자인이나 입었을 때 느낌도 진짜 마음에 들고 꾸안꾸로 입거나 산책 나갈 때 입기 정말 좋아요 셋업은 아니지만 회색 와이드 팬츠랑 입었을 때 잘 어울리는 거 같아요 매우 만족합니다,"날다, 미스, 알맞다, 산책, 와이드, 꾸안꾸, 팬츠, 디자인, 셋업, 걱정"
박시해서 이뻐요! 가슴쪽이 조금 큰편이긴한데 체구 작으신분들 입으시면 여리여리핏 ㅆㄱㄴ,박시해서 이뻐요 가슴 쪽이 조금 큰 편이긴 한데 체구 작으신 분들 입으시면 야리야리 핏,"체구, 야리야리, 펴다, 가슴, 박시, 분들, 작다, 크다"
깔끔하고 편하게 입기 딱 좋아요 살짝 무거운 느낌도 좀 있네요  지금 같은 날씨에 적절해요:),깔끔하고 편하게 입기 딱 좋아요 살짝 무거운 느낌도 좀 있네요 지금 같은 날씨에 적절해요,"적절하다, 깔끔하다, 날씨, 무겁다, 편하다"
스타일 예뻐요 다음에도 또 구매하고 싶네요 가족도 예쁘대요,스타일 예뻐요 다음에도 또 구매하고 싶네요 가족도 예쁘대요,"가족, 대요, 스타일, 하고"
세일해서 바로 사서 기분좋구 유명한덴 이유가 있네요 굿,세일해서 바로 사서 기분 좋고 유명한 덴 이유가 있네요 굿,"유명하다, 기분, 세일, 사서, 이유"
사이즈 딱맞구 입기 정말편하고 이뻐요!  이너로 입는게 좋지만 아우터로도 괜찮은거같아요,사이즈 딱 맞고 입기 정말 편하고 이뻐요 이너로 입는 게 좋지만 아우터로도 괜찮은 거 같아요,"아우터, 이너, 맞다, 편하다, 사이즈"
완전 왜 1등인지 알것같아요 세미오버하게 딱 떨어지면서 기장도 크롭해서 레이어드 하기 완전 좋아요,완전 왜 등인지 알 것 같아요 세미 오버하게 딱 떨어지면서 기장도 크롭 해서 레이어드하기 정말 좋아요,"인지, 세미, 크롭, 떨어지다, 오버, 레이어드, 기장"
팔에 비해 기장이 많이 길지 않아서 너무 좋았어요 무난하고 기본템으로 깔끔합니다,팔에 비해 기장이 많이 길지 않아서 너무 좋았어요 무난하고 기본 템으로 깔끔합니다,"깔끔하다, 비다, 하고, 기본, 길다, 무난, 기장"
라이더 자켓이랑 같이 입으니까 완전 이뻐요 강추합니당,라이더 재킷이랑 같이 입으니까 정말 이뻐요 강추합니다,"라이더, 재킷, 강추"
너무 좋네요 맨날 오빠 후드집업만 빼서 입었는데 내 옷도 생겼슴니다 ㅎㅎ감사합니다 맨날 입고댕길게요  많이 팔아서 돈많은 백수 되세요 !!,너무 좋네요 맨날 오빠 후드집업만 빼서 입었는데 내 옷도 생겼습니다 감사합니다 맨날 입고 댕길게요 많이 팔아서 돈 많은 백수 되세요,"맨날, 오빠, 백수, 파다, 생기다, 빼다, 많다, 집업, 후드"
통통족분들 핏참고하세요 ㅎㅎ 인터넷 옷 처음성공해봐요!! 진짜 실물이 훨씬더이뻐요 ㅜㅜ가격대비 가성비도 너무 좋고 회색 후집있으셔도 하나더 쟁이셔도될거같아요!!,통통 족분들 피트 참고하세요 인터넷 옷 처음 성공해 봐요 진짜 실물이 훨씬 더 이뻐요 가격 대비 가성비도 너무 좋고 회색 후 집 있으셔도 하나 더 쟁이셔도 될 거 같아요,"쟁이셔, 통통, 인터넷, 실물, 성공하다, 피트, 대비, 참고, 분들, 회색"
딱 오버핏입니다. 여성분들 S 사시는게 이득이에요 오버핏 생각하시고 M 사시면 너무 커서 당황합니다. S 자체도 작은 사이즈가 아니라서 겉옷도 좀 큰게 좋아요. 힙하고 좋습니다. 코트나 패딩에 받쳐입기 좋고 모자가 커서 모자 쓰고 써도 여유있게 예뻐서 딱 입니다. 암튼 제 겨울 교복이에요.,딱 오버핏입니다 여성분들 S 사시는 게 이득이에요 오버핏 생각하시고 M 사시면 너무 커서 당황합니다 S 자체도 작은 사이즈가 아니라서 겉옷도 좀 큰 게 좋아요 히프하고 좋습니다 코트나 패딩에 받쳐 입기 좋고 모자가 커서 모자 쓰고 써도 여유 있게 예뻐서 딱입니다 암튼 제 겨울 교복이에요,"사시, 커서, 오버핏, 모자, 이에요, 이득, 히프, 당황, 여유, 받치다"
기장이 숏해서 이너로 입기 참 좋아요!! 왕 무난 후드집업!,기장이 숏 해서 이너로 입기 참 좋아요 왕 무난 후드집업,"차다, 무난, 이너, 기장, 집업, 후드"
그냥 완전 예쁘고 너무 원했던 그 핏과 똑같아서 정말 만족했어요. 저는 싱글라이더 안에 인어로 입었는데 코트나 야상 안에 입어도 종말 예쁠거 같아요.,그냥 정말 예쁘고 너무 원했던 그 핏과 똑같아서 정말 만족했어요 저는 싱글라이더 안에 인어로 입었는데 코트나 야상 안에 입어도 종말 예쁠 거 같아요,"인어, 싱글, 종말, 똑같다, 라이더, 코트, 원하다, 만족하다, 그냥"
할인할때 좋은가격에 구매했습니다!! 2만원대 물건인데 정말 괜찮네요! 평소 105입는체형 적당히 크롭하고 세미오버하게 맞습니다,할인할 때 좋은 가격에 구매했습니다 만 원대 물건인데 정말 괜찮네요 평소 입는 체형 적당히 크롭하고 세미 오버하게 맞습니다,"물건, 원대, 할인, 세미, 평소, 크롭, 체형, 인데, 오버, 하고"
이너로 입기 너무 좋아요 기장도 짧아서 오히려 기여워요,이너로 입기 너무 좋아요 기장도 짧아서 오히려 귀여워요,"귀엽다, 이너, 짧다, 기장"
키작은저에게 길이감이나 품 크기다좋네요!! 지퍼가 좀부드럽지가않네요 ㅎㅎ,키 작은 저에게 길이감이나 품 크기다 좋네요 지퍼가 좀 부드럽지가 않네요,"길이감, 크기, 부드럽다, 이나, 작다, 지퍼"
168 기준 엉덩이 절반정도 가리고 팔부분은 손 끝까지 다 가려져요 안에 티가 조금 드러나면 좋겠어서 딱 맞게 잘 산 것 같구 엉덩이까지 다 덮고싶다 하면 XL 사야할거에요 but 팔부분이 많이 길기때문에 L 추천합니동 요즘 날씨에 입기 딱 좋고 핏이 너무너무 예뻐요 찾았ㄷㅏ ㄴH^rㄹ6..,기준 엉덩이 절반 정도 가리고 팔 부분은 손끝까지 다 가려져요 안에 티가 조금 드러나면 좋겠기에 딱 맞게 잘 산 것 같고 엉덩이까지 다 덮고 싶다 하면 XL 사야 할 거예요 but 팔 부분이 많이 길기 때문에 L 추천합니동 요즘 날씨에 입기 딱 좋고 핏이 너무너무 예뻐요 찾아 Hr,"부분, 엉덩이, hr, 절반, 손끝, but, 드러나다, 가려지다, xl, 가리다"
오버핏 후드 집업들은 저한텐 거의 다 기장이 너무 길어 아쉬웠는데 이건 품에 비해 기장이 짧아서 좋아요 적당한 오버핏이라 마음에 듭니다 핏감이나 두께나 다 괜찮은데 지퍼가 좀 버벅거리고 불편해요 차라리 지퍼 고정해놓고 머리 넣어서 입고 벗는 게 더 나을 것 같아요,오버핏 후드 집업들은 저한텐 거의 다 기장이 너무 길어 아쉬웠는데 이건 품에 비해 기장이 짧아서 좋아요 적당한 온 버핏이라 마음에 듭니다 핏 감이나 두께나 다 괜찮은데 지퍼가 좀 버벅거리고 불편해요 차라리 지퍼 고정해놓고 머리 넣어서 입고 벗는 게 더 나을 것 같아요,"고정, 버벅거리, 기장, 머리, 넣다, 지퍼, 벗다, 이건, 나다, 비다"
다른 곳이랑 고민하다 주문했는데 옳은 선택인 거 같아요! 이너랑 단품으로 입으려고 구매했는데 만족합니다 :),다른 곳이랑 고민하다 주문했는데 옳은 선택인 거 같아요 이너랑 단품으로 입으려고 구매했는데 만족합니다,"옳다, 선택, 주문, 고민, 만족하다, 이너"
여성분들도 라지입으면 낙낙하게 이쁘길래 클 거 알고 라지주문했어용 팔통은 커서 완전 낙낙한데 길이는 막 길지않아서 예뻐요 딱 오버핏 좋아하시는 분들이 환장하는 핏의 후드입니당,여성분들도 라지 입으면 낙낙하게 이쁘길래 클 거 알고 라지 주문했어요 팔 통은 커서 정말 낙낙한데 길이는 막 길지 않아서 예뻐요 딱 오버핏 좋아하시는 분들이 환장하는 핏의 후드입니다,"라지, 환장하다, 낙낙, 낙하, 여성, 주문, 커서, 분들, 오버핏, 좋아하다"
크지 않을까 걱정했는데 사이즈 좋고 핏도 예뻐요 가을 겨울 내내 잘 입을 것 같아요,크지 않을까 걱정했는데 사이즈 좋고 핏도 예뻐요 가을 겨우내 잘 입을 것 같아요,"겨우내, 걱정, 가을, 크다, 사이즈"
헤비웨이트 라서 생각보다 도톰합니다. 가을에 아우터로 입기 좋은것 같아요.,헤비 웨이트라서 생각보다 도톰합니다 가을에 아우터로 입기 좋은 것 같아요,"헤비, 웨이트, 도톰하다, 라서, 가을, 아우터"
너무 편하고 꾸안꾸로 입기 최고에요 데일리룩으로 찰떡입니다,너무 편하고 꾸안꾸로 입기 최고예요 데일리룩으로 찰떡입니다,"데일리룩, 찰떡, 꾸안꾸, 최고, 편하다"
검수를 안하시나봐요 검은색 주문하고 너무 맘에 들어서 그레이도 상태 좋을 줄 알고 믿고 택제거하고 구매확정까지 했는데 오늘 입으려고보니 큰 사이즈의 가리고 다닐 수도 없는 알 수 없는 오염이 있네요... 세탁해 보고 안 지워지면 버려야 할 거 같아요.... 구매하실분들은 상품받으시고 꼭 확인해보세요....옷은 너무 이뻐요...........,검수를 안 하시나 봐요 검은색 주문하고 너무 맘에 들어서 그레이도 상태 좋을 줄 알고 믿고 택지에 거하고 구매확정까지 했는데 오늘 입으려고 보니 큰 사이즈의 가리고 다닐 수도 없는 알 수 없는 오염이 있네요 세탁해 보고 안 지워지면 버려야 할 거 같아요 구매하실 분들은 상품 받으시고 꼭 확인해 보세요 옷은 너무 이뻐요,"하고, 없다, 확정, 오염, 지워지다, 택지, 검수, 확인, 오늘, 상태"
개꿀 무조건 사세요오 기장감도 좋고 두깨도 좋아요오,개꿀 무조건 사세요 오 기장감도 좋고 두께도 좋아요 오,"개꿀, 무조건, 기장감, 두께"
"진짜 가성비 최고의 후드집업입니다! 이번 가을 여러 아우터들 들여왔는데 무난하게 아우터로 걸치거나 레이어드용으로 손이 가장 많이 갈 것 같은 제품입니다.  적당한 두께감에 예쁜 핏감, 적당한 기장감, 싼 가격, 다른 조거 및 스웻팬츠들과 동일한 색감 등 안 살 이유가 없습니다. 그럼 지금 바로 카드 슬래쉬 뀻~",진짜 가성비 최고의 후드집업입니다 이번 가을 여러 아우터들 들여왔는데 무난하게 아우터로 걸치거나 레이어드 욕으로 손이 가장 많이 갈 것 같은 제품입니다 적당한 두께감에 예쁜 핏 감 적당한 기장감 싼 가격 다른 조거 및 스웨트 팬츠들과 동일한 색감 등 안 살 이유가 없습니다 그럼 지금 바로 카드 슬래시 뀻,"아우터, 카드, 슬래시, 조거, 들이다, 적당하다, 동일하다, 팬츠, 여러, 스웨"
생각한 그대로 상품이와서 너무 만족스러워요 지퍼 디테일이 맘에듭니다,생각한 그대로 상품이 와서 너무 만족스러워요 지퍼 디테일이 맘에 듭니다,"디테, 일이, 그대로, 상품, 만족스럽다, 오다, 지퍼"
"자크가 막 부드럽지는 않지만 그래도 올라갔다 내려갔다 하는거에 의의를 두기로 함,, 원래 오버핏을 좋아해서 일부러 큰 거 샀는데 생각보다 막 엄청 크진 않아요. 소매 길이는 팔 내렸을때 손가락 끝이 살짝 보이는 정도?? 아방하니 귀엽네유 가성비 좋아용",자크가 막 부드럽지는 않지만 그래도 올라갔다 내려갔다 하는 거에 의의를 두기로 함 원래 온 버핏을 좋아해서 일부러 큰 거 샀는데 생각보다 막 엄청 크진 않아요 소매길이는 팔 내렸을 때 손가락 끝이 살짝 보이는 정도 아방하니 귀엽네 유 가성비 좋아요,"손가락, 의의, 두기, 내리다, 크다, 일부러, 내려가다, 원래, 자크, 부드럽다"
따숩고 좋아여 체육복 입고 입어도 이쁘고 그냥 밖에 휘뚜루마뚜루 입고 다니기도 좋아여 너무 가오리도 아니고 딱 적당하고 지퍼 두개 있어서 더 이쁘요 ><,따습고 좋아요 체육복 입고 입어도 이쁘고 그냥 밖에 휘뚜루마뚜루 입고 다니기도 좋아요 너무 가오리도 아니고 딱 적당하고 지퍼 두 개 있어서 더 예뻐요,"체육복, 밖에, 기도, 가오리, 따다, 휘뚜루마뚜루, 그냥, 아니다, 적당하다, 지퍼"
두께감도 아주 만족스럽고 핏도 아주 이쁩니다!! 흐물흐물한 핏이 아니라서 모자의 핏도 딱 잡혀있고 길이감도 아주 좋아요!! 하지만 모자 쓰시는걸 좋아하시는 분들한테는 안좋을 수도 있습니다! 모자와 옷이 연결된 부분이 작아서 모자를 쓰면 어깨가 굉장히 작아보이고 이상해보입니다.,두께감도 아주 만족스럽고 핏도 아주 이쁩니다 흐물흐물한 핏이 아니라서 모자의 핏도 딱 잡혀있고 길이감도 아주 좋아요 하지만 모자 쓰시는 걸 좋아하시는 분들한테는 안 좋을 수도 있습니다 모자와 옷이 연결된 부분이 작아서 모자를 쓰면 어깨가 굉장히 작아 보이고 이상해 보입니다,"모자, 작다, 연결, 쓰시, 흐물흐물, 굉장하다, 이상하다, 수도, 늘다, 길이감"
옷 사이즈도 딱 원하던 사이즈고 에어컨 넘 추울때 좋아용 좀 두꺼워서 지금은 밖에선 살짝 더운데 더 쌀쌀해지면 밖에서 잘 입고다닐거같애용 최고~~~👍👍👍👍👍👍🕶🕶🕶,옷 사이즈도 딱 원하던 사이즈고 에어컨 너무 추울 때 좋아요 좀 두꺼워서 지금은 밖에선 살짝 더운데 더 쌀쌀해지면 밖에서 잘 입고 다닐 거 같아요 최고,"에선, 덥다, 에어컨, 사이즈, 쌀쌀하다, 추다, 최고, 원하다, 두껍다"
