Review,Processed_Review,keyword
"빈티지한 오버셔츠 찾다가 눈에 확 들어와서 특가에 들인 후크의 네이비셔츠!  이번에 눈팅하다가 후크란 브랜드를 접하고 쭉 둘러보며 겟한 친구중에 하나!  실물봤을 때 딱 든 생각이 오케이 색감 패턴 워싱 빈티지함 모두 성공. 내가 원하는 느낌으로 스타일링 할 수 있겠다.   하지만, 딱 착용하는데 깜짝 놀랬다. 생각보다 엄청커서ㅋㅋ 110인 분들도 세미오버나올 듯. 품이 엄청나다.  그레도 그 널널하고 툭 떨어지는 맛에 원하는 느낌내기가 용이할 거 같지만! 원단은 얇아서 부담없이 걸치기 좋을거같다. 두꺼우면 계절을 더 신경써야되니깐. 무튼 너무 잘 구매했고 예쁘게 스타일링해서 입어보겠습니다. 후크 무서운 신성이네요!",빈티지한 오버셔츠 찾다가 눈에 확 들어와서 특가에 들인 후크의 네이비 셔츠 이번에 눈팅하다가 후크란 브랜드를 접하고 쭉 둘러보며 겟 한 친구 중에 하나 실물 봤을 때 딱 든 생각이 오케이 색감 패턴 워싱 빈티지함 모두 성공 내가 원하는 느낌으로 스타일링 할 수 있겠다 하지만 딱 착용하는데 깜짝 놀랐다 생각보다 엄청 커서 인 분들도 세미 오버다 올 듯 품이 엄청나다 그래도 그 널찍하고 툭 떨어지는 맛에 원하는 느낌 내기가 용이할 거 같지만 원단은 얇아서 부담 없이 걸치기 좋을 거 같다 두꺼우면 계절을 더 신경 써야 되니깐 아무튼 너무 잘 구매했고 예쁘게 스타일링해서 입어보겠습니다 후크 무서운 신성이네요,"후크, 원하다, 일링, 스타, 오버, 빈티, 친구, 무섭다, 부담, 세미"
색상도 좋고 봄가을에 입기 좋아요!! 다만 기장감이 생각보다 더 짧긴 합니당..ㅎ,색상도 좋고 봄가을에 입기 좋아요 다만 기장감이 생각보다 더 짧긴 합니다,"기장감, 색상, 짧다"
생각보다 체크 배색이 남색보다 베이지 비중이 더 큰거 같아요. 좀 더 어두운 톤의 체크라고 생각했는데 실제로는 좀 화사하고 확 튀네요. 그래도 빈티지하고 흔한 체크색상이 아니라서 만족합니다. 꽤 가벼워서 여름에도 입기 좋을 거 같아요,생각보다 체크 배색이 남색보다 베이지 비중이 더 큰 거 같아요 좀 더 어두운 톤의 체크라고 생각했는데 실제로는 좀 화사하고 확 튀네요 그래도 빈티지하고 흔한 체크 색상이 아니라서 만족합니다 꽤 가벼워서 여름에도 입기 좋을 거 같아요,"체크, 로는, 비중, 두운, 튀다, 남색, 화사하다, 배색, 라고, 지하"
무더위가 좀 풀리면 입기 좋을거 같습니다. 디자인이 이쁩니다,무더위가 좀 풀리면 입기 좋을 거 같습니다 디자인이 이쁩니다,"무더위, 풀리다, 디자인"
기장은 짧은데 오히려 좋고 좋은 가격에 잘 샀어요,기장은 짧은데 오히려 좋고 좋은 가격에 잘 샀어요,"짧다, 기장, 가격"
평소 L 입는데 커보여서 M 시켰는데 잘 시킨 것 같아요!,평소 L 입는데 커 보여서 M 시켰는데 잘 시킨 것 같아요,"여서, 평소, 크다"
사이즈가 딱 좋습니다. 옷이 두껍지도 않아서 팔 접어서 입으면 좋습니다.  날씨가 좀 더 선선해지면 티에 입어도 좋을 것 같아요. ,사이즈가 딱 좋습니다 옷이 두껍지도 않아서 팔 접어서 입으면 좋습니다 날씨가 좀 더 선선해지면 티에 입어도 좋을 것 같아요,"선선해지다, 접다, 날씨, 두껍다, 사이즈"
너무 잘 맞고 예쁘네여 앞으로도 많이 구매할게요 감사합니다,너무 잘 맞고 예쁘네요 앞으로도 많이 구매할게요 감사합니다,"으로도, 맞다"
남편이랑 옷 같이입기 좋아요 만족합니다 가을이왔으면,남편이랑 옷같이 입기 좋아요 만족합니다 가을이 왔으면,"남편, 오다, 만족하다, 가을"
색감이 너무 유니크 합니다! 아주 멋져요👍🏻 기장이 약간 짧은 느낌이긴한데 그래도 너무 이뻐서 자꾸 손이갑니다!,색감이 너무 유니크합니다 아주 멋져요 기장이 약간 짧은 느낌이긴 한데 그래도 너무 이뻐서 자꾸 손이 갑니다,"멋지다, 자꾸, 유니크, 느끼다, 가다, 짧다, 기장, 색감"
걍이쁨 워싱데님이 더 잘 어울리는 바지같음 자주 입을듯,그냥 이쁨 워싱 데님이 더 잘 어울리는 바지 같음 자주 입을 듯,"데님, 바지, 워싱, 그냥, 어울리다"
