Review,Processed_Review,keyword
저렴하게 잘 산 거 같아요. 예뻐요 막 입기 좋아요 굿입니다.,저렴하게 잘 산 거 같아요 예뻐요 막 입기 좋아요 굿입니다,저렴하다
아디다스 트랙탑 져지 오랜만에 샀는데 너무 좋아요,아디다스 트랙 탑 저지 오랜만에 샀는데 너무 좋아요,"오랜, 트랙, 저지, 아디다스"
파이어버드 반바지랑 입으려고 샀는데 딱 좋아요,파이어버드 반바지랑 입으려고 샀는데 딱 좋아요,"반바지, 파이어버드"
역시 기본은 정말 좋네요 어디든 다 어울려서 매일 입고있네요 추천드려요!,역시 기본은 정말 좋네요 어디든 다 어울려서 매일 입고 있네요 추천드려요,"매일, 드리다, 어울리다, 기본, 추천"
잘맞고 배송도 빠르게 잘받았습니다 잘입을께요,잘 맞고 배송도 빠르게 잘 받았습니다 잘 입을게요,"받다, 맞다, 빠르다, 배송"
버건디 자켓을 사고 너무 맘에 들어 블랙도 샀습니다. 특별할 것이 없는 예쁜 아디다스 자켓입니다. 무난한게 좋습니다,버건디 재킷을 사고 너무 맘에 들어 블랙도 샀습니다 특별할 것이 없는 예쁜 아디다스 재킷입니다 무난한 게 좋습니다,"재킷, 특별하다, 버건디, 블랙, 사고, 무난, 없다, 아디다스"
그냥 피부처럼 걸치고 다닐 수 있는 아디다스의 상징적인 옷이네요. 공부하러 갈 때 입기 정말 좋습니다,그냥 피부처럼 걸치고 다닐 수 있는 아디다스의 상징적인 옷이네요 공부하러 갈 때 입기 정말 좋습니다,"상징, 피부, 공부, 치고, 갈다, 처럼, 그냥, 아디다스"
딱 기본이라 무난하게 입기 좋습니다 봄에 거의 매일 입고 다녔습니다,딱 기본이라 무난하게 입기 좋습니다 봄에 거의 매일 입고 다녔습니다,"매일, 무난, 기본"
엄청 큽니다 커요커요 제 친구가 말랐는데 친구가 입으몀 오버핏인데 어깨가 넓거나 덩치 있으신분들은 오히려 좀 부해보여욤,엄청 큽니다 커요 커요 제 친구가 말랐는데 친구가 입으몀 오버 피트인데 어깨가 넓거나 덩치 있으신 분들은 오히려 좀 부해 보여요,"친구, 크다, 입으몀, 덩치, 부다, 마르다, 피트, 넓다, 어깨, 보이다"
사이즈가 다 품절이라 2xl로 샀는데 힙하게 핏이 딱 떨어져서 이쁘네요~~,사이즈가 다 품절이라 xl로 샀는데 합하게 핏이 딱 떨어져서 이쁘네요,"떨어지다, 품절, xl, 사이즈"
사이즈가 생각보다 크진 않은데 적당히 입을난합니당,사이즈가 생각보다 크진 않은데 적당히 입을 난합니다,"난하다, 적당하다, 크다, 사이즈"
이쁘고 편안하게 입을수있어요 택배도 빠르게 도착했어요,이쁘고 편안하게 입을 수 있어요 택배도 빠르게 도착했어요,"택배, 편안하다, 도착, 빠르다"
이쁘고 가볍게 편하게 입기 좋습니다 배송도 빠르고 맘에들어요,이쁘고 가볍게 편하게 입기 좋습니다 배송도 빠르고 맘에 들어요,"가볍다, 빠르다, 편하다, 배송"
배송도 빠르고 제품도 생각했던거랑 똑같아요 좋습니다!,배송도 빠르고 제품도 생각했던 거랑 똑같아요 좋습니다,"똑같다, 제품, 빠르다, 배송"
이쁘고 가볍게 입기 편하네요 배송도 빠르고 아주 좋아요,이쁘고 가볍게 입기 편하네요 배송도 빠르고 아주 좋아요,"가볍다, 빠르다, 편하다, 배송"
늦은 후기입니다 사이즈 완전 잘 맞고 정말 이쁜 옷이네요,늦은 후기입니다 사이즈 완전 잘 맞고 정말 이쁜 옷이네요,"늦다, 후기, 맞다, 사이즈"
아디다스 집업으로 유명한만큼 입자마자 핏 예쁘게 나오고 아무대나 입기 좋은것 같아요 너무 예뻐요,아디다스 집업으로 유명한 만큼 입자마자 핏 예쁘게 나오고 아무 데나 입기 좋은 것 같아요 너무 예뻐요,"유명하다, 집업, 나오다, 아디다스"
매일 입어요 데일리로 짱이고 너무 편하고 이뻐요 추천추천!,매일 입어요 데일리로 최고이고 너무 편하고 이뻐요 추천 추천,"추천, 데일리, 이고, 매일, 최고, 편하다"
요즘 아디다스가 이뻐보이길래 사봤는데 역시 만족합니다,요즘 아디다스가 이뻐 보이길래 사봤는데 역시 만족합니다,"사보다, 보이다, 만족하다, 아디다스"
딸이 즐겨입는옷 요즘 또 유행이라 검정 하나 더 사줬어요,딸이 즐겨 입는 옷 요즘 또 유행이라 검정 하나 더 사줬어요,"즐기다, 검정, 사주다, 하나, 유행"
