title,keyword
1875663,"시원하다, 길이, 사이즈, 편하다, 원피스, 적당하다, 허리, 핏, 라인, 여름"
3977452,"사이즈, 핏, 짧다, 원피스, 길이, 탄탄하다, 타이트, 적당하다, 글로리, 소재"
1875664,"시원하다, 길이, 편하다, 사이즈, 여름, 적당하다, 짧다, 비치다, 기장, 핏"
4018731,"속바지, 편하다, 짧다, 귀엽다, 길이, 리본, 치마, 디자인, 스커트, 가격"
3977488,"짧다, 재질, 사이즈, 탄탄하다, 흰색, 원피스, 길이, 글로리, 기장, 잡다"
2551401,"편하다, 사이즈, 짧다, 허리, 속바지, 바지, 길이, 맞다, 치마, 핏"
2978106,"편하다, 사이즈, 허리, 시원하다, 크다, 여름, 재질, 단추, 조절, 소재"
3295891,"색감, 사이즈, 여름, 디자인, 치마, 허리, 색상, 가격, 하늘색, 글로리"
1645762,"사이즈, 허리, 편하다, 크다, 길이, 맞다, 적당하다, 치마, 배송, 만족하다"
1944554,"허리, 사이즈, 길이, 치마, 적당하다, 짧다, 크다, 무난, 배송, 편하다"
