title,keyword
Deep One Tuck Sweat Shorts [Grey]_reviews,"편하다, 사이즈, 바지, 여름, 핏, 기장, 길이, 크다, 허리, 반바지"
바이오워싱 카펜터 버뮤다 데님 팬츠_라이트블루_reviews,"사이즈, 허리, 바지, 색감, 기장, 크다, 버뮤다, 적당하다, 핏, 여름"
데미지 워시드 데님 팬츠-미디엄 블루(Cool Air)_reviews,"바지, 사이즈, 핏, 크다, 허리, 색감, 여름, 편하다, 기장, 통"
Wide Cargo Half Denim Pants - 5COL_reviews,"바지, 사이즈, 허리, 기장, 색감, 편하다, 크다, 길이, 배송, 여름"
Deep One Tuck Sweat Shorts [Black]_reviews,"편하다, 바지, 핏, 사이즈, 여름, 기장, 재질, 제로, 적당하다, 반바지"
[쿨탠다드] 세미 와이드 히든 밴딩 슬랙스 [블랙]_reviews,"시원하다, 여름, 사이즈, 얇다, 핏, 슬랙스, 편하다, 기장, 와이드, 세미 와이드"
버뮤다 와이드 원턱 스웨트 쇼츠 [그레이]_reviews,"편하다, 사이즈, 바지, 여름, 가격, 핏, 적당하다, 시원하다, 재질, 기장"
캣 브러쉬 워시드 버뮤다 데님 쇼츠 (SAND BLUE)_reviews,"색감, 사이즈, 허리, 바지, 핏, 버뮤다, 크다, 배송, 기장, 편하다"
캣 브러쉬 워시드 버뮤다 데님 쇼츠 (NORMAL BLACK)_reviews,"사이즈, 바지, 허리, 핏, 색감, 워싱, 기장, 배송, 작다, 디자인"
Deep One Tuck Sweat Pants [Grey]_reviews,"편하다, 바지, 사이즈, 핏, 기장, 와이드, 크다, 길이, 통, 허리"
